Rk,Team,Date,H/A,Opp,Result,Tm_AST%,Tm_STL%,Tm_BLK%,Tm_TOV%,Opp_AST%,Opp_STL%,Opp_BLK%,Opp_TOV%
234,ATL,2025-03-22,,GSW,"W, 124-115",75.5,5.1,6.5,14.6,71.8,8.1,8.0,9.5
235,BRK,2024-10-29,,DEN,"L, 139-144 (OT)",75.5,3.8,9.7,7.7,67.4,2.9,9.1,4.4
236,NYK,2025-02-11,@,IND,"W, 128-115",75.5,6.0,3.4,13.7,74.4,8.0,4.7,9.1
237,NYK,2025-03-25,,DAL,"W, 128-113",75.5,8.7,6.6,13.4,44.2,8.7,4.8,15.0
238,ATL,2024-11-29,,CLE,"W, 117-101",75.0,8.9,9.1,18.4,55.3,8.9,0.0,11.5
239,BOS,2025-01-25,@,DAL,"W, 122-107",75.0,4.1,7.6,4.3,46.2,2.1,15.7,11.5
240,CHI,2024-12-23,,MIL,"L, 91-112",75.0,9.1,2.3,13.6,60.0,7.1,2.4,12.1
241,CLE,2024-12-13,,WAS,"W, 115-105",75.0,9.9,10.9,9.2,58.5,6.9,17.1,16.5
242,DEN,2025-02-06,,ORL,"W, 112-90",75.0,7.2,7.5,17.8,67.7,10.3,15.1,12.6
243,DEN,2025-01-21,,PHI,"W, 144-109",75.0,7.3,6.9,12.7,77.3,7.3,7.4,9.1
244,DET,2025-03-25,,SAS,"W, 122-96",75.0,6.5,10.6,11.0,63.6,7.6,4.3,9.9
245,GSW,2025-03-30,@,SAS,"W, 148-106",75.0,16.3,7.1,11.0,75.0,3.8,5.7,18.7
246,GSW,2025-01-29,,OKC,"W, 116-109",75.0,5.9,11.7,13.8,52.5,7.9,7.0,11.3
247,GSW,2024-12-21,@,MIN,"W, 113-103",75.0,9.3,12.5,10.2,75.0,5.2,4.4,13.4
248,HOU,2025-02-22,@,UTA,"L, 115-124",75.0,2.9,3.4,6.1,57.1,3.9,5.3,6.8
249,IND,2025-03-10,@,CHI,"L, 103-121",75.0,12.9,6.2,8.4,61.2,3.7,9.8,14.7
250,LAC,2025-02-26,@,CHI,"W, 122-117",75.0,9.3,19.2,14.0,76.1,9.3,2.1,14.7
251,LAC,2024-10-26,@,DEN,"W, 109-104",75.0,4.3,9.6,15.7,57.1,13.8,8.2,9.3
252,MIA,2025-03-29,@,PHI,"W, 118-95",75.0,13.0,9.1,10.0,73.7,7.6,14.0,18.0
253,MIA,2024-12-23,,BRK,"W, 110-95",75.0,6.4,6.0,16.1,69.7,9.6,6.3,13.9
254,MIA,2024-10-23,,ORL,"L, 97-116",75.0,5.2,17.0,10.4,68.3,8.3,16.7,11.7
255,MIL,2025-03-01,@,DAL,"W, 132-117",75.0,6.0,11.8,11.3,58.1,7.0,2.1,9.7
256,MIN,2024-12-21,,GSW,"L, 103-113",75.0,5.2,4.4,13.4,75.0,9.3,12.5,10.2
257,BRK,2025-03-24,,DAL,"L, 101-120",75.0,7.5,3.6,18.4,69.4,10.7,2.2,10.5
258,NOP,2025-01-03,,WAS,"W, 132-120",75.0,10.0,10.7,7.0,62.2,6.0,0.0,18.0
259,NYK,2025-02-01,,LAL,"L, 112-128",75.0,7.0,7.3,11.9,55.3,9.1,6.0,14.4
260,NYK,2024-10-30,@,MIA,"W, 116-107",75.0,8.6,9.8,10.8,73.0,6.5,7.1,9.8
261,OKC,2025-03-31,,CHI,"W, 145-117",75.0,9.9,12.8,11.5,65.9,6.3,12.7,16.0
262,PHO,2025-01-16,@,WAS,"W, 130-123",75.0,9.7,7.8,14.0,60.9,12.6,7.7,11.1
263,POR,2025-02-03,,PHO,"W, 121-119 (OT)",75.0,6.0,4.7,11.3,70.0,12.1,10.2,13.4
264,SAS,2025-03-30,,GSW,"L, 106-148",75.0,3.8,5.7,18.7,75.0,16.3,7.1,11.0
265,SAS,2024-12-21,,POR,"W, 114-94",75.0,7.1,24.5,10.6,55.3,8.1,5.3,11.5
266,SAS,2024-11-16,@,DAL,"L, 93-110",75.0,10.2,14.3,10.6,59.1,9.1,14.6,12.8
267,TOR,2025-03-12,,PHI,"W, 118-105",75.0,6.7,8.2,16.9,46.3,12.4,18.3,7.8
268,TOR,2024-12-05,,OKC,"L, 92-129",75.0,4.9,12.7,16.8,57.1,14.6,24.4,5.2
269,UTA,2024-11-02,@,DEN,"L, 103-129",75.0,6.7,11.9,20.9,68.8,13.4,2.9,14.2
270,WAS,2025-01-23,@,LAC,"L, 93-110",75.0,13.8,2.0,13.4,72.5,9.8,14.6,15.8
271,DEN,2024-12-16,@,SAC,"W, 130-129",74.5,8.3,6.0,11.8,57.1,9.2,12.2,9.0
272,ATL,2025-01-07,@,UTA,"W, 124-121",74.5,5.9,22.9,8.7,62.5,7.8,7.4,13.0
273,DEN,2024-12-19,@,POR,"L, 124-126",74.5,7.1,5.9,10.3,64.4,7.1,13.2,8.5
