Rk,Team,Date,H/A,Opp,Result,Tm_ORtg,Tm_DRtg,Tm_FTr,Tm_3PAr,Tm_TS%,Tm_eFG%,Tm_FT/FGA,Opp_ORtg,Opp_DRtg,Opp_FTr,Opp_3PAr,Opp_TS%,Opp_eFG%,Opp_FT/FGA
2033,PHI,2025-03-12,@,TOR,"L, 105-118",100.0,112.4,.229,.365,.497,.464,.167,112.4,100.0,.180,.400,.547,.520,.140
2034,ATL,2024-12-14,@,MIL,"L, 102-110",100.0,107.8,.415,.293,.526,.488,.268,107.8,100.0,.314,.523,.562,.535,.209
2035,MIL,2025-02-12,@,MIN,"W, 103-101",100.0,98.0,.182,.341,.542,.511,.148,98.0,100.0,.146,.427,.461,.427,.126
2036,WAS,2025-03-22,@,NYK,"L, 103-122",99.9,118.4,.216,.409,.534,.506,.159,118.4,99.9,.297,.385,.593,.555,.231
2037,MEM,2025-03-31,,BOS,"L, 103-117",99.9,113.5,.174,.478,.520,.505,.109,113.5,99.9,.198,.646,.561,.516,.188
2038,HOU,2025-02-25,,MIL,"W, 100-97",99.9,96.9,.198,.385,.505,.473,.154,96.9,99.9,.271,.435,.510,.471,.200
2039,LAC,2024-11-18,,GSW,"W, 102-99",99.9,96.9,.220,.415,.567,.524,.195,96.9,99.9,.226,.524,.536,.536,.107
2040,MIN,2025-01-27,,ATL,"W, 100-92",99.9,91.9,.337,.465,.506,.465,.233,91.9,99.9,.209,.500,.490,.465,.140
2041,ORL,2024-10-30,@,CHI,"L, 99-102",99.8,102.9,.233,.535,.522,.471,.209,102.9,99.8,.298,.405,.537,.506,.202
2042,WAS,2025-02-21,,MIL,"L, 101-104",99.8,102.8,.310,.448,.511,.471,.218,102.8,99.8,.317,.390,.557,.530,.207
2043,BRK,2024-11-08,@,BOS,"L, 104-108 (OT)",99.8,103.6,.150,.380,.488,.460,.120,103.6,99.8,.211,.589,.549,.511,.178
2044,WAS,2024-11-26,,CHI,"L, 108-127",99.8,117.3,.341,.407,.516,.484,.220,117.3,99.8,.234,.426,.612,.574,.202
2045,GSW,2024-11-27,,OKC,"L, 101-105",99.8,103.7,.214,.510,.471,.439,.153,103.7,99.8,.306,.435,.544,.524,.188
2046,CHO,2024-11-10,@,PHI,"L, 105-107 (OT)",99.7,101.6,.232,.568,.502,.453,.200,101.6,99.7,.310,.393,.561,.518,.238
2047,DEN,2025-03-12,,MIN,"L, 95-115",99.7,120.6,.247,.337,.481,.444,.180,120.6,99.7,.178,.444,.593,.572,.133
2048,CLE,2024-11-29,@,ATL,"L, 101-117",99.6,115.4,.183,.409,.503,.468,.151,115.4,99.6,.212,.400,.630,.600,.176
2049,OKC,2024-11-04,,ORL,"W, 102-86",99.6,84.0,.188,.365,.554,.529,.141,84.0,99.6,.329,.415,.458,.384,.280
2050,GSW,2025-01-07,,MIA,"L, 98-114",99.5,115.8,.051,.510,.489,.480,.041,115.8,99.5,.187,.440,.579,.560,.132
2051,OKC,2024-10-26,@,CHI,"W, 114-95",99.5,82.9,.187,.374,.492,.458,.150,82.9,99.5,.239,.576,.467,.429,.174
2052,WAS,2024-10-24,,BOS,"L, 102-122",99.5,119.0,.189,.379,.496,.468,.137,119.0,99.5,.300,.500,.599,.561,.233
2053,DAL,2025-01-14,,DEN,"L, 99-118",99.5,118.6,.244,.356,.497,.472,.156,118.6,99.5,.265,.349,.637,.596,.229
2054,WAS,2025-01-05,,NOP,"L, 98-110",99.4,111.6,.157,.461,.515,.489,.124,111.6,99.4,.222,.544,.557,.511,.200
2055,DET,2025-01-03,,CHO,"W, 98-94",99.4,95.3,.140,.398,.496,.484,.086,95.3,99.4,.375,.375,.504,.469,.238
2056,MEM,2024-12-29,@,OKC,"L, 106-130",99.4,121.9,.216,.526,.499,.454,.186,121.9,99.4,.117,.427,.600,.573,.117
2057,POR,2025-01-18,,HOU,"L, 103-125",99.3,120.5,.209,.419,.548,.523,.151,120.5,99.3,.204,.287,.531,.509,.139
2058,SAC,2024-12-22,,IND,"L, 95-122",99.3,127.5,.177,.396,.459,.427,.135,127.5,99.3,.093,.453,.681,.680,.058
2059,HOU,2024-11-18,@,MIL,"L, 100-101",99.3,100.3,.130,.320,.473,.445,.110,100.3,99.3,.229,.398,.553,.536,.145
2060,GSW,2025-01-05,,SAC,"L, 99-129",99.3,129.4,.222,.432,.557,.531,.160,129.4,99.3,.253,.494,.667,.626,.230
2061,LAL,2024-11-26,@,PHO,"L, 100-127",99.3,126.1,.294,.400,.521,.482,.212,126.1,99.3,.101,.424,.614,.601,.081
2062,MIA,2024-12-20,,OKC,"L, 97-104",99.2,106.4,.241,.482,.528,.506,.157,106.4,99.2,.198,.395,.556,.535,.140
2063,POR,2025-02-08,@,MIN,"L, 98-114",99.2,115.4,.239,.380,.482,.440,.185,115.4,99.2,.341,.341,.604,.585,.220
2064,ORL,2025-02-01,@,UTA,"L, 99-113",99.2,113.2,.385,.451,.465,.379,.330,113.2,99.2,.286,.417,.598,.548,.250
2065,NOP,2025-02-10,@,OKC,"L, 101-137",99.2,134.5,.341,.329,.535,.500,.232,134.5,99.2,.168,.579,.671,.658,.126
2066,ORL,2025-01-30,@,POR,"L, 90-119",99.1,131.1,.247,.321,.501,.451,.210,131.1,99.1,.397,.321,.649,.603,.321
2067,ATL,2025-03-14,,LAC,"L, 98-121",99.1,122.4,.193,.375,.513,.472,.170,122.4,99.1,.233,.314,.638,.616,.174
2068,DET,2024-12-12,@,BOS,"L, 99-123",99.1,123.1,.102,.378,.483,.464,.082,123.1,99.1,.144,.533,.642,.622,.122
2069,UTA,2025-03-16,@,MIN,"L, 102-128",99.1,124.3,.167,.422,.528,.500,.133,124.3,99.1,.268,.443,.590,.567,.186
2070,MIA,2025-03-14,,BOS,"L, 91-103",99.0,112.1,.227,.453,.552,.540,.133,112.1,99.0,.157,.602,.580,.548,.145
2071,MIN,2024-11-29,,LAC,"W, 93-92",99.0,97.9,.267,.520,.555,.513,.213,97.9,99.0,.155,.369,.513,.488,.119
2072,GSW,2025-01-10,@,IND,"L, 96-108",99.0,111.3,.143,.418,.496,.473,.110,111.3,99.0,.232,.329,.598,.579,.159
2073,ORL,2024-12-06,@,PHI,"L, 94-102",98.7,107.1,.218,.590,.550,.506,.192,107.1,98.7,.367,.329,.556,.525,.241
2074,MIA,2025-03-17,@,NYK,"L, 95-116",98.7,120.5,.146,.280,.544,.512,.134,120.5,98.7,.063,.358,.594,.579,.063
2075,MIN,2024-12-13,,LAL,"W, 97-87",98.7,88.5,.276,.368,.497,.454,.207,88.5,98.7,.198,.407,.465,.442,.128
2076,BRK,2024-12-02,@,CHI,"L, 102-128",98.7,123.8,.158,.442,.502,.474,.126,123.8,98.7,.207,.511,.638,.609,.174
2077,SAS,2024-11-06,@,HOU,"L, 100-127",98.6,125.3,.193,.434,.555,.530,.145,125.3,98.6,.156,.281,.619,.615,.094
2078,POR,2025-02-20,,LAL,"L, 102-110",98.6,106.3,.244,.430,.535,.512,.163,106.3,98.6,.305,.390,.591,.530,.280
2079,WAS,2024-12-05,,DAL,"L, 101-137",98.5,133.6,.152,.404,.478,.460,.101,133.6,98.5,.303,.427,.679,.652,.236
