Rk,Team,Date,H/A,Opp,Result,Tm_ORtg,Tm_DRtg,Tm_FTr,Tm_3PAr,Tm_TS%,Tm_eFG%,Tm_FT/FGA,Opp_ORtg,Opp_DRtg,Opp_FTr,Opp_3PAr,Opp_TS%,Opp_eFG%,Opp_FT/FGA
1067,NYK,2025-03-02,@,MIA,"W, 116-112 (OT)",115.8,111.8,.158,.463,.571,.558,.105,111.8,115.8,.190,.417,.615,.601,.131
1068,IND,2025-03-11,,MIL,"W, 115-114",115.8,114.7,.207,.448,.606,.580,.161,114.7,115.8,.226,.429,.617,.595,.167
1069,SAS,2025-02-08,@,ORL,"L, 111-112",115.7,116.8,.260,.390,.647,.617,.208,116.8,115.7,.227,.341,.579,.568,.136
1070,SAC,2025-01-10,@,BOS,"W, 114-97",115.7,98.5,.088,.461,.538,.520,.078,98.5,115.7,.262,.488,.518,.470,.214
1071,TOR,2025-03-07,,UTA,"W, 118-109",115.7,106.9,.269,.442,.507,.452,.231,106.9,115.7,.464,.369,.539,.512,.274
1072,CHO,2025-03-05,,MIN,"L, 110-125",115.7,131.5,.189,.442,.534,.505,.147,131.5,115.7,.244,.544,.627,.606,.178
1073,ATL,2025-02-26,@,MIA,"L, 109-131",115.7,139.1,.235,.395,.610,.580,.185,139.1,115.7,.289,.553,.764,.743,.237
1074,MIN,2025-03-02,@,PHO,"W, 116-98",115.7,97.8,.228,.565,.573,.538,.185,97.8,115.7,.238,.525,.555,.519,.188
1075,MIA,2025-01-17,,DEN,"L, 113-133",115.7,136.2,.154,.363,.582,.544,.154,136.2,115.7,.207,.359,.663,.630,.185
1076,PHO,2025-02-08,,DEN,"L, 105-122",115.6,134.4,.153,.510,.502,.474,.122,134.4,115.6,.185,.380,.613,.576,.174
1077,WAS,2025-03-01,@,CHO,"W, 113-100",115.6,102.3,.193,.568,.592,.551,.182,102.3,115.6,.065,.452,.523,.516,.043
1078,ATL,2024-10-23,,BRK,"W, 120-116",115.6,111.8,.575,.350,.599,.544,.413,111.8,115.6,.275,.473,.569,.533,.209
1079,POR,2024-12-03,@,LAC,"L, 105-127",115.6,139.8,.200,.363,.603,.575,.163,139.8,115.6,.200,.435,.687,.665,.165
1080,BOS,2024-11-10,@,MIL,"W, 113-107",115.6,109.5,.314,.581,.577,.517,.279,109.5,115.6,.259,.395,.593,.562,.198
1081,HOU,2024-12-03,@,SAC,"L, 111-120",115.6,124.9,.226,.419,.543,.516,.161,124.9,115.6,.220,.330,.601,.593,.132
1082,UTA,2024-11-26,,SAS,"L, 115-128",115.6,128.6,.238,.417,.620,.589,.190,128.6,115.6,.280,.516,.613,.581,.215
1083,DEN,2025-01-29,@,NYK,"L, 112-122",115.5,125.9,.274,.333,.595,.548,.238,125.9,115.5,.194,.366,.604,.591,.129
1084,PHO,2024-11-27,,BRK,"L, 117-127",115.5,125.4,.364,.403,.655,.610,.299,125.4,115.5,.253,.483,.657,.609,.241
1085,BOS,2024-10-28,,MIL,"W, 119-108",115.5,104.9,.218,.540,.624,.598,.172,104.9,115.5,.378,.378,.565,.500,.317
1086,ATL,2025-04-02,@,DAL,"L, 118-120",115.5,117.5,.227,.402,.553,.510,.196,117.5,115.5,.253,.398,.650,.620,.205
1087,BOS,2024-11-02,@,CHO,"W, 113-103",115.5,105.3,.341,.634,.599,.537,.305,105.3,115.5,.099,.462,.542,.533,.066
1088,POR,2025-03-02,@,CLE,"L, 129-133 (OT)",115.5,119.1,.365,.417,.579,.510,.323,119.1,115.5,.361,.474,.592,.531,.309
1089,UTA,2024-12-28,,PHI,"L, 111-114",115.5,118.6,.169,.404,.581,.551,.146,118.6,115.5,.446,.434,.574,.512,.349
1090,NOP,2025-03-15,@,SAS,"L, 115-119",115.5,119.5,.120,.380,.594,.565,.120,119.5,115.5,.393,.464,.604,.560,.298
1091,DEN,2024-10-28,@,TOR,"W, 127-125 (OT)",115.5,113.7,.313,.208,.582,.536,.250,113.7,115.5,.193,.321,.529,.495,.156
1092,HOU,2024-11-20,,IND,"W, 130-113",115.5,100.4,.324,.353,.558,.520,.235,100.4,115.5,.301,.265,.601,.560,.241
1093,DAL,2025-02-10,,SAC,"L, 128-129 (OT)",115.4,116.3,.253,.389,.606,.595,.158,116.3,115.4,.198,.271,.618,.599,.146
1094,PHI,2025-03-09,,UTA,"W, 126-122",115.4,111.8,.260,.490,.589,.531,.250,111.8,115.4,.333,.495,.572,.516,.280
1095,MIN,2025-02-08,,POR,"W, 114-98",115.4,99.2,.341,.341,.604,.585,.220,99.2,115.4,.239,.380,.482,.440,.185
1096,NYK,2024-12-27,@,ORL,"W, 108-85",115.4,90.8,.453,.200,.600,.560,.320,90.8,115.4,.138,.379,.461,.425,.126
1097,CHI,2025-02-22,,PHO,"L, 117-121",115.4,119.4,.173,.541,.555,.510,.173,119.4,115.4,.315,.337,.597,.539,.281
1098,ORL,2024-12-08,,PHO,"W, 115-110",115.4,110.4,.341,.409,.568,.545,.216,110.4,115.4,.265,.337,.593,.548,.229
1099,ATL,2024-11-29,,CLE,"W, 117-101",115.4,99.6,.212,.400,.630,.600,.176,99.6,115.4,.183,.409,.503,.468,.151
1100,UTA,2025-02-28,,MIN,"W, 117-116",115.4,114.4,.152,.380,.596,.587,.098,114.4,115.4,.139,.515,.541,.535,.079
1101,BRK,2024-11-11,@,NOP,"W, 107-105",115.4,113.2,.226,.500,.579,.542,.190,113.2,115.4,.128,.319,.529,.500,.117
1102,MEM,2025-02-11,@,PHO,"W, 119-112",115.4,108.6,.270,.390,.532,.490,.210,108.6,115.4,.239,.478,.551,.511,.196
1103,MIN,2024-10-24,@,SAC,"W, 117-115",115.3,113.4,.198,.581,.626,.593,.174,113.4,115.3,.427,.354,.590,.530,.341
1104,OKC,2024-12-31,,MIN,"W, 113-105",115.3,107.2,.258,.404,.570,.539,.191,107.2,115.3,.152,.481,.623,.589,.152
1105,BRK,2024-11-17,@,NYK,"L, 104-114",115.3,126.4,.395,.539,.583,.533,.303,126.4,115.3,.216,.455,.592,.563,.170
1106,MIA,2024-10-30,,NYK,"L, 107-116",115.2,124.9,.296,.494,.584,.562,.198,124.9,115.2,.244,.488,.639,.598,.220
1107,MIL,2024-12-10,,ORL,"W, 114-109",115.2,110.2,.325,.390,.648,.617,.247,110.2,115.2,.290,.290,.520,.473,.226
1108,HOU,2025-02-08,@,DAL,"L, 105-116",115.2,127.3,.220,.280,.479,.440,.170,127.3,115.2,.410,.277,.592,.542,.313
1109,TOR,2025-03-14,@,UTA,"W, 126-118",115.2,107.9,.385,.352,.592,.549,.286,107.9,115.2,.348,.427,.575,.528,.270
1110,POR,2025-03-25,,CLE,"L, 111-122",115.2,126.6,.220,.520,.506,.485,.140,126.6,115.2,.193,.307,.639,.614,.159
1111,CLE,2024-12-05,,DEN,"W, 126-114",115.2,104.2,.170,.511,.624,.617,.106,104.2,115.2,.229,.250,.539,.510,.167
1112,CLE,2025-03-09,@,MIL,"W, 112-100",115.2,102.9,.216,.534,.581,.551,.170,102.9,115.2,.198,.341,.505,.478,.143
1113,DEN,2024-11-06,,OKC,"W, 124-122",115.2,113.3,.371,.427,.599,.562,.270,113.3,115.2,.230,.400,.554,.520,.180
1114,MIN,2025-03-17,,IND,"L, 130-132 (OT)",115.2,116.9,.371,.433,.576,.521,.299,116.9,115.2,.237,.381,.616,.582,.196
1115,CLE,2025-03-05,,MIA,"W, 112-107",115.2,110.0,.253,.460,.579,.552,.184,110.0,115.2,.301,.434,.569,.512,.265
1116,SAC,2024-12-26,,DET,"L, 113-114",115.1,116.1,.317,.476,.605,.561,.256,116.1,115.1,.275,.484,.559,.511,.231
1117,MIA,2024-11-12,@,DET,"L, 121-123 (OT)",115.1,117.0,.129,.446,.567,.550,.099,117.0,115.1,.304,.391,.590,.538,.261
1118,MIA,2024-11-02,@,WAS,"W, 118-98",115.1,95.6,.235,.363,.524,.495,.167,95.6,115.1,.231,.385,.489,.456,.165
1119,MEM,2025-02-03,,SAS,"W, 128-109",115.1,98.0,.202,.364,.594,.556,.182,98.0,115.1,.220,.396,.546,.516,.165
1120,HOU,2024-10-28,@,SAS,"W, 106-101",115.1,109.7,.282,.435,.555,.500,.247,109.7,115.1,.241,.379,.525,.483,.195
1121,MEM,2025-02-08,,OKC,"L, 112-125",115.1,128.5,.481,.346,.570,.519,.346,128.5,115.1,.200,.400,.547,.514,.162
1122,TOR,2024-12-09,,NYK,"L, 108-113",115.1,120.4,.115,.365,.536,.516,.094,120.4,115.1,.232,.488,.625,.616,.146
1123,ATL,2025-02-07,,MIL,"W, 115-110",115.1,110.1,.196,.391,.575,.560,.130,110.1,115.1,.104,.521,.548,.526,.094
1124,BRK,2025-01-29,@,CHO,"W, 104-83",115.1,91.8,.250,.400,.586,.550,.200,91.8,115.1,.301,.422,.441,.398,.205
1125,DEN,2025-02-06,,ORL,"W, 112-90",115.1,92.5,.253,.361,.607,.602,.145,92.5,115.1,.357,.369,.463,.399,.274
1126,MIN,2024-12-02,,LAL,"W, 109-80",115.1,84.5,.185,.432,.622,.599,.148,84.5,115.1,.177,.392,.470,.443,.127
1127,IND,2025-03-08,@,ATL,"L, 118-120",115.1,117.0,.319,.351,.550,.489,.277,117.0,115.1,.216,.351,.565,.515,.206
1128,PHI,2025-03-04,@,MIN,"L, 112-126",115.1,129.4,.314,.372,.572,.541,.221,129.4,115.1,.210,.494,.712,.679,.198
1129,OKC,2025-01-23,,DAL,"L, 115-121",115.0,121.0,.250,.420,.589,.563,.182,121.0,115.0,.486,.419,.673,.622,.392
1130,TOR,2025-03-04,@,ORL,"W, 114-113",115.0,114.0,.438,.375,.597,.550,.325,114.0,115.0,.277,.434,.607,.572,.217
1131,IND,2025-01-14,,CLE,"L, 117-127",115.0,124.8,.242,.308,.581,.549,.187,124.8,115.0,.348,.494,.619,.567,.292
1132,ATL,2024-11-15,,WAS,"W, 129-117",115.0,104.3,.306,.378,.580,.531,.255,104.3,115.0,.198,.406,.508,.476,.151
1133,GSW,2025-03-03,@,CHO,"W, 119-101",114.9,97.6,.253,.526,.564,.516,.221,97.6,114.9,.384,.465,.502,.459,.256
1134,NOP,2024-11-03,,ATL,"L, 111-126",114.9,130.5,.222,.422,.562,.522,.189,130.5,114.9,.136,.409,.675,.653,.125
1135,TOR,2024-12-03,,IND,"W, 122-111",114.9,104.6,.358,.407,.651,.623,.259,104.6,114.9,.333,.357,.576,.524,.274
1136,GSW,2025-01-29,,OKC,"W, 116-109",114.9,108.0,.346,.469,.622,.574,.284,108.0,114.9,.253,.394,.495,.449,.202
1137,MIA,2024-12-21,@,ORL,"L, 114-121",114.9,122.0,.560,.427,.610,.540,.440,122.0,114.9,.310,.425,.612,.557,.276
1138,ATL,2024-12-04,@,MIL,"W, 119-104",114.9,100.4,.216,.314,.533,.485,.196,100.4,114.9,.449,.577,.557,.519,.295
1139,DAL,2025-01-22,,MIN,"L, 114-115",114.9,115.9,.211,.322,.580,.544,.178,115.9,114.9,.420,.358,.599,.525,.370
1140,MIA,2025-01-21,,POR,"L, 107-116",114.9,124.5,.129,.452,.544,.516,.118,124.5,114.9,.264,.494,.597,.580,.172
1141,WAS,2024-11-30,@,MIL,"L, 114-124",114.8,124.8,.276,.368,.584,.523,.264,124.8,114.8,.291,.407,.639,.605,.233
1142,MIN,2024-12-29,,SAS,"W, 112-110",114.8,112.7,.190,.440,.517,.485,.150,112.7,114.8,.322,.448,.554,.500,.264
1143,NOP,2025-01-15,,DAL,"W, 119-116",114.8,111.9,.247,.402,.553,.510,.206,111.9,114.8,.278,.389,.574,.544,.200
1144,IND,2024-11-18,@,TOR,"L, 119-130",114.8,125.4,.202,.404,.552,.520,.162,125.4,114.8,.341,.354,.689,.671,.244
1145,MIA,2024-12-01,@,TOR,"L, 116-119",114.8,117.7,.318,.455,.578,.528,.261,117.7,114.8,.227,.330,.615,.591,.170
1146,MIL,2025-03-11,@,IND,"L, 114-115",114.7,115.8,.226,.429,.617,.595,.167,115.8,114.7,.207,.448,.606,.580,.161
1147,PHI,2025-03-06,@,BOS,"L, 105-123",114.7,134.4,.126,.411,.524,.500,.105,134.4,114.7,.143,.527,.636,.610,.132
1148,TOR,2024-11-27,@,NOP,"W, 119-93",114.7,89.7,.126,.547,.593,.605,.042,89.7,114.7,.172,.376,.465,.446,.108
1149,CLE,2025-01-27,,DET,"W, 110-91",114.7,94.9,.253,.484,.544,.505,.198,94.9,114.7,.115,.375,.451,.438,.073
1150,GSW,2024-10-30,,NOP,"W, 104-89",114.7,98.2,.149,.437,.561,.546,.103,98.2,114.7,.222,.400,.450,.428,.133
1151,LAL,2025-03-10,@,BRK,"L, 108-111",114.7,117.9,.224,.471,.578,.547,.176,117.9,114.7,.333,.500,.538,.511,.211
1152,SAC,2024-10-29,@,UTA,"W, 113-96",114.7,97.5,.152,.337,.576,.565,.098,97.5,114.7,.157,.539,.504,.472,.135
1153,MEM,2025-03-14,,CLE,"L, 124-133",114.7,123.0,.216,.371,.584,.552,.175,123.0,114.7,.375,.580,.649,.608,.295
1154,TOR,2025-02-07,@,OKC,"L, 109-121",114.7,127.3,.209,.451,.549,.533,.132,127.3,114.7,.369,.369,.620,.565,.310
1155,CHO,2025-02-20,@,DEN,"L, 115-129",114.7,128.7,.172,.374,.540,.510,.141,128.7,114.7,.163,.439,.614,.597,.122
1156,WAS,2024-10-28,@,ATL,"W, 121-119",114.7,112.8,.242,.484,.601,.566,.198,112.8,114.7,.444,.494,.614,.574,.321
1157,LAL,2024-10-22,,MIN,"W, 110-103",114.7,107.4,.263,.316,.519,.468,.221,107.4,114.7,.318,.482,.532,.488,.235
1158,MEM,2025-03-12,,UTA,"W, 122-115",114.7,108.1,.223,.468,.591,.564,.170,108.1,114.7,.311,.378,.562,.533,.211
1159,CLE,2025-02-05,@,DET,"W, 118-115",114.6,111.7,.282,.447,.617,.576,.235,111.7,114.6,.286,.378,.521,.459,.255
1160,ATL,2025-01-23,,TOR,"L, 119-122",114.6,117.5,.345,.425,.594,.557,.253,117.5,114.6,.296,.259,.666,.636,.235
1161,DET,2025-03-09,@,POR,"W, 119-112",114.6,107.8,.368,.322,.589,.546,.276,107.8,114.6,.344,.538,.523,.468,.269
1162,CLE,2024-11-11,@,CHI,"W, 119-113",114.6,108.8,.247,.464,.553,.521,.186,108.8,114.6,.184,.437,.601,.575,.149
1163,BOS,2024-12-02,,MIA,"W, 108-89",114.6,94.4,.146,.618,.570,.545,.124,94.4,114.6,.264,.402,.458,.402,.218
1164,CHO,2025-01-07,,PHO,"W, 115-104",114.6,103.6,.296,.480,.519,.454,.265,103.6,114.6,.207,.359,.518,.467,.196
1165,LAC,2025-03-09,,SAC,"W, 111-110 (OT)",114.5,113.5,.309,.383,.603,.593,.185,113.5,114.5,.287,.391,.561,.511,.241
1166,SAS,2024-11-23,,GSW,"W, 104-94",114.5,103.5,.224,.553,.557,.524,.176,103.5,114.5,.137,.463,.467,.453,.084
1167,OKC,2025-02-24,,MIN,"L, 128-131 (OT)",114.5,117.2,.274,.462,.539,.495,.217,117.2,114.5,.402,.330,.574,.500,.351
1168,ATL,2025-01-30,@,CLE,"L, 115-137",114.5,136.5,.300,.433,.564,.528,.222,136.5,114.5,.220,.429,.686,.654,.198
1169,POR,2025-02-10,@,DEN,"L, 117-146",114.5,142.9,.295,.420,.588,.540,.250,142.9,114.5,.220,.275,.731,.703,.198
1170,WAS,2025-01-01,,CHI,"W, 125-107",114.5,98.0,.121,.364,.599,.581,.101,98.0,114.5,.152,.511,.545,.522,.120
1171,CHO,2024-12-03,,PHI,"L, 104-110",114.5,121.1,.364,.442,.582,.526,.299,121.1,114.5,.244,.488,.606,.561,.220
1172,MIL,2025-02-27,,DEN,"W, 121-112",114.5,106.0,.311,.378,.591,.544,.256,106.0,114.5,.105,.324,.510,.490,.086
1173,SAS,2024-12-19,,ATL,"W, 133-126 (OT)",114.5,108.5,.228,.416,.598,.579,.158,108.5,114.5,.216,.392,.593,.557,.186
1174,POR,2025-01-09,@,DAL,"L, 111-117",114.5,120.7,.215,.387,.545,.505,.183,120.7,114.5,.341,.341,.578,.511,.307
1175,BRK,2025-03-08,@,CHO,"L, 102-105",114.5,117.9,.183,.610,.576,.549,.146,117.9,114.5,.163,.347,.500,.464,.143
1176,DEN,2024-12-13,,LAC,"W, 120-98",114.5,93.5,.416,.377,.659,.610,.338,93.5,114.5,.217,.494,.539,.530,.120
1177,ORL,2025-02-20,@,ATL,"W, 114-108",114.5,108.5,.447,.294,.560,.518,.306,108.5,114.5,.280,.350,.481,.445,.190
1178,PHO,2025-01-06,@,PHI,"W, 109-99",114.5,104.0,.235,.383,.610,.593,.160,104.0,114.5,.299,.460,.503,.477,.184
1179,IND,2025-02-11,,NYK,"L, 115-128",114.5,127.4,.292,.348,.572,.534,.225,127.4,114.5,.253,.297,.633,.593,.220
1180,CHO,2025-01-12,@,PHO,"L, 113-120",114.5,121.6,.217,.435,.561,.527,.174,121.6,114.5,.253,.471,.621,.580,.218
1181,MIL,2025-03-28,,NYK,"L, 107-116",114.5,124.1,.253,.440,.642,.633,.160,124.1,114.5,.172,.355,.580,.548,.151
1182,CHI,2024-11-15,@,CLE,"L, 126-144",114.4,130.8,.227,.477,.651,.625,.182,130.8,114.4,.258,.462,.695,.661,.226
1183,MIN,2024-12-25,@,DAL,"W, 105-99",114.4,107.9,.151,.372,.572,.547,.128,107.9,114.4,.126,.494,.539,.506,.126
1184,MEM,2025-01-06,,DAL,"W, 119-104",114.4,100.0,.398,.398,.575,.523,.307,100.0,114.4,.153,.367,.497,.474,.112
1185,TOR,2024-11-29,@,MIA,"L, 111-121",114.4,124.7,.213,.363,.634,.606,.175,124.7,114.4,.181,.574,.596,.569,.149
1186,MIN,2025-02-28,@,UTA,"L, 116-117",114.4,115.4,.139,.515,.541,.535,.079,115.4,114.4,.152,.380,.596,.587,.098
1187,GSW,2025-03-20,,TOR,"W, 117-114",114.4,111.5,.311,.522,.572,.528,.244,111.5,114.4,.244,.333,.660,.635,.192
1188,LAL,2024-12-01,@,UTA,"W, 105-104",114.3,113.3,.284,.375,.530,.483,.227,113.3,114.3,.203,.506,.604,.595,.127
1189,ORL,2024-12-29,,BRK,"W, 102-101",114.3,113.2,.301,.434,.543,.518,.193,113.2,114.3,.384,.411,.592,.527,.329
1190,LAC,2025-02-13,@,UTA,"W, 120-116 (OT)",114.3,110.5,.383,.404,.546,.489,.298,110.5,114.3,.333,.577,.648,.603,.282
1191,NOP,2025-02-28,@,PHO,"L, 108-125",114.3,132.3,.172,.322,.577,.569,.103,132.3,114.3,.165,.506,.738,.728,.127
1192,DEN,2025-03-21,@,POR,"L, 109-128",114.3,134.2,.368,.342,.617,.559,.316,134.2,114.3,.287,.402,.653,.621,.230
1193,ATL,2025-02-10,@,ORL,"W, 112-106",114.3,108.2,.364,.416,.627,.571,.312,108.2,114.3,.308,.385,.598,.551,.256
1194,CHO,2025-01-20,,DAL,"W, 110-105",114.3,109.1,.184,.398,.519,.495,.133,109.1,114.3,.295,.364,.528,.466,.261
1195,PHI,2025-02-07,@,DET,"L, 112-125",114.3,127.5,.241,.373,.610,.572,.205,127.5,114.3,.268,.454,.576,.541,.206
1196,DEN,2025-01-15,,HOU,"L, 108-128",114.2,135.4,.280,.387,.641,.627,.187,135.4,114.2,.181,.404,.631,.612,.138
1197,GSW,2024-11-22,@,NOP,"W, 112-108",114.2,110.1,.333,.425,.561,.517,.253,110.1,114.2,.239,.424,.531,.511,.152
1198,BRK,2024-11-04,,MEM,"W, 106-104",114.2,112.0,.214,.429,.577,.554,.155,112.0,114.2,.143,.330,.538,.516,.110
1199,CLE,2024-10-28,@,NYK,"W, 110-104",114.2,107.9,.293,.439,.594,.549,.244,107.9,114.2,.200,.311,.531,.494,.167
1200,NYK,2024-12-21,@,NOP,"W, 104-93",114.1,102.1,.172,.425,.556,.523,.149,102.1,114.1,.229,.410,.509,.482,.157
1201,HOU,2025-03-06,@,NOP,"W, 109-97",114.1,101.6,.222,.358,.613,.623,.099,101.6,114.1,.398,.325,.497,.428,.313
1202,CHI,2025-03-02,@,IND,"L, 112-127",114.1,129.4,.205,.375,.584,.557,.159,129.4,114.1,.207,.506,.669,.661,.138
1203,DAL,2025-02-12,,GSW,"W, 111-107",114.1,110.0,.172,.414,.593,.569,.138,110.0,114.1,.188,.365,.515,.479,.156
1204,DET,2024-11-08,,ATL,"W, 122-121",114.1,113.1,.360,.384,.612,.587,.244,113.1,114.1,.237,.371,.565,.531,.186
1205,PHI,2024-11-20,@,MEM,"L, 111-117",114.1,120.2,.276,.379,.569,.511,.253,120.2,114.1,.188,.506,.636,.594,.188
1206,BRK,2025-01-01,@,TOR,"L, 113-130",114.1,131.2,.230,.425,.590,.546,.207,131.2,114.1,.148,.364,.694,.682,.114
1207,CHI,2025-02-05,@,MIN,"L, 108-127",114.0,134.1,.265,.434,.583,.554,.193,134.1,114.0,.286,.480,.576,.531,.235
1208,HOU,2025-02-03,@,NYK,"L, 118-124",114.0,119.8,.144,.269,.533,.500,.135,119.8,114.0,.323,.280,.584,.538,.258
1209,SAC,2025-04-02,@,WAS,"L, 111-116",114.0,119.2,.295,.411,.517,.474,.221,119.2,114.0,.214,.512,.631,.613,.155
1210,TOR,2024-10-25,,PHI,"W, 115-107",114.0,106.1,.605,.303,.597,.500,.513,106.1,114.0,.697,.382,.539,.441,.526
1211,CLE,2024-12-13,,WAS,"W, 115-105",114.0,104.1,.440,.549,.529,.478,.308,104.1,114.0,.128,.465,.578,.558,.105
1212,MEM,2025-04-03,@,MIA,"W, 110-108",114.0,111.9,.200,.447,.595,.565,.165,111.9,114.0,.200,.347,.522,.484,.168
1213,ORL,2025-03-04,,TOR,"L, 113-114",114.0,115.0,.277,.434,.607,.572,.217,115.0,114.0,.438,.375,.597,.550,.325
1214,MIL,2024-11-04,@,CLE,"L, 114-116",114.0,116.0,.174,.407,.616,.587,.151,116.0,114.0,.143,.407,.600,.599,.077
1215,CHI,2024-11-27,@,ORL,"L, 119-133",114.0,127.4,.184,.483,.633,.621,.126,127.4,114.0,.311,.433,.650,.594,.289
1216,LAL,2025-03-27,@,CHI,"L, 117-119",114.0,115.9,.198,.451,.591,.560,.165,115.9,114.0,.239,.478,.585,.571,.152
1217,DEN,2025-01-12,@,DAL,"W, 112-101",114.0,102.8,.213,.340,.545,.527,.138,102.8,114.0,.294,.400,.526,.482,.224
1218,BRK,2025-02-22,@,PHI,"W, 105-103",113.9,111.8,.235,.346,.588,.549,.198,111.8,113.9,.282,.459,.539,.482,.247
1219,MIA,2025-03-12,,LAC,"L, 104-119",113.9,130.4,.167,.440,.577,.560,.119,130.4,113.9,.316,.355,.687,.678,.211
1220,CHO,2024-10-23,@,HOU,"W, 110-105",113.9,108.7,.282,.459,.576,.535,.224,108.7,113.9,.194,.417,.470,.432,.155
1221,LAL,2025-01-27,@,CHO,"W, 112-107",113.9,108.8,.279,.326,.580,.547,.209,108.8,113.9,.207,.414,.564,.529,.172
1222,WAS,2025-02-24,,BRK,"W, 107-99",113.9,105.4,.357,.443,.660,.593,.343,105.4,113.9,.286,.429,.523,.476,.226
1223,MIL,2024-10-25,,CHI,"L, 122-133",113.9,124.2,.269,.430,.587,.565,.183,124.2,113.9,.240,.490,.627,.589,.208
1224,IND,2024-12-23,@,GSW,"W, 111-105",113.9,107.7,.120,.380,.573,.549,.109,107.7,113.9,.233,.422,.529,.500,.167
1225,IND,2024-12-01,@,MEM,"L, 121-136",113.9,128.0,.289,.467,.596,.556,.233,128.0,113.9,.290,.495,.648,.613,.237
1226,DEN,2024-12-03,,GSW,"W, 119-115",113.9,110.1,.443,.304,.630,.576,.354,110.1,113.9,.221,.400,.552,.526,.158
1227,CLE,2024-11-09,,BRK,"W, 105-100",113.9,108.4,.257,.378,.637,.608,.203,108.4,113.9,.237,.566,.596,.546,.224
1228,NOP,2024-10-23,,CHI,"W, 123-111",113.8,102.7,.216,.381,.579,.536,.196,102.7,113.8,.291,.395,.572,.547,.198
1229,BRK,2025-01-02,@,MIL,"W, 113-110",113.8,110.8,.318,.443,.563,.500,.284,110.8,113.8,.311,.411,.538,.506,.211
1230,BOS,2025-02-10,@,MIA,"W, 103-85",113.8,93.9,.094,.624,.582,.559,.094,93.9,113.8,.141,.489,.435,.397,.130
1231,DET,2025-03-21,@,DAL,"L, 117-123",113.8,119.6,.194,.316,.550,.526,.143,119.6,113.8,.450,.425,.642,.600,.338
1232,NOP,2024-12-12,,SAC,"L, 109-111",113.8,115.8,.241,.446,.594,.554,.205,115.8,113.8,.315,.359,.530,.457,.293
1233,BOS,2025-01-31,@,NOP,"W, 118-116",113.8,111.8,.310,.488,.618,.595,.214,111.8,113.8,.211,.411,.590,.572,.144
1234,CHO,2025-02-03,,WAS,"L, 114-124",113.7,123.7,.315,.326,.563,.500,.281,123.7,113.7,.232,.515,.568,.530,.192
1235,SAS,2024-11-04,@,LAC,"L, 104-113",113.7,123.6,.221,.477,.551,.506,.198,123.6,113.7,.189,.411,.580,.561,.133
1236,HOU,2025-01-22,,CLE,"W, 109-108",113.7,112.7,.220,.374,.546,.522,.154,112.7,113.7,.196,.423,.513,.490,.134
1237,MIL,2025-01-10,@,ORL,"W, 109-106",113.7,110.5,.277,.301,.585,.572,.169,110.5,113.7,.302,.465,.544,.512,.209
1238,TOR,2024-10-28,,DEN,"L, 125-127 (OT)",113.7,115.5,.193,.321,.529,.495,.156,115.5,113.7,.313,.208,.582,.536,.250
1239,DAL,2025-03-12,@,SAS,"L, 116-126",113.6,123.4,.210,.395,.656,.636,.160,123.4,113.6,.170,.372,.624,.590,.160
1240,POR,2025-01-19,,CHI,"W, 113-102",113.6,102.6,.281,.348,.565,.522,.225,102.6,113.6,.321,.358,.552,.494,.272
1241,TOR,2025-01-11,@,DET,"L, 114-123",113.6,122.6,.293,.413,.549,.522,.196,122.6,113.6,.250,.393,.660,.637,.190
1242,TOR,2025-03-02,@,ORL,"W, 104-102",113.6,111.4,.375,.275,.558,.506,.288,111.4,113.6,.627,.313,.597,.500,.522
1243,PHI,2024-12-04,,ORL,"L, 102-106",113.6,118.1,.232,.366,.564,.555,.134,118.1,113.6,.250,.345,.568,.536,.190
1244,POR,2024-11-01,,OKC,"L, 114-137",113.6,136.5,.373,.422,.590,.560,.253,136.5,113.6,.200,.516,.663,.637,.168
1245,TOR,2024-11-21,,MIN,"W, 110-105",113.6,108.4,.542,.319,.617,.563,.403,108.4,113.6,.413,.438,.555,.488,.338
1246,NYK,2025-02-28,@,MEM,"W, 114-113",113.5,112.5,.168,.400,.559,.532,.137,112.5,113.5,.234,.330,.545,.489,.223
1247,BOS,2025-03-31,@,MEM,"W, 117-103",113.5,99.9,.198,.646,.561,.516,.188,99.9,113.5,.174,.478,.520,.505,.109
1248,SAC,2025-03-09,@,LAC,"L, 110-111 (OT)",113.5,114.5,.287,.391,.561,.511,.241,114.5,113.5,.309,.383,.603,.593,.185
1249,CLE,2024-12-01,,BOS,"W, 115-111",113.5,109.6,.313,.450,.632,.594,.250,109.6,113.5,.200,.516,.537,.489,.189
1250,UTA,2025-03-10,@,BOS,"L, 108-114",113.5,119.8,.126,.400,.538,.521,.095,119.8,113.5,.194,.570,.565,.527,.172
1251,DAL,2025-03-31,,BRK,"L, 109-113",113.5,117.7,.337,.349,.552,.535,.198,117.7,113.5,.222,.567,.572,.544,.167
1252,SAC,2025-01-23,@,DEN,"L, 123-132",113.5,121.8,.178,.383,.533,.509,.131,121.8,113.5,.307,.366,.576,.550,.208
1253,MIN,2024-10-26,,TOR,"W, 112-101",113.4,102.3,.313,.446,.593,.554,.241,102.3,113.4,.144,.322,.528,.511,.100
1254,NOP,2024-12-27,,MEM,"L, 124-132",113.4,120.7,.302,.396,.570,.505,.281,120.7,113.4,.393,.461,.632,.567,.348
