Rk,Team,Date,H/A,Opp,Result,Tm_ORB%,Tm_DRB%,Tm_TRB%,Opp_ORB%,Opp_DRB%,Opp_TRB%
922,NYK,2025-03-07,@,LAC,"L, 95-105",26.9,81.3,47.0,18.8,73.1,47.0
923,POR,2025-03-17,,WAS,"W, 112-97",26.9,76.6,49.5,23.4,73.1,49.5
924,TOR,2024-12-31,@,BOS,"L, 71-125",26.9,73.2,52.7,26.8,73.1,52.7
925,WAS,2025-01-27,@,DAL,"L, 108-130",26.9,70.5,53.1,29.5,73.1,53.1
926,BOS,2024-12-31,,TOR,"W, 125-71",26.8,73.1,47.3,26.9,73.2,47.3
927,BOS,2024-11-01,@,CHO,"W, 124-109",26.8,71.4,50.6,28.6,73.2,50.6
928,DEN,2024-12-23,,PHO,"W, 117-90",26.8,79.5,45.9,20.5,73.2,45.9
929,LAL,2025-03-02,,LAC,"W, 108-102",26.8,75.0,49.4,25.0,73.2,49.4
930,MIL,2025-03-22,@,SAC,"W, 114-108",26.8,68.9,51.2,31.1,73.2,51.2
931,MIL,2025-01-17,,TOR,"W, 130-112",26.8,71.7,49.4,28.3,73.2,49.4
932,NYK,2025-01-06,,ORL,"L, 94-103",26.8,75.0,50.6,25.0,73.2,50.6
933,ORL,2024-11-29,@,BRK,"W, 123-100",26.8,85.3,46.7,14.7,73.2,46.7
934,PHI,2025-01-15,,NYK,"L, 119-125 (OT)",26.8,61.5,56.3,38.5,73.2,56.3
935,PHO,2025-02-12,@,HOU,"L, 111-119",26.8,65.3,52.2,34.7,73.2,52.2
936,BOS,2024-12-07,,MEM,"L, 121-127",26.8,76.6,50.5,23.4,73.2,50.5
937,UTA,2025-01-27,,MIL,"L, 110-125",26.8,86.1,50.0,13.9,73.2,50.0
938,BOS,2025-02-23,,NYK,"W, 118-105",26.7,84.1,44.9,15.9,73.3,44.9
939,CHI,2025-03-29,,DAL,"L, 119-120",26.7,84.6,42.3,15.4,73.3,42.3
940,CLE,2025-01-27,,DET,"W, 110-91",26.7,77.4,45.9,22.6,73.3,45.9
941,CLE,2024-11-19,@,BOS,"L, 117-120",26.7,76.3,50.6,23.7,73.3,50.6
942,DAL,2025-03-31,,BRK,"L, 109-113",26.7,84.1,44.9,15.9,73.3,44.9
943,DET,2025-03-30,@,MIN,"L, 104-123",26.7,65.1,57.3,34.9,73.3,57.3
944,GSW,2025-01-22,@,SAC,"L, 117-123",26.7,86.5,46.3,13.5,73.3,46.3
945,IND,2024-11-24,,WAS,"W, 115-103",26.7,80.5,47.7,19.5,73.3,47.7
946,LAC,2024-11-06,,PHI,"W, 110-98",26.7,67.7,52.5,32.3,73.3,52.5
947,MEM,2024-12-13,,BRK,"W, 135-119",26.7,82.2,45.6,17.8,73.3,45.6
948,BRK,2025-03-29,@,WAS,"W, 115-112",26.7,84.1,44.9,15.9,73.3,44.9
949,BRK,2025-02-05,,WAS,"L, 102-119",26.7,78.1,51.9,21.9,73.3,51.9
950,BRK,2024-10-23,@,ATL,"L, 116-120",26.7,72.1,51.1,27.9,73.3,51.1
951,NOP,2024-12-27,,MEM,"L, 124-132",26.7,78.6,48.3,21.4,73.3,48.3
952,ORL,2025-01-19,,DEN,"L, 100-113",26.7,63.9,59.4,36.1,73.3,59.4
953,SAS,2024-12-21,,POR,"W, 114-94",26.7,77.1,47.3,22.9,73.3,47.3
954,SAS,2024-10-24,@,DAL,"L, 109-120",26.7,70.2,49.0,29.8,73.3,49.0
955,WAS,2025-03-01,@,CHO,"W, 113-100",26.7,76.6,47.8,23.4,73.3,47.8
956,ATL,2025-01-18,@,BOS,"W, 119-115 (OT)",26.5,71.2,49.1,28.8,73.5,49.1
957,CHO,2025-01-31,,LAC,"L, 104-112",26.5,76.3,51.7,23.7,73.5,51.7
958,DEN,2024-11-19,@,MEM,"W, 122-110",26.5,67.8,50.9,32.2,73.5,50.9
959,MIA,2024-11-06,@,PHO,"L, 112-115",26.5,75.0,51.7,25.0,73.5,51.7
960,MIN,2024-11-13,@,POR,"L, 98-106",26.5,71.8,53.4,28.2,73.5,53.4
961,ORL,2025-01-09,,MIN,"L, 89-104",26.5,70.8,51.5,29.2,73.5,51.5
962,PHI,2025-03-26,,WAS,"L, 114-119",26.5,72.3,51.0,27.7,73.5,51.0
963,CHO,2025-02-20,@,DEN,"L, 115-129",26.4,66.0,55.0,34.0,73.6,55.0
