Rk,Team,Date,H/A,Opp,Result,MP,Tm_FG,Tm_FGA,Tm_FG%,Tm_2P,Tm_2PA,Tm_2P%,Tm_3P,Tm_3PA,Tm_3P%,Tm_FT,Tm_FTA,Tm_FT%,Tm_PTS,Opp_FG,Opp_FGA,Opp_FG%,Opp_2P,Opp_2PA,Opp_2P%,Opp_3P,Opp_3PA,Opp_3P%,Opp_FT,Opp_FTA,Opp_FT%,Opp_PTS
97,IND,2025-01-02,@,MIA,"W, 128-115",240,51,96,.531,34,56,.607,17,40,.425,9,16,.563,128,43,75,.573,32,49,.653,11,26,.423,18,21,.857,115
98,LAC,2025-02-08,,UTA,"W, 130-110",240,51,88,.580,40,62,.645,11,26,.423,17,21,.810,130,39,83,.470,22,40,.550,17,43,.395,15,18,.833,110
99,LAL,2024-12-06,@,ATL,"L, 132-134 (OT)",265,51,99,.515,35,64,.547,16,35,.457,14,16,.875,132,50,100,.500,33,60,.550,17,40,.425,17,22,.773,134
100,MEM,2025-03-15,,MIA,"W, 125-91",240,51,92,.554,39,61,.639,12,31,.387,11,12,.917,125,35,88,.398,26,51,.510,9,37,.243,12,15,.800,91
101,MEM,2025-01-15,@,SAS,"W, 129-115",240,51,103,.495,35,65,.538,16,38,.421,11,17,.647,129,40,89,.449,24,46,.522,16,43,.372,19,27,.704,115
102,MEM,2024-11-27,,DET,"W, 131-111",240,51,93,.548,34,47,.723,17,46,.370,12,16,.750,131,40,85,.471,27,47,.574,13,38,.342,18,25,.720,111
103,MEM,2024-10-28,,CHI,"L, 123-126",240,51,111,.459,37,68,.544,14,43,.326,7,13,.538,123,45,100,.450,20,47,.426,25,53,.472,11,17,.647,126
104,MIL,2025-04-01,,PHO,"W, 133-123",240,51,74,.689,34,45,.756,17,29,.586,14,15,.933,133,44,92,.478,26,47,.553,18,45,.400,17,21,.810,123
105,MIN,2024-11-07,@,CHI,"W, 135-119",240,51,93,.548,35,55,.636,16,38,.421,17,17,1.000,135,47,88,.534,32,52,.615,15,36,.417,10,15,.667,119
106,NOP,2025-01-29,,DAL,"L, 136-137",240,51,96,.531,36,65,.554,15,31,.484,19,22,.864,136,52,96,.542,32,53,.604,20,43,.465,13,17,.765,137
107,NYK,2025-01-12,,MIL,"W, 140-106",240,51,88,.580,33,47,.702,18,41,.439,20,24,.833,140,43,94,.457,33,60,.550,10,34,.294,10,17,.588,106
108,NYK,2024-12-28,@,WAS,"W, 136-132 (OT)",265,51,97,.526,41,57,.719,10,40,.250,24,26,.923,136,51,99,.515,34,61,.557,17,38,.447,13,15,.867,132
109,NYK,2024-12-23,,TOR,"W, 139-125",240,51,86,.593,34,49,.694,17,37,.459,20,29,.690,139,42,77,.545,31,49,.633,11,28,.393,30,37,.811,125
110,NYK,2024-11-18,,WAS,"W, 134-106",240,51,91,.560,31,51,.608,20,40,.500,12,13,.923,134,43,91,.473,32,58,.552,11,33,.333,9,16,.563,106
111,OKC,2025-02-28,@,ATL,"W, 135-119",240,51,101,.505,28,51,.549,23,50,.460,10,12,.833,135,43,88,.489,28,52,.538,15,36,.417,18,23,.783,119
112,OKC,2025-02-03,,MIL,"W, 125-96",240,51,99,.515,35,58,.603,16,41,.390,7,8,.875,125,35,93,.376,22,54,.407,13,39,.333,13,21,.619,96
113,OKC,2024-11-01,@,POR,"W, 137-114",240,51,95,.537,32,46,.696,19,49,.388,16,19,.842,137,39,83,.470,24,48,.500,15,35,.429,21,31,.677,114
114,PHO,2025-03-07,@,DEN,"L, 141-149 (OT)",265,51,91,.560,35,53,.660,16,38,.421,23,29,.793,141,57,97,.588,36,57,.632,21,40,.525,14,18,.778,149
115,PHO,2024-11-26,,LAL,"W, 127-100",240,51,99,.515,34,57,.596,17,42,.405,8,10,.800,127,37,85,.435,29,51,.569,8,34,.235,18,25,.720,100
116,POR,2025-02-22,,CHO,"W, 141-88",240,51,87,.586,31,44,.705,20,43,.465,19,27,.704,141,34,98,.347,29,66,.439,5,32,.156,15,21,.714,88
117,SAC,2024-12-06,@,SAS,"W, 140-113",240,51,90,.567,35,56,.625,16,34,.471,22,24,.917,140,39,91,.429,25,50,.500,14,41,.341,21,30,.700,113
118,SAS,2025-03-02,,OKC,"L, 132-146",240,51,91,.560,33,48,.688,18,43,.419,12,16,.750,132,55,101,.545,36,57,.632,19,44,.432,17,20,.850,146
