Rk,Team,Date,H/A,Opp,Result,MP,Tm_ORB,Tm_DRB,Tm_TRB,Opp_ORB,Opp_DRB,Opp_TRB
288,POR,2025-02-04,,IND,"W, 112-89",240,16,35,51,14,25,39
289,POR,2025-01-11,,MIA,"L, 98-119",240,16,35,51,8,35,43
290,POR,2024-12-23,@,DAL,"L, 108-132",240,16,32,48,13,28,41
291,POR,2024-11-23,@,HOU,"W, 104-98",240,16,37,53,14,29,43
292,POR,2024-11-20,@,OKC,"L, 99-109",240,16,33,49,15,31,46
293,POR,2024-11-10,,MEM,"L, 89-134",240,16,27,43,10,41,51
294,SAC,2025-03-07,,SAS,"W, 127-109",240,16,35,51,9,27,36
295,SAC,2025-01-10,@,BOS,"W, 114-97",240,16,40,56,8,35,43
296,SAS,2025-03-25,@,DET,"L, 96-122",240,16,25,41,6,38,44
297,SAS,2024-12-08,,NOP,"W, 121-116",240,16,39,55,13,30,43
298,TOR,2025-03-23,,SAS,"L, 89-123",240,16,30,46,13,33,46
299,TOR,2025-02-28,@,CHI,"L, 115-125 (OT)",265,16,35,51,10,35,45
300,UTA,2025-02-22,,HOU,"W, 124-115",240,16,42,58,8,33,41
301,UTA,2025-01-04,@,MIA,"W, 136-100",240,16,41,57,5,27,32
302,UTA,2024-11-14,,DAL,"W, 115-113",240,16,24,40,11,19,30
303,WAS,2025-03-10,@,TOR,"L, 104-119",240,16,38,54,28,45,73
304,WAS,2025-02-07,,CLE,"L, 124-134",240,16,24,40,15,31,46
305,WAS,2025-01-07,,HOU,"L, 112-135",240,16,27,43,19,30,49
306,ATL,2025-03-30,@,MIL,"W, 145-124",240,15,31,46,6,30,36
307,ATL,2025-01-22,,DET,"L, 104-114",240,15,32,47,7,44,51
308,ATL,2024-12-04,@,MIL,"W, 119-104",240,15,39,54,8,32,40
309,ATL,2024-11-15,,WAS,"W, 129-117",240,15,40,55,13,39,52
310,ATL,2024-11-08,@,DET,"L, 121-122",240,15,29,44,11,34,45
311,BOS,2025-03-29,@,SAS,"W, 121-111",240,15,39,54,10,25,35
312,BOS,2025-03-12,,OKC,"L, 112-118",240,15,26,41,11,33,44
313,BOS,2025-02-12,,SAS,"W, 116-103",240,15,41,56,9,29,38
314,BOS,2025-02-04,@,CLE,"W, 112-105",240,15,38,53,14,37,51
315,BOS,2024-12-07,,MEM,"L, 121-127",240,15,36,51,11,41,52
316,CHO,2025-02-24,@,SAC,"L, 88-130",240,15,22,37,11,38,49
317,CHO,2025-01-12,@,PHO,"L, 113-120",240,15,37,52,8,31,39
318,CHO,2024-12-03,,PHI,"L, 104-110",240,15,32,47,8,23,31
319,CHO,2024-10-26,,MIA,"L, 106-114",240,15,31,46,13,30,43
320,CHO,2024-10-23,@,HOU,"W, 110-105",240,15,41,56,16,27,43
321,CHI,2025-02-26,,LAC,"L, 117-122",240,15,26,41,11,33,44
322,CLE,2025-04-02,,NYK,"W, 124-105",240,15,29,44,15,24,39
323,CLE,2025-02-07,@,WAS,"W, 134-124",240,15,31,46,16,24,40
324,CLE,2025-01-20,,PHO,"W, 118-92",240,15,35,50,1,33,34
325,DAL,2025-02-04,@,PHI,"L, 116-118",240,15,29,44,9,25,34
326,DAL,2024-11-24,@,MIA,"L, 118-123 (OT)",265,15,44,59,12,45,57
327,DEN,2025-02-08,@,PHO,"W, 122-105",240,15,41,56,17,26,43
328,DEN,2025-01-23,,SAC,"W, 132-123",240,15,41,56,17,36,53
329,DEN,2025-01-12,@,DAL,"W, 112-101",240,15,40,55,8,29,37
330,DEN,2024-12-16,@,SAC,"W, 130-129",240,15,40,55,11,31,42
331,DEN,2024-11-22,,DAL,"L, 120-123",240,15,27,42,12,32,44
332,DEN,2024-10-28,@,TOR,"W, 127-125 (OT)",265,15,37,52,18,36,54
333,DET,2025-03-21,@,DAL,"L, 117-123",240,15,26,41,10,34,44
334,DET,2025-01-18,,PHO,"L, 121-125",240,15,28,43,13,37,50
335,DET,2024-12-28,@,DEN,"L, 121-134",240,15,26,41,8,32,40
336,DET,2024-11-12,,MIA,"W, 123-121 (OT)",265,15,41,56,12,31,43
337,GSW,2025-04-01,@,MEM,"W, 134-125",240,15,34,49,8,35,43
338,GSW,2025-03-06,@,BRK,"W, 121-119",240,15,30,45,8,24,32
339,GSW,2025-02-10,@,MIL,"W, 125-111",240,15,33,48,5,32,37
340,GSW,2025-01-23,,CHI,"W, 131-106",240,15,37,52,10,32,42
341,GSW,2025-01-09,@,DET,"W, 107-104",240,15,34,49,7,33,40
342,GSW,2024-12-15,,DAL,"L, 133-143",240,15,22,37,10,37,47
343,GSW,2024-11-06,@,BOS,"W, 118-112",240,15,38,53,13,34,47
344,GSW,2024-10-23,@,POR,"W, 140-104",240,15,42,57,13,29,42
345,HOU,2025-03-21,@,MIA,"W, 102-98",240,15,31,46,5,29,34
346,HOU,2025-03-08,,NOP,"W, 146-117",240,15,33,48,18,26,44
347,HOU,2025-03-03,@,OKC,"L, 128-137",240,15,34,49,14,35,49
348,HOU,2025-02-13,,GSW,"L, 98-105",240,15,37,52,9,33,42
349,HOU,2025-01-20,,DET,"L, 96-107",240,15,24,39,13,39,52
350,HOU,2025-01-13,,MEM,"W, 120-118",240,15,25,40,8,23,31
351,HOU,2024-12-01,,OKC,"W, 119-116",240,15,36,51,11,35,46
352,IND,2025-03-08,@,ATL,"L, 118-120",240,15,26,41,16,32,48
353,IND,2025-01-08,,CHI,"W, 129-113",240,15,31,46,9,30,39
354,IND,2024-10-28,@,ORL,"L, 115-119",240,15,29,44,11,35,46
355,LAC,2025-02-28,@,LAL,"L, 102-106",240,15,29,44,10,29,39
356,LAC,2025-02-24,@,DET,"L, 97-106",240,15,33,48,8,38,46
357,LAC,2024-12-23,@,MEM,"W, 114-110",240,15,38,53,19,37,56
358,LAC,2024-11-20,,ORL,"W, 104-93",240,15,34,49,2,22,24
359,LAC,2024-11-11,@,OKC,"L, 128-134",240,15,32,47,9,20,29
360,LAC,2024-10-31,,PHO,"L, 119-125",240,15,33,48,8,31,39
361,LAL,2025-01-13,,SAS,"L, 102-126",240,15,25,40,12,29,41
362,LAL,2025-01-02,,POR,"W, 114-106",240,15,28,43,8,34,42
363,LAL,2024-12-13,@,MIN,"L, 87-97",240,15,38,53,11,37,48
364,LAL,2024-10-22,,MIN,"W, 110-103",240,15,31,46,12,35,47
365,MEM,2025-03-17,@,SAC,"L, 122-132",240,15,33,48,10,28,38
366,MEM,2025-02-21,@,ORL,"W, 105-104",240,15,38,53,13,37,50
367,MEM,2024-12-19,,GSW,"W, 144-93",240,15,45,60,10,26,36
368,MIA,2025-04-03,,MEM,"L, 108-110",240,15,32,47,12,37,49
369,MIA,2025-03-31,@,WAS,"W, 120-94",240,15,47,62,5,34,39
370,MIA,2024-12-29,@,HOU,"W, 104-100",240,15,37,52,19,33,52
371,MIA,2024-11-17,@,IND,"L, 110-119",240,15,23,38,10,35,45
372,MIL,2025-03-09,,CLE,"L, 100-112",240,15,35,50,13,31,44
373,MIL,2025-01-12,@,NYK,"L, 106-140",240,15,24,39,10,39,49
374,MIN,2025-03-30,,DET,"W, 123-104",240,15,44,59,16,28,44
375,MIN,2025-02-23,,OKC,"L, 123-130",240,15,29,44,7,30,37
376,MIN,2025-02-12,,MIL,"L, 101-103",240,15,44,59,6,42,48
377,MIN,2025-02-10,@,CLE,"L, 107-128",240,15,26,41,14,35,49
378,BRK,2025-03-13,@,CHI,"L, 110-116",240,15,35,50,13,34,47
379,BRK,2025-01-15,@,LAC,"L, 67-126",240,15,24,39,6,40,46
380,BRK,2025-01-12,@,UTA,"L, 111-112 (OT)",265,15,39,54,6,35,41
381,BRK,2024-12-19,@,TOR,"W, 101-94",240,15,38,53,10,24,34
382,NOP,2025-03-06,,HOU,"L, 97-109",240,15,26,41,9,32,41
383,NOP,2025-01-15,,DAL,"W, 119-116",240,15,34,49,8,37,45
384,NOP,2024-12-02,@,ATL,"L, 112-124",240,15,26,41,11,40,51
385,NOP,2024-11-01,,IND,"W, 125-118",240,15,31,46,6,33,39
386,NOP,2024-10-27,@,POR,"L, 103-125",240,15,24,39,22,29,51
387,NYK,2025-04-02,@,CLE,"L, 105-124",240,15,24,39,15,29,44
388,NYK,2025-01-17,,MIN,"L, 99-116",240,15,26,41,11,35,46
389,NYK,2025-01-15,@,PHI,"W, 125-119 (OT)",265,15,30,45,11,24,35
390,NYK,2025-01-08,,TOR,"W, 112-98",240,15,28,43,8,25,33
391,NYK,2024-12-30,@,WAS,"W, 126-106",240,15,39,54,12,34,46
392,NYK,2024-12-21,@,NOP,"W, 104-93",240,15,27,42,16,29,45
393,OKC,2025-01-12,@,WAS,"W, 136-95",240,15,41,56,8,31,39
394,OKC,2024-12-03,,UTA,"W, 133-106",240,15,19,34,11,25,36
395,OKC,2024-11-29,@,LAL,"W, 101-93",240,15,32,47,8,39,47
396,OKC,2024-11-20,,POR,"W, 109-99",240,15,31,46,16,33,49
397,ORL,2025-02-27,,GSW,"L, 115-121",240,15,31,46,11,27,38
398,ORL,2024-12-10,@,MIL,"L, 109-114",240,15,31,46,5,32,37
399,ORL,2024-11-21,@,LAL,"W, 119-118",240,15,33,48,9,27,36
400,ORL,2024-11-10,,WAS,"W, 121-94",240,15,29,44,7,30,37
401,PHI,2025-02-24,,CHI,"L, 110-142",240,15,32,47,10,34,44
402,PHI,2025-02-22,,BRK,"L, 103-105",240,15,28,43,9,30,39
403,PHI,2024-12-13,,IND,"L, 107-121",240,15,32,47,8,33,41
404,PHI,2024-11-22,,BRK,"W, 113-98",240,15,25,40,7,27,34
405,PHO,2025-04-01,@,MIL,"L, 123-133",240,15,18,33,3,26,29
406,PHO,2025-03-10,@,MEM,"L, 118-120",240,15,31,46,11,28,39
407,POR,2025-03-27,@,SAC,"L, 107-128",240,15,17,32,9,37,46
408,POR,2025-03-21,,DEN,"W, 128-109",240,15,23,38,11,20,31
409,POR,2025-03-10,@,GSW,"L, 120-130",240,15,28,43,12,28,40
410,POR,2025-01-24,@,CHO,"W, 102-97",240,15,32,47,16,30,46
411,POR,2025-01-08,@,NOP,"W, 119-100",240,15,29,44,18,23,41
412,POR,2024-12-19,,DEN,"W, 126-124",240,15,30,45,8,32,40
413,SAC,2024-12-22,,IND,"L, 95-122",240,15,32,47,6,44,50
414,SAC,2024-11-06,,TOR,"W, 122-107",240,15,32,47,8,26,34
415,SAC,2024-11-02,@,TOR,"L, 128-131 (OT)",265,15,34,49,12,34,46
416,SAS,2025-03-19,,NYK,"W, 120-105",240,15,37,52,17,27,44
417,SAS,2025-01-25,,IND,"L, 98-136",240,15,29,44,16,34,50
418,SAS,2025-01-23,@,IND,"W, 140-110",240,15,42,57,9,22,31
419,SAS,2024-12-31,,LAC,"W, 122-86",240,15,43,58,10,31,41
420,SAS,2024-12-05,,CHI,"L, 124-139",240,15,26,41,11,39,50
421,TOR,2025-01-11,@,DET,"L, 114-123",240,15,30,45,7,39,46
422,TOR,2024-12-29,,ATL,"L, 107-136",240,15,37,52,14,26,40
423,TOR,2024-11-16,@,BOS,"L, 123-126 (OT)",265,15,31,46,14,28,42
424,TOR,2024-11-01,,LAL,"L, 125-131",240,15,29,44,9,34,43
425,UTA,2025-02-28,,MIN,"W, 117-116",240,15,45,60,11,29,40
426,UTA,2025-01-27,,MIL,"L, 110-125",240,15,31,46,5,41,46
427,UTA,2024-12-19,@,DET,"W, 126-119",240,15,47,62,13,26,39
428,UTA,2024-10-31,,SAS,"L, 88-106",240,15,38,53,11,31,42
429,UTA,2024-10-28,@,DAL,"L, 102-110",240,15,35,50,13,37,50
430,WAS,2024-12-07,,DEN,"W, 122-113",240,15,31,46,16,32,48
431,ATL,2025-03-10,,PHI,"W, 132-123",240,14,34,48,6,25,31
432,ATL,2025-03-03,@,MEM,"W, 132-130",240,14,18,32,17,26,43
433,ATL,2025-01-27,@,MIN,"L, 92-100",240,14,37,51,14,37,51
434,ATL,2025-01-15,@,CHI,"W, 110-94",240,14,37,51,8,45,53
435,ATL,2024-12-29,@,TOR,"W, 136-107",240,14,26,40,15,37,52
436,ATL,2024-11-30,@,CHO,"W, 107-104",240,14,35,49,18,27,45
437,ATL,2024-11-27,@,CLE,"W, 135-124",240,14,37,51,12,32,44
438,ATL,2024-11-22,@,CHI,"L, 122-136",240,14,28,42,5,36,41
439,BOS,2025-02-28,,CLE,"L, 116-123",240,14,26,40,14,30,44
440,BOS,2024-12-04,,DET,"W, 130-120",240,14,29,43,8,26,34
441,BOS,2024-12-02,,MIA,"W, 108-89",240,14,40,54,11,33,44
442,BOS,2024-11-16,,TOR,"W, 126-123 (OT)",265,14,28,42,15,31,46
443,CHO,2025-02-27,@,DAL,"L, 96-103",240,14,42,56,10,38,48
444,CHO,2025-02-20,@,DEN,"L, 115-129",240,14,31,45,16,39,55
445,CHO,2024-11-29,,NYK,"L, 98-99",240,14,25,39,12,32,44
446,CHO,2024-11-23,@,MIL,"L, 119-125",240,14,34,48,10,41,51
447,CHO,2024-10-30,,TOR,"W, 138-133",240,14,24,38,13,28,41
448,CHI,2025-02-11,,DET,"L, 92-132",240,14,30,44,8,47,55
449,CHI,2025-01-06,,SAS,"W, 114-110",240,14,33,47,13,36,49
450,CHI,2024-12-30,@,CHO,"W, 115-108 (OT)",265,14,49,63,9,47,56
451,CHI,2024-12-13,,CHO,"W, 109-95",240,14,38,52,17,37,54
452,CHI,2024-11-06,@,DAL,"L, 99-119",240,14,37,51,9,38,47
453,CLE,2025-03-27,,SAS,"W, 124-116",240,14,42,56,19,31,50
454,CLE,2025-03-23,@,UTA,"W, 120-91",240,14,37,51,13,39,52
455,CLE,2025-02-28,@,BOS,"W, 123-116",240,14,30,44,14,26,40
456,CLE,2025-02-10,,MIN,"W, 128-107",240,14,35,49,15,26,41
457,CLE,2025-02-04,,BOS,"L, 105-112",240,14,37,51,15,38,53
458,CLE,2025-01-14,@,IND,"W, 127-117",240,14,35,49,9,28,37
459,CLE,2024-12-07,@,CHO,"W, 116-102",240,14,33,47,10,27,37
460,CLE,2024-11-24,,TOR,"W, 122-108",240,14,35,49,19,36,55
461,DAL,2025-02-25,@,LAL,"L, 99-107",240,14,31,45,13,44,57
462,DAL,2024-12-07,@,TOR,"W, 125-118",240,14,38,52,8,31,39
463,DAL,2024-12-03,,MEM,"W, 121-116",240,14,35,49,13,26,39
464,DAL,2024-11-19,,NOP,"W, 132-91",240,14,34,48,7,30,37
465,DEN,2025-04-02,,SAS,"L, 106-113",240,14,44,58,8,44,52
466,DEN,2025-03-09,@,OKC,"L, 103-127",240,14,34,48,10,46,56
467,DEN,2025-02-27,@,MIL,"L, 112-121",240,14,41,55,7,41,48
468,DEN,2025-02-24,@,IND,"W, 125-116",240,14,32,46,8,24,32
469,DEN,2025-02-03,,NOP,"W, 125-113",240,14,32,46,14,27,41
470,DEN,2025-01-25,@,MIN,"L, 104-133",240,14,22,36,18,27,45
471,DEN,2025-01-21,,PHI,"W, 144-109",240,14,37,51,8,17,25
472,DEN,2025-01-04,@,SAS,"W, 122-111 (OT)",265,14,44,58,13,45,58
473,DEN,2024-12-25,@,PHO,"L, 100-110",240,14,32,46,12,30,42
474,DEN,2024-12-22,@,NOP,"W, 132-129 (OT)",265,14,40,54,9,34,43
475,DEN,2024-11-04,,TOR,"W, 121-119",240,14,30,44,14,27,41
476,DET,2025-02-28,,DEN,"L, 119-134",240,14,28,42,10,40,50
477,DET,2025-02-26,,BOS,"W, 117-97",240,14,37,51,7,25,32
478,DET,2025-02-09,,CHO,"W, 112-102",240,14,32,46,9,28,37
479,DET,2025-01-16,,IND,"L, 100-111",240,14,41,55,3,37,40
480,DET,2025-01-03,,CHO,"W, 98-94",240,14,37,51,9,36,45
481,DET,2024-11-15,@,TOR,"W, 99-95",240,14,42,56,17,36,53
482,GSW,2025-04-03,@,LAL,"W, 123-116",240,14,32,46,14,25,39
483,GSW,2025-03-25,@,MIA,"L, 86-112",240,14,24,38,8,34,42
484,GSW,2025-01-31,,PHO,"L, 105-130",240,14,35,49,4,44,48
485,GSW,2025-01-15,@,MIN,"W, 116-115",240,14,31,45,16,25,41
486,GSW,2025-01-13,@,TOR,"L, 101-104",240,14,32,46,14,30,44
487,GSW,2024-12-30,,CLE,"L, 95-113",240,14,41,55,11,43,54
488,GSW,2024-12-08,,MIN,"W, 114-106",240,14,31,45,7,32,39
489,GSW,2024-11-22,@,NOP,"W, 112-108",240,14,38,52,13,30,43
490,GSW,2024-11-15,,MEM,"W, 123-118",240,14,42,56,18,36,54
491,GSW,2024-10-27,,LAC,"L, 104-112",240,14,33,47,14,34,48
492,HOU,2025-03-25,,ATL,"W, 121-114",240,14,37,51,18,24,42
493,HOU,2025-02-01,,BRK,"L, 98-110",240,14,30,44,13,33,46
494,HOU,2025-01-25,@,CLE,"W, 135-131",240,14,31,45,10,30,40
495,HOU,2025-01-15,@,DEN,"W, 128-108",240,14,26,40,9,27,36
496,HOU,2025-01-03,,BOS,"L, 86-109",240,14,23,37,12,29,41
497,HOU,2024-11-27,@,PHI,"W, 122-115 (OT)",265,14,37,51,10,32,42
498,HOU,2024-11-23,,POR,"L, 98-104",240,14,29,43,16,37,53
