Rk,Team,Date,GCA,,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Match Report
126,Chelsea,2025-02-25,7,,Southampton,eng Premier League,W 4-0,4,0,+4,60,4,0,0,0,7,4,1,0,1,1,0,Match Report
127,Chelsea,2024-12-08,7,@,Tottenham,eng Premier League,W 4-3,4,3,+1,61,2,2,2,0,7,4,0,0,1,2,0,Match Report
128,Brighton,2025-02-22,7,@,Southampton,eng Premier League,W 4-0,4,0,+4,50,4,0,0,0,7,4,2,0,0,0,1,Match Report
129,Napoli,2024-09-15,7,@,Cagliari,it Serie A,W 4-0,4,0,+4,49,4,0,0,0,7,6,1,0,0,0,0,Match Report
130,Lyon,2025-03-16,7,,Le Havre,fr Ligue 1,W 4-2,4,2,+2,67,3,1,1,0,7,4,0,1,1,1,0,Match Report
131,Lyon,2024-12-01,7,,Nice,fr Ligue 1,W 4-1,4,1,+3,53,3,1,1,0,7,6,0,1,0,0,0,Match Report
132,Inter,2025-01-26,7,@,Lecce,it Serie A,W 4-0,4,0,+4,51,3,1,1,0,7,4,0,1,0,1,1,Match Report
133,Paris S-G,2025-03-01,7,,Lille,fr Ligue 1,W 4-1,4,1,+3,58,4,0,0,0,7,6,0,0,1,0,0,Match Report
134,Paris S-G,2024-10-19,7,,Strasbourg,fr Ligue 1,W 4-2,4,2,+2,55,4,0,0,0,7,5,0,1,1,0,0,Match Report
135,Nott'ham Forest,2025-03-15,7,@,Ipswich Town,eng Premier League,W 4-2,4,2,+2,45,4,0,0,0,7,7,0,0,0,0,0,Match Report
136,Eint Frankfurt,2025-01-14,7,,Freiburg,de Bundesliga,W 4-1,4,1,+3,64,4,0,0,0,7,3,1,1,1,0,1,Match Report
137,Monaco,2025-02-01,7,,Auxerre,fr Ligue 1,W 4-2,4,2,+2,57,4,0,0,0,7,6,0,0,1,0,0,Match Report
138,Hoffenheim,2025-02-16,6,@,Werder Bremen,de Bundesliga,W 3-1,3,1,+2,37,3,0,0,0,6,6,0,0,0,0,0,Match Report
139,Hoffenheim,2024-09-29,6,,Werder Bremen,de Bundesliga,L 3-4,3,4,-1,37,3,0,0,0,6,5,0,1,0,0,0,Match Report
140,Osasuna,2025-03-02,6,,Valencia,es La Liga,D 3-3,3,3,0,51,2,1,1,0,6,5,0,0,0,1,0,Match Report
141,Bayern Munich,2024-11-02,6,,Union Berlin,de Bundesliga,W 3-0,3,0,+3,77,2,1,1,0,6,5,0,0,0,1,0,Match Report
142,Augsburg,2025-02-22,6,@,Gladbach,de Bundesliga,W 3-0,3,0,+3,51,3,0,0,0,6,5,1,0,0,0,0,Match Report
143,Nice,2024-09-01,6,@,Angers,fr Ligue 1,W 4-1,4,1,+3,46,4,0,0,0,6,2,1,1,2,0,0,Match Report
144,Arsenal,2024-11-23,6,,Nott'ham Forest,eng Premier League,W 3-0,3,0,+3,66,3,0,0,0,6,6,0,0,0,0,0,Match Report
145,Heidenheim,2024-09-01,6,,Augsburg,de Bundesliga,W 4-0,4,0,+4,36,3,1,1,0,6,5,1,0,0,0,0,Match Report
146,Manchester Utd,2024-09-14,6,@,Southampton,eng Premier League,W 3-0,3,0,+3,56,3,0,0,0,6,4,2,0,0,0,0,Match Report
147,Bologna,2025-01-18,6,,Monza,it Serie A,W 3-1,3,1,+2,58,3,0,0,0,6,6,0,0,0,0,0,Match Report
148,Bologna,2024-11-30,6,,Venezia,it Serie A,W 3-0,3,0,+3,60,1,2,2,0,6,3,0,0,0,2,1,Match Report
149,Barcelona,2025-03-30,6,,Girona,es La Liga,W 4-1,4,1,+3,69,3,0,0,0,6,5,0,1,0,0,0,Match Report
150,Barcelona,2025-03-27,6,,Osasuna,es La Liga,W 3-0,3,0,+3,74,2,1,1,0,6,5,0,0,0,1,0,Match Report
151,Barcelona,2025-03-16,6,@,Atlético Madrid,es La Liga,W 4-2,4,2,+2,65,4,0,0,0,6,4,0,2,0,0,0,Match Report
152,Barcelona,2024-11-03,6,,Espanyol,es La Liga,W 3-1,3,1,+2,76,3,0,0,0,6,5,0,0,0,0,1,Match Report
153,Barcelona,2024-10-06,6,@,Alavés,es La Liga,W 3-0,3,0,+3,71,3,0,0,0,6,3,1,1,0,1,0,Match Report
