Rk,Team,Date,GCA,,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Match Report
1367,Lazio,2025-01-26,2,,Fiorentina,it Serie A,L 1-2,1,2,-1,70,1,0,0,0,2,2,0,0,0,0,0,Match Report
1368,Lazio,2025-01-10,2,,Como,it Serie A,D 1-1,1,1,0,37,1,0,0,0,2,2,0,0,0,0,0,Match Report
1369,Lazio,2024-12-28,2,,Atalanta,it Serie A,D 1-1,1,1,0,40,1,0,0,0,2,2,0,0,0,0,0,Match Report
1370,Lazio,2024-12-08,2,@,Napoli,it Serie A,W 1-0,1,0,+1,44,1,0,0,0,2,1,0,1,0,0,0,Match Report
1371,Lazio,2024-11-10,2,@,Monza,it Serie A,W 1-0,1,0,+1,49,1,0,0,0,2,2,0,0,0,0,0,Match Report
1372,Lazio,2024-09-22,2,@,Fiorentina,it Serie A,L 1-2,1,2,-1,54,1,0,0,0,2,0,1,0,0,1,0,Match Report
1373,Getafe,2025-03-09,2,,Atlético Madrid,es La Liga,W 2-1,2,1,+1,39,2,0,0,0,2,0,0,0,2,0,0,Match Report
1374,Getafe,2025-02-23,2,,Betis,es La Liga,L 1-2,1,2,-1,49,1,0,0,0,2,2,0,0,0,0,0,Match Report
1375,Getafe,2025-02-14,2,@,Girona,es La Liga,W 2-1,2,1,+1,29,2,0,0,0,2,0,0,0,1,0,1,Match Report
1376,Getafe,2024-12-09,2,,Espanyol,es La Liga,W 1-0,1,0,+1,43,1,0,0,0,2,2,0,0,0,0,0,Match Report
1377,Getafe,2024-10-20,2,@,Villarreal,es La Liga,D 1-1,1,1,0,44,0,1,1,0,2,1,0,0,0,1,0,Match Report
1378,Getafe,2024-10-05,2,,Osasuna,es La Liga,D 1-1,1,1,0,41,1,0,0,0,2,1,1,0,0,0,0,Match Report
1379,Getafe,2024-09-22,2,,Leganés,es La Liga,D 1-1,1,1,0,59,0,1,1,0,2,0,0,1,0,1,0,Match Report
1380,Getafe,2024-09-18,2,@,Betis,es La Liga,L 1-2,1,2,-1,35,1,0,0,0,2,0,1,0,1,0,0,Match Report
1381,Getafe,2024-08-15,2,@,Athletic Club,es La Liga,D 1-1,1,1,0,32,1,0,0,0,2,0,2,0,0,0,0,Match Report
1382,Union Berlin,2025-04-06,2,,Wolfsburg,de Bundesliga,W 1-0,1,0,+1,46,1,0,0,0,2,2,0,0,0,0,0,Match Report
1383,Union Berlin,2025-03-15,2,,Bayern Munich,de Bundesliga,D 1-1,1,1,0,20,1,0,0,0,2,2,0,0,0,0,0,Match Report
1384,Union Berlin,2025-02-15,2,,Gladbach,de Bundesliga,L 1-2,1,2,-1,52,0,1,1,0,2,1,0,0,0,1,0,Match Report
1385,Union Berlin,2025-01-19,2,,Mainz 05,de Bundesliga,W 2-1,2,1,+1,34,1,1,1,0,2,1,0,0,0,1,0,Match Report
1386,Union Berlin,2024-12-21,2,@,Werder Bremen,de Bundesliga,L 1-4,1,4,-3,46,1,0,0,0,2,2,0,0,0,0,0,Match Report
1387,Union Berlin,2024-12-14,2,,Bochum,de Bundesliga,L 0-2,0,2,-2,69,1,0,0,0,2,2,0,0,0,0,0,Match Report
1388,Union Berlin,2024-11-30,2,,Leverkusen,de Bundesliga,L 1-2,1,2,-1,38,1,0,0,0,2,1,0,1,0,0,0,Match Report
1389,Union Berlin,2024-10-27,2,,Eint Frankfurt,de Bundesliga,D 1-1,1,1,0,48,1,0,0,0,2,1,0,1,0,0,0,Match Report
1390,Union Berlin,2024-08-24,2,@,Mainz 05,de Bundesliga,D 1-1,1,1,0,47,1,0,0,0,2,2,0,0,0,0,0,Match Report
1391,West Ham,2025-03-15,2,@,Everton,eng Premier League,D 1-1,1,1,0,46,1,0,0,0,2,2,0,0,0,0,0,Match Report
1392,West Ham,2025-02-22,2,@,Arsenal,eng Premier League,W 1-0,1,0,+1,32,1,0,0,0,2,2,0,0,0,0,0,Match Report
1393,West Ham,2025-01-26,2,@,Aston Villa,eng Premier League,D 1-1,1,1,0,54,1,0,0,0,2,2,0,0,0,0,0,Match Report
1394,West Ham,2025-01-14,2,,Fulham,eng Premier League,W 3-2,3,2,+1,44,3,0,0,0,2,2,0,0,0,0,0,Match Report
1395,West Ham,2025-01-04,2,@,Manchester City,eng Premier League,L 1-4,1,4,-3,44,1,0,0,0,2,2,0,0,0,0,0,Match Report
1396,West Ham,2024-12-03,2,@,Leicester City,eng Premier League,L 1-3,1,3,-2,61,1,0,0,0,2,1,1,0,0,0,0,Match Report
1397,West Ham,2024-10-19,2,@,Tottenham,eng Premier League,L 1-4,1,4,-3,43,1,0,0,0,2,1,0,0,1,0,0,Match Report
1398,West Ham,2024-09-14,2,@,Fulham,eng Premier League,D 1-1,1,1,0,46,1,0,0,0,2,1,1,0,0,0,0,Match Report
1399,West Ham,2024-08-17,2,,Aston Villa,eng Premier League,L 1-2,1,2,-1,52,0,1,1,0,2,1,0,0,0,1,0,Match Report
1400,Leganés,2025-04-07,2,,Osasuna,es La Liga,D 1-1,1,1,0,56,0,1,1,0,2,1,0,0,0,1,0,Match Report
1401,Leganés,2025-03-08,2,@,Celta Vigo,es La Liga,L 1-2,1,2,-1,44,1,0,0,0,2,2,0,0,0,0,0,Match Report
1402,Leganés,2025-03-02,2,,Getafe,es La Liga,W 1-0,1,0,+1,57,1,0,0,0,2,2,0,0,0,0,0,Match Report
1403,Leganés,2025-01-18,2,,Atlético Madrid,es La Liga,W 1-0,1,0,+1,33,1,0,0,0,2,1,1,0,0,0,0,Match Report
1404,Leganés,2025-01-11,2,@,Espanyol,es La Liga,D 1-1,1,1,0,47,1,0,0,0,2,2,0,0,0,0,0,Match Report
1405,Leganés,2024-12-15,2,@,Barcelona,es La Liga,W 1-0,1,0,+1,21,1,0,0,0,2,0,1,0,1,0,0,Match Report
1406,Leganés,2024-11-30,2,@,Alavés,es La Liga,D 1-1,1,1,0,40,1,0,0,0,2,1,0,1,0,0,0,Match Report
1407,Leganés,2024-10-20,2,@,Atlético Madrid,es La Liga,L 1-3,1,3,-2,37,1,0,0,0,2,2,0,0,0,0,0,Match Report
1408,Leganés,2024-09-28,2,@,Rayo Vallecano,es La Liga,D 1-1,1,1,0,46,1,0,0,0,2,1,0,1,0,0,0,Match Report
1409,Leganés,2024-09-22,2,@,Getafe,es La Liga,D 1-1,1,1,0,41,1,0,0,0,2,0,1,0,0,1,0,Match Report
1410,Leganés,2024-08-17,2,@,Osasuna,es La Liga,D 1-1,1,1,0,39,1,0,0,0,2,2,0,0,0,0,0,Match Report
1411,Reims,2025-01-25,2,@,Paris S-G,fr Ligue 1,D 1-1,1,1,0,22,1,0,0,0,2,2,0,0,0,0,0,Match Report
1412,Reims,2025-01-19,2,,Le Havre,fr Ligue 1,D 1-1,1,1,0,55,1,0,0,0,2,2,0,0,0,0,0,Match Report
1413,Reims,2025-01-04,2,@,Saint-Étienne,fr Ligue 1,L 1-3,1,3,-2,47,1,0,0,0,2,2,0,0,0,0,0,Match Report
1414,Reims,2024-10-26,2,,Brest,fr Ligue 1,L 1-2,1,2,-1,53,1,0,0,0,2,1,1,0,0,0,0,Match Report
1415,Reims,2024-10-20,2,@,Auxerre,fr Ligue 1,L 1-2,1,2,-1,65,1,0,0,0,2,2,0,0,0,0,0,Match Report
1416,Liverpool,2025-04-02,2,,Everton,eng Premier League,W 1-0,1,0,+1,73,1,0,0,0,2,1,0,1,0,0,0,Match Report
1417,Liverpool,2025-01-14,2,@,Nott'ham Forest,eng Premier League,D 1-1,1,1,0,70,1,0,0,0,2,1,1,0,0,0,0,Match Report
1418,Liverpool,2024-10-05,2,@,Crystal Palace,eng Premier League,W 1-0,1,0,+1,68,1,0,0,0,2,2,0,0,0,0,0,Match Report
1419,Aston Villa,2025-03-08,2,@,Brentford,eng Premier League,W 1-0,1,0,+1,41,1,0,0,0,2,2,0,0,0,0,0,Match Report
1420,Aston Villa,2025-02-25,2,@,Crystal Palace,eng Premier League,L 1-4,1,4,-3,64,1,0,0,0,2,1,1,0,0,0,0,Match Report
1421,Aston Villa,2025-01-26,2,,West Ham,eng Premier League,D 1-1,1,1,0,46,1,0,0,0,2,2,0,0,0,0,0,Match Report
1422,Aston Villa,2024-12-14,2,@,Nott'ham Forest,eng Premier League,L 1-2,1,2,-1,50,1,0,0,0,2,2,0,0,0,0,0,Match Report
1423,Aston Villa,2024-12-07,2,,Southampton,eng Premier League,W 1-0,1,0,+1,47,1,0,0,0,2,1,0,0,0,0,1,Match Report
1424,Aston Villa,2024-10-26,2,,Bournemouth,eng Premier League,D 1-1,1,1,0,57,1,0,0,0,2,2,0,0,0,0,0,Match Report
1425,Wolves,2025-03-08,2,,Everton,eng Premier League,D 1-1,1,1,0,66,1,0,0,0,2,2,0,0,0,0,0,Match Report
1426,Wolves,2025-02-25,2,,Fulham,eng Premier League,L 1-2,1,2,-1,60,1,0,0,0,2,2,0,0,0,0,0,Match Report
1427,Wolves,2025-02-22,2,@,Bournemouth,eng Premier League,W 1-0,1,0,+1,54,1,0,0,0,2,2,0,0,0,0,0,Match Report
1428,Wolves,2025-02-16,2,@,Liverpool,eng Premier League,L 1-2,1,2,-1,50,1,0,0,0,2,1,0,1,0,0,0,Match Report
1429,Wolves,2024-12-14,2,,Ipswich Town,eng Premier League,L 1-2,1,2,-1,54,1,0,0,0,2,2,0,0,0,0,0,Match Report
1430,Wolves,2024-12-09,2,@,West Ham,eng Premier League,L 1-2,1,2,-1,46,1,0,0,0,2,2,0,0,0,0,0,Match Report
1431,Wolves,2024-10-20,2,,Manchester City,eng Premier League,L 1-2,1,2,-1,23,1,0,0,0,2,2,0,0,0,0,0,Match Report
1432,Wolves,2024-09-15,2,,Newcastle Utd,eng Premier League,L 1-2,1,2,-1,49,1,0,0,0,2,2,0,0,0,0,0,Match Report
1433,Alavés,2025-04-05,2,@,Girona,es La Liga,W 1-0,1,0,+1,36,1,0,0,0,2,2,0,0,0,0,0,Match Report
1434,Alavés,2024-11-30,2,,Leganés,es La Liga,D 1-1,1,1,0,60,1,0,0,0,2,2,0,0,0,0,0,Match Report
1435,Alavés,2024-10-18,2,,Valladolid,es La Liga,L 2-3,2,3,-1,62,2,0,0,0,2,2,0,0,0,0,0,Match Report
1436,Alavés,2024-09-01,2,,Las Palmas,es La Liga,W 2-0,2,0,+2,30,2,0,1,1,2,2,0,0,0,0,0,Match Report
1437,Alavés,2024-08-16,2,@,Celta Vigo,es La Liga,L 1-2,1,2,-1,37,1,0,0,0,2,2,0,0,0,0,0,Match Report
1438,Girona,2025-03-30,2,@,Barcelona,es La Liga,L 1-4,1,4,-3,31,1,0,0,0,2,1,0,0,0,0,1,Match Report
1439,Girona,2025-03-15,2,,Valencia,es La Liga,D 1-1,1,1,0,57,1,0,0,0,2,2,0,0,0,0,0,Match Report
1440,Girona,2025-03-10,2,@,Espanyol,es La Liga,D 1-1,1,1,0,67,0,1,1,0,2,1,0,0,0,1,0,Match Report
1441,Girona,2025-02-14,2,,Getafe,es La Liga,L 1-2,1,2,-1,71,1,0,0,0,2,0,1,0,1,0,0,Match Report
1442,Girona,2025-01-26,2,@,Rayo Vallecano,es La Liga,L 1-2,1,2,-1,43,1,0,0,0,2,2,0,0,0,0,0,Match Report
1443,Girona,2025-01-18,2,,Sevilla,es La Liga,L 1-2,1,2,-1,60,1,0,0,0,2,1,1,0,0,0,0,Match Report
1444,Girona,2025-01-11,2,@,Alavés,es La Liga,W 1-0,1,0,+1,57,1,0,0,0,2,2,0,0,0,0,0,Match Report
1445,Girona,2024-12-14,2,@,Mallorca,es La Liga,L 1-2,1,2,-1,68,1,0,0,0,2,2,0,0,0,0,0,Match Report
1446,Girona,2024-11-10,2,@,Getafe,es La Liga,W 1-0,1,0,+1,53,1,0,0,0,2,2,0,0,0,0,0,Match Report
1447,Girona,2024-09-29,2,@,Celta Vigo,es La Liga,D 1-1,1,1,0,52,1,0,0,0,2,2,0,0,0,0,0,Match Report
1448,Girona,2024-09-15,2,,Barcelona,es La Liga,L 1-4,1,4,-3,45,1,0,0,0,2,1,0,1,0,0,0,Match Report
1449,Girona,2024-08-15,2,@,Betis,es La Liga,D 1-1,1,1,0,61,1,0,0,0,2,1,0,1,0,0,0,Match Report
1450,Atalanta,2025-02-01,2,,Torino,it Serie A,D 1-1,1,1,0,65,1,0,1,1,2,1,1,0,0,0,0,Match Report
1451,Atalanta,2025-01-14,2,,Juventus,it Serie A,D 1-1,1,1,0,60,1,0,0,0,2,2,0,0,0,0,0,Match Report
1452,Atalanta,2024-12-28,2,@,Lazio,it Serie A,D 1-1,1,1,0,60,1,0,0,0,2,2,0,0,0,0,0,Match Report
1453,Atalanta,2024-12-14,2,@,Cagliari,it Serie A,W 1-0,1,0,+1,56,1,0,0,0,2,2,0,0,0,0,0,Match Report
1454,Atalanta,2024-11-10,2,,Udinese,it Serie A,W 2-1,2,1,+1,54,1,0,0,0,2,2,0,0,0,0,0,Match Report
1455,Atalanta,2024-09-28,2,@,Bologna,it Serie A,D 1-1,1,1,0,64,1,0,0,0,2,2,0,0,0,0,0,Match Report
1456,Atalanta,2024-08-25,2,@,Torino,it Serie A,L 1-2,1,2,-1,58,1,0,1,1,2,2,0,0,0,0,0,Match Report
1457,Rayo Vallecano,2025-03-09,2,@,Real Madrid,es La Liga,L 1-2,1,2,-1,54,1,0,0,0,2,2,0,0,0,0,0,Match Report
1458,Rayo Vallecano,2025-03-01,2,,Sevilla,es La Liga,D 1-1,1,1,0,64,1,0,0,0,2,2,0,0,0,0,0,Match Report
1459,Rayo Vallecano,2025-02-07,2,,Valladolid,es La Liga,W 1-0,1,0,+1,69,1,0,0,0,2,1,0,1,0,0,0,Match Report
1460,Rayo Vallecano,2025-01-19,2,@,Osasuna,es La Liga,D 1-1,1,1,0,48,1,0,0,0,2,2,0,0,0,0,0,Match Report
1461,Rayo Vallecano,2024-12-18,2,@,Villarreal,es La Liga,D 1-1,1,1,0,55,1,0,0,0,2,2,0,0,0,0,0,Match Report
1462,Rayo Vallecano,2024-12-07,2,@,Valencia,es La Liga,W 1-0,1,0,+1,40,1,0,0,0,2,1,1,0,0,0,0,Match Report
1463,Rayo Vallecano,2024-09-28,2,,Leganés,es La Liga,D 1-1,1,1,0,54,1,0,0,0,2,0,0,1,0,0,1,Match Report
1464,Rayo Vallecano,2024-08-31,2,@,Espanyol,es La Liga,L 1-2,1,2,-1,53,1,0,0,0,2,2,0,0,0,0,0,Match Report
1465,Rayo Vallecano,2024-08-27,2,,Barcelona,es La Liga,L 1-2,1,2,-1,36,1,0,0,0,2,2,0,0,0,0,0,Match Report
1466,Mainz 05,2025-04-05,2,,Holstein Kiel,de Bundesliga,D 1-1,1,1,0,58,1,0,0,0,2,2,0,0,0,0,0,Match Report
1467,Mainz 05,2025-01-19,2,@,Union Berlin,de Bundesliga,L 1-2,1,2,-1,66,0,1,1,0,2,1,0,0,0,1,0,Match Report
1468,Mainz 05,2024-09-15,2,,Werder Bremen,de Bundesliga,L 1-2,1,2,-1,58,1,0,0,0,2,2,0,0,0,0,0,Match Report
1469,Leicester City,2024-12-26,2,@,Liverpool,eng Premier League,L 1-3,1,3,-2,32,1,0,0,0,2,2,0,0,0,0,0,Match Report
1470,Leicester City,2024-11-30,2,@,Brentford,eng Premier League,L 1-4,1,4,-3,40,1,0,0,0,2,1,0,1,0,0,0,Match Report
1471,Leicester City,2024-11-23,2,,Chelsea,eng Premier League,L 1-2,1,2,-1,37,0,1,1,0,2,1,0,0,0,1,0,Match Report
1472,Leicester City,2024-11-02,2,@,Ipswich Town,eng Premier League,D 1-1,1,1,0,57,1,0,0,0,2,2,0,0,0,0,0,Match Report
1473,Leicester City,2024-10-25,2,,Nott'ham Forest,eng Premier League,L 1-3,1,3,-2,65,1,0,0,0,2,2,0,0,0,0,0,Match Report
1474,Leicester City,2024-10-05,2,,Bournemouth,eng Premier League,W 1-0,1,0,+1,45,1,0,0,0,2,1,0,1,0,0,0,Match Report
1475,Leicester City,2024-08-31,2,,Aston Villa,eng Premier League,L 1-2,1,2,-1,57,1,0,0,0,2,1,0,1,0,0,0,Match Report
1476,Leicester City,2024-08-24,2,@,Fulham,eng Premier League,L 1-2,1,2,-1,46,1,0,0,0,2,1,1,0,0,0,0,Match Report
1477,Leicester City,2024-08-19,2,,Tottenham,eng Premier League,D 1-1,1,1,0,30,1,0,0,0,2,2,0,0,0,0,0,Match Report
1478,Empoli,2025-03-29,2,@,Como,it Serie A,D 1-1,1,1,0,29,1,0,0,0,2,2,0,0,0,0,0,Match Report
1479,Empoli,2025-01-25,2,,Bologna,it Serie A,D 1-1,1,1,0,37,1,0,0,0,2,2,0,0,0,0,0,Match Report
1480,Empoli,2025-01-19,2,@,Inter,it Serie A,L 1-3,1,3,-2,32,1,0,0,0,2,1,0,1,0,0,0,Match Report
1481,Empoli,2025-01-11,2,,Lecce,it Serie A,L 1-3,1,3,-2,50,1,0,0,0,2,2,0,0,0,0,0,Match Report
1482,Empoli,2025-01-04,2,@,Venezia,it Serie A,D 1-1,1,1,0,50,1,0,0,0,2,1,0,1,0,0,0,Match Report
1483,Empoli,2024-12-28,2,,Genoa,it Serie A,L 1-2,1,2,-1,58,1,0,1,1,2,2,0,0,0,0,0,Match Report
1484,Empoli,2024-11-25,2,,Udinese,it Serie A,D 1-1,1,1,0,30,1,0,0,0,2,2,0,0,0,0,0,Match Report
1485,Empoli,2024-11-08,2,@,Lecce,it Serie A,D 1-1,1,1,0,42,1,0,0,0,2,1,0,1,0,0,0,Match Report
1486,Empoli,2024-11-04,2,,Como,it Serie A,W 1-0,1,0,+1,42,1,0,0,0,2,1,0,1,0,0,0,Match Report
1487,Empoli,2024-10-06,2,@,Lazio,it Serie A,L 1-2,1,2,-1,42,1,0,0,0,2,2,0,0,0,0,0,Match Report
1488,Empoli,2024-08-31,2,@,Bologna,it Serie A,D 1-1,1,1,0,31,1,0,0,0,2,2,0,0,0,0,0,Match Report
1489,Empoli,2024-08-25,2,@,Roma,it Serie A,W 2-1,2,1,+1,27,1,1,1,0,2,0,0,0,1,1,0,Match Report
1490,Freiburg,2025-04-05,2,,Dortmund,de Bundesliga,L 1-4,1,4,-3,54,1,0,0,0,2,2,0,0,0,0,0,Match Report
1491,Freiburg,2025-03-30,2,,Union Berlin,de Bundesliga,L 1-2,1,2,-1,72,1,0,0,0,2,2,0,0,0,0,0,Match Report
1492,Freiburg,2025-02-08,2,,Heidenheim,de Bundesliga,W 1-0,1,0,+1,53,1,0,0,0,2,2,0,0,0,0,0,Match Report
1493,Freiburg,2025-02-01,2,@,Bochum,de Bundesliga,W 1-0,1,0,+1,42,1,0,0,0,2,0,1,0,0,1,0,Match Report
1494,Freiburg,2025-01-25,2,,Bayern Munich,de Bundesliga,L 1-2,1,2,-1,35,1,0,0,0,2,0,1,0,1,0,0,Match Report
1495,Freiburg,2025-01-14,2,@,Eint Frankfurt,de Bundesliga,L 1-4,1,4,-3,36,1,0,0,0,2,2,0,0,0,0,0,Match Report
1496,Freiburg,2024-12-21,2,@,Leverkusen,de Bundesliga,L 1-5,1,5,-4,33,1,0,0,0,2,2,0,0,0,0,0,Match Report
1497,Freiburg,2024-12-08,2,@,Hoffenheim,de Bundesliga,D 1-1,1,1,0,50,1,0,0,0,2,0,1,0,0,1,0,Match Report
1498,Freiburg,2024-10-26,2,@,RB Leipzig,de Bundesliga,L 1-3,1,3,-2,57,1,0,0,0,2,2,0,0,0,0,0,Match Report
1499,Freiburg,2024-10-05,2,@,Werder Bremen,de Bundesliga,W 1-0,1,0,+1,42,1,0,0,0,2,2,0,0,0,0,0,Match Report
1500,Espanyol,2025-03-29,2,,Atlético Madrid,es La Liga,D 1-1,1,1,0,39,0,1,1,0,2,0,0,0,0,2,0,Match Report
1501,Espanyol,2025-02-22,2,@,Alavés,es La Liga,W 1-0,1,0,+1,38,1,0,0,0,2,0,1,0,0,1,0,Match Report
1502,Espanyol,2025-02-01,2,,Real Madrid,es La Liga,W 1-0,1,0,+1,24,1,0,0,0,2,2,0,0,0,0,0,Match Report
1503,Espanyol,2025-01-11,2,,Leganés,es La Liga,D 1-1,1,1,0,53,1,0,0,0,2,1,1,0,0,0,0,Match Report
1504,Espanyol,2024-12-18,2,,Valencia,es La Liga,D 1-1,1,1,0,46,1,0,0,0,2,2,0,0,0,0,0,Match Report
1505,Espanyol,2024-11-23,2,@,Girona,es La Liga,L 1-4,1,4,-3,25,1,0,0,0,2,2,0,0,0,0,0,Match Report
1506,Espanyol,2024-11-03,2,@,Barcelona,es La Liga,L 1-3,1,3,-2,24,1,0,0,0,2,2,0,0,0,0,0,Match Report
1507,Espanyol,2024-10-19,2,@,Athletic Club,es La Liga,L 1-4,1,4,-3,44,1,0,0,0,2,0,0,1,0,1,0,Match Report
1508,Espanyol,2024-09-26,2,,Villarreal,es La Liga,L 1-2,1,2,-1,56,1,0,0,0,2,0,1,0,0,1,0,Match Report
1509,RB Leipzig,2024-12-20,2,@,Bayern Munich,de Bundesliga,L 1-5,1,5,-4,29,1,0,0,0,2,2,0,0,0,0,0,Match Report
1510,RB Leipzig,2024-12-15,2,,Eint Frankfurt,de Bundesliga,W 2-1,2,1,+1,44,2,0,0,0,2,0,0,0,2,0,0,Match Report
1511,RB Leipzig,2024-11-02,2,@,Dortmund,de Bundesliga,L 1-2,1,2,-1,43,1,0,0,0,2,2,0,0,0,0,0,Match Report
1512,RB Leipzig,2024-10-06,2,@,Heidenheim,de Bundesliga,W 1-0,1,0,+1,55,1,0,0,0,2,2,0,0,0,0,0,Match Report
1513,Sevilla,2025-04-06,2,,Atlético Madrid,es La Liga,L 1-2,1,2,-1,44,1,0,0,0,2,2,0,0,0,0,0,Match Report
1514,Sevilla,2025-03-30,2,@,Betis,es La Liga,L 1-2,1,2,-1,45,1,0,0,0,2,2,0,0,0,0,0,Match Report
1515,Sevilla,2025-03-09,2,@,Real Sociedad,es La Liga,W 1-0,1,0,+1,39,1,0,0,0,2,2,0,0,0,0,0,Match Report
1516,Sevilla,2025-03-01,2,@,Rayo Vallecano,es La Liga,D 1-1,1,1,0,36,1,0,0,0,2,2,0,0,0,0,0,Match Report
1517,Sevilla,2025-02-09,2,,Barcelona,es La Liga,L 1-4,1,4,-3,40,1,0,0,0,2,2,0,0,0,0,0,Match Report
1518,Sevilla,2025-01-25,2,,Espanyol,es La Liga,D 1-1,1,1,0,74,1,0,0,0,2,2,0,0,0,0,0,Match Report
1519,Sevilla,2025-01-11,2,,Valencia,es La Liga,D 1-1,1,1,0,54,1,0,0,0,2,2,0,0,0,0,0,Match Report
1520,Sevilla,2024-12-14,2,,Celta Vigo,es La Liga,W 1-0,1,0,+1,45,1,0,0,0,2,1,1,0,0,0,0,Match Report
1521,Sevilla,2024-12-02,2,,Osasuna,es La Liga,D 1-1,1,1,0,64,1,0,0,0,2,2,0,0,0,0,0,Match Report
1522,Sevilla,2024-11-24,2,,Rayo Vallecano,es La Liga,W 1-0,1,0,+1,53,1,0,0,0,2,1,0,1,0,0,0,Match Report
1523,Sevilla,2024-10-20,2,@,Barcelona,es La Liga,L 1-5,1,5,-4,33,1,0,0,0,2,1,1,0,0,0,0,Match Report
1524,Sevilla,2024-09-20,2,@,Alavés,es La Liga,L 1-2,1,2,-1,65,1,0,0,0,2,2,0,0,0,0,0,Match Report
1525,Sevilla,2024-09-14,2,,Getafe,es La Liga,W 1-0,1,0,+1,60,1,0,0,0,2,2,0,0,0,0,0,Match Report
1526,Sevilla,2024-08-23,2,,Villarreal,es La Liga,L 1-2,1,2,-1,59,1,0,0,0,2,2,0,0,0,0,0,Match Report
1527,Sevilla,2024-08-16,2,@,Las Palmas,es La Liga,D 2-2,2,2,0,52,1,0,0,0,2,2,0,0,0,0,0,Match Report
1528,Dortmund,2025-02-08,2,,Stuttgart,de Bundesliga,L 1-2,1,2,-1,68,1,0,0,0,2,1,1,0,0,0,0,Match Report
1529,Dortmund,2025-01-25,2,,Werder Bremen,de Bundesliga,D 2-2,2,2,0,46,1,0,0,0,2,2,0,0,0,0,0,Match Report
1530,Dortmund,2025-01-10,2,,Leverkusen,de Bundesliga,L 2-3,2,3,-1,70,1,1,1,0,2,1,0,0,0,1,0,Match Report
1531,Dortmund,2024-12-15,2,,Hoffenheim,de Bundesliga,D 1-1,1,1,0,54,1,0,0,0,2,2,0,0,0,0,0,Match Report
1532,Dortmund,2024-12-07,2,@,Gladbach,de Bundesliga,D 1-1,1,1,0,60,1,0,0,0,2,1,0,1,0,0,0,Match Report
1533,Dortmund,2024-11-30,2,,Bayern Munich,de Bundesliga,D 1-1,1,1,0,33,1,0,0,0,2,2,0,0,0,0,0,Match Report
1534,Dortmund,2024-11-09,2,@,Mainz 05,de Bundesliga,L 1-3,1,3,-2,47,0,1,1,0,2,0,0,0,0,1,1,Match Report
1535,Dortmund,2024-10-26,2,@,Augsburg,de Bundesliga,L 1-2,1,2,-1,75,1,0,0,0,2,2,0,0,0,0,0,Match Report
1536,Dortmund,2024-10-05,2,@,Union Berlin,de Bundesliga,L 1-2,1,2,-1,67,1,0,0,0,2,2,0,0,0,0,0,Match Report
1537,Venezia,2025-03-08,2,@,Como,it Serie A,D 1-1,1,1,0,45,0,1,1,0,2,0,0,0,1,1,0,Match Report
1538,Venezia,2025-01-19,2,@,Parma,it Serie A,D 1-1,1,1,0,41,0,1,1,0,2,1,0,0,0,1,0,Match Report
1539,Venezia,2024-12-08,2,,Como,it Serie A,D 2-2,2,2,0,35,2,0,0,0,2,2,0,0,0,0,0,Match Report
1540,Venezia,2024-08-18,2,@,Lazio,it Serie A,L 1-3,1,3,-2,33,1,0,0,0,2,2,0,0,0,0,0,Match Report
1541,Newcastle Utd,2025-03-10,2,@,West Ham,eng Premier League,W 1-0,1,0,+1,49,1,0,0,0,2,1,0,0,1,0,0,Match Report
1542,Newcastle Utd,2025-02-01,2,,Fulham,eng Premier League,L 1-2,1,2,-1,49,1,0,0,0,2,2,0,0,0,0,0,Match Report
1543,Newcastle Utd,2024-11-02,2,,Arsenal,eng Premier League,W 1-0,1,0,+1,37,1,0,0,0,2,2,0,0,0,0,0,Match Report
1544,Newcastle Utd,2024-10-27,2,@,Chelsea,eng Premier League,L 1-2,1,2,-1,50,1,0,0,0,2,2,0,0,0,0,0,Match Report
1545,Newcastle Utd,2024-09-28,2,,Manchester City,eng Premier League,D 1-1,1,1,0,38,0,1,1,0,2,1,0,0,0,1,0,Match Report
1546,Newcastle Utd,2024-09-21,2,@,Fulham,eng Premier League,L 1-3,1,3,-2,61,1,0,0,0,2,2,0,0,0,0,0,Match Report
1547,Newcastle Utd,2024-08-25,2,@,Bournemouth,eng Premier League,D 1-1,1,1,0,61,1,0,0,0,2,2,0,0,0,0,0,Match Report
1548,Newcastle Utd,2024-08-17,2,,Southampton,eng Premier League,W 1-0,1,0,+1,23,1,0,0,0,2,1,0,0,0,0,1,Match Report
1549,Rennes,2025-03-08,2,,Paris S-G,fr Ligue 1,L 1-4,1,4,-3,32,1,0,0,0,2,1,1,0,0,0,0,Match Report
1550,Rennes,2025-02-02,2,,Strasbourg,fr Ligue 1,W 1-0,1,0,+1,46,1,0,0,0,2,1,0,0,0,1,0,Match Report
1551,Rennes,2025-01-18,2,,Brest,fr Ligue 1,L 1-2,1,2,-1,68,1,0,0,0,2,2,0,0,0,0,0,Match Report
1552,Rennes,2025-01-11,2,,Marseille,fr Ligue 1,L 1-2,1,2,-1,36,1,0,1,1,2,2,0,0,0,0,0,Match Report
1553,Rennes,2024-12-15,2,,Angers,fr Ligue 1,W 2-0,2,0,+2,44,2,0,0,0,2,2,0,0,0,0,0,Match Report
