Rk,Team,Date,SoTA,,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,SoTA,Saves,Save%,Match Report
125,Venezia,2024-11-30,9,@,Bologna,it Serie A,L 0-3,0,3,-3,40,0,0,0,0,9,6,88.9,Match Report
126,Rennes,2025-03-08,9,,Paris S-G,fr Ligue 1,L 1-4,1,4,-3,32,1,0,0,0,9,5,55.6,Match Report
127,Rennes,2025-01-25,9,@,Monaco,fr Ligue 1,L 2-3,2,3,-1,48,2,0,0,0,9,6,66.7,Match Report
128,Bochum,2024-11-02,9,@,Eint Frankfurt,de Bundesliga,L 2-7,2,7,-5,36,2,0,0,0,9,2,22.2,Match Report
129,Ipswich Town,2025-01-19,9,,Manchester City,eng Premier League,L 0-6,0,6,-6,33,0,0,0,0,9,3,33.3,Match Report
130,Ipswich Town,2024-10-26,9,@,Brentford,eng Premier League,L 3-4,3,4,-1,35,3,0,0,0,9,5,66.7,Match Report
131,Cagliari,2024-10-06,9,@,Juventus,it Serie A,D 1-1,1,1,0,27,0,1,1,0,9,8,100.0,Match Report
132,Lille,2024-09-21,9,,Strasbourg,fr Ligue 1,D 3-3,3,3,0,63,2,1,1,0,9,6,66.7,Match Report
133,Brentford,2024-09-21,9,@,Tottenham,eng Premier League,L 1-3,1,3,-2,52,1,0,0,0,9,6,66.7,Match Report
134,Chelsea,2024-10-06,9,,Nott'ham Forest,eng Premier League,D 1-1,1,1,0,65,1,0,0,0,9,8,88.9,Match Report
135,Brighton,2025-02-01,9,@,Nott'ham Forest,eng Premier League,L 0-7,0,7,-7,62,0,0,0,0,9,3,33.3,Match Report
136,Saint-Étienne,2025-03-01,9,,Nice,fr Ligue 1,L 1-3,1,3,-2,62,1,0,0,0,9,7,66.7,Match Report
137,Saint-Étienne,2025-01-12,9,@,Paris S-G,fr Ligue 1,L 1-2,1,2,-1,41,1,0,0,0,9,7,88.9,Match Report
138,Saint-Étienne,2024-11-30,9,@,Rennes,fr Ligue 1,L 0-5,0,5,-5,29,0,0,0,0,9,4,66.7,Match Report
139,Nantes,2025-04-04,9,@,Nice,fr Ligue 1,W 2-1,2,1,+1,24,2,0,0,0,9,8,88.9,Match Report
140,Atlético Madrid,2025-02-08,9,@,Real Madrid,es La Liga,D 1-1,1,1,0,40,0,1,1,0,9,8,88.9,Match Report
141,Valencia,2025-04-05,9,@,Real Madrid,es La Liga,W 2-1,2,1,+1,35,2,0,0,0,9,7,88.9,Match Report
142,Juventus,2025-03-09,9,,Atalanta,it Serie A,L 0-4,0,4,-4,63,0,0,0,0,9,5,66.7,Match Report
143,Juventus,2024-10-27,9,@,Inter,it Serie A,D 4-4,4,4,0,53,4,0,0,0,9,5,77.8,Match Report
144,Parma,2024-12-22,9,@,Roma,it Serie A,L 0-5,0,5,-5,41,0,0,0,0,9,4,66.7,Match Report
145,Eint Frankfurt,2025-03-01,9,,Leverkusen,de Bundesliga,L 1-4,1,4,-3,41,1,0,0,0,9,5,55.6,Match Report
146,Eint Frankfurt,2024-12-15,9,@,RB Leipzig,de Bundesliga,L 1-2,1,2,-1,56,1,0,0,0,9,7,77.8,Match Report
