Rk,Team,Date,Off,,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Off,PKwon,PKcon,OG,Recov,Match Report
88,Stuttgart,2025-02-08,5,@,Dortmund,de Bundesliga,W 2-1,2,1,+1,32,1,0,0,0,5,0,0,0,36,Match Report
89,Stuttgart,2025-02-01,5,,Gladbach,de Bundesliga,L 1-2,1,2,-1,54,0,0,0,0,5,0,0,0,46,Match Report
90,Stuttgart,2025-01-25,5,@,Mainz 05,de Bundesliga,L 0-2,0,2,-2,56,0,0,0,0,5,0,0,0,45,Match Report
91,Stuttgart,2024-11-10,5,,Eint Frankfurt,de Bundesliga,L 2-3,2,3,-1,60,2,0,1,1,5,1,0,0,55,Match Report
92,Auxerre,2025-02-01,5,@,Monaco,fr Ligue 1,L 2-4,2,4,-2,43,1,1,1,0,5,1,0,0,49,Match Report
93,Werder Bremen,2025-01-25,5,@,Dortmund,de Bundesliga,D 2-2,2,2,0,54,2,0,0,0,5,0,0,1,51,Match Report
94,Werder Bremen,2025-01-19,5,,Augsburg,de Bundesliga,L 0-2,0,2,-2,71,0,0,0,0,5,0,0,0,51,Match Report
95,Lazio,2024-08-31,5,,Milan,it Serie A,D 2-2,2,2,0,43,2,0,0,0,5,0,0,0,34,Match Report
96,Getafe,2024-10-05,5,,Osasuna,es La Liga,D 1-1,1,1,0,41,1,0,0,0,5,0,0,0,35,Match Report
97,Union Berlin,2025-03-09,5,@,Eint Frankfurt,de Bundesliga,W 2-1,2,1,+1,34,2,0,0,0,5,0,1,0,34,Match Report
98,Union Berlin,2025-01-19,5,,Mainz 05,de Bundesliga,W 2-1,2,1,+1,34,1,1,1,0,5,1,1,0,52,Match Report
99,West Ham,2025-01-14,5,,Fulham,eng Premier League,W 3-2,3,2,+1,44,3,0,0,0,5,0,0,0,37,Match Report
100,West Ham,2024-12-29,5,,Liverpool,eng Premier League,L 0-5,0,5,-5,46,0,0,0,0,5,0,0,0,42,Match Report
101,West Ham,2024-12-21,5,,Brighton,eng Premier League,D 1-1,1,1,0,47,1,0,0,0,5,0,0,0,45,Match Report
102,Leganés,2024-12-08,5,,Real Sociedad,es La Liga,L 0-3,0,3,-3,56,0,0,0,0,5,0,0,0,48,Match Report
103,Liverpool,2025-02-16,5,,Wolves,eng Premier League,W 2-1,2,1,+1,50,1,1,1,0,5,1,0,0,38,Match Report
104,Liverpool,2024-10-20,5,,Chelsea,eng Premier League,W 2-1,2,1,+1,43,1,1,1,0,5,1,0,0,40,Match Report
105,Wolves,2024-09-21,5,@,Aston Villa,eng Premier League,L 1-3,1,3,-2,47,1,0,0,0,5,0,0,0,32,Match Report
106,Girona,2024-10-26,5,@,Las Palmas,es La Liga,L 0-1,0,1,-1,57,0,0,0,0,5,0,0,0,34,Match Report
107,Girona,2024-08-29,5,,Osasuna,es La Liga,W 4-0,4,0,+4,60,4,0,0,0,5,0,0,0,47,Match Report
108,Rayo Vallecano,2025-02-17,5,@,Barcelona,es La Liga,L 0-1,0,1,-1,41,0,0,0,0,5,0,1,0,43,Match Report
109,Rayo Vallecano,2024-12-22,5,@,Betis,es La Liga,D 1-1,1,1,0,45,1,0,0,0,5,0,1,0,40,Match Report
110,Mainz 05,2025-01-11,5,,Bochum,de Bundesliga,W 2-0,2,0,+2,58,2,0,0,0,5,0,0,0,57,Match Report
111,Mainz 05,2024-12-21,5,@,Eint Frankfurt,de Bundesliga,W 3-1,3,1,+2,30,2,0,0,0,5,0,0,0,32,Match Report
112,Leicester City,2024-08-24,5,@,Fulham,eng Premier League,L 1-2,1,2,-1,46,1,0,0,0,5,0,0,0,38,Match Report
113,Empoli,2025-02-08,5,,Milan,it Serie A,L 0-2,0,2,-2,39,0,0,0,0,5,0,0,0,46,Match Report
114,Freiburg,2025-02-15,5,@,St. Pauli,de Bundesliga,W 1-0,1,0,+1,46,0,0,1,1,5,1,0,0,32,Match Report
115,Espanyol,2024-12-18,5,,Valencia,es La Liga,D 1-1,1,1,0,46,1,0,0,0,5,0,0,0,32,Match Report
116,Espanyol,2024-12-14,5,,Osasuna,es La Liga,D 0-0,0,0,0,42,0,0,0,0,5,0,0,0,39,Match Report
117,RB Leipzig,2024-12-15,5,,Eint Frankfurt,de Bundesliga,W 2-1,2,1,+1,44,2,0,0,0,5,0,0,0,41,Match Report
118,RB Leipzig,2024-08-31,5,@,Leverkusen,de Bundesliga,W 3-2,3,2,+1,38,3,0,0,0,5,0,0,0,46,Match Report
119,Sevilla,2025-01-11,5,,Valencia,es La Liga,D 1-1,1,1,0,54,1,0,0,0,5,0,0,0,42,Match Report
120,Sevilla,2024-12-02,5,,Osasuna,es La Liga,D 1-1,1,1,0,64,1,0,0,0,5,0,0,0,42,Match Report
121,Venezia,2024-11-09,5,,Parma,it Serie A,L 1-2,1,2,-1,67,1,0,0,0,5,0,0,0,39,Match Report
122,Newcastle Utd,2024-12-26,5,,Aston Villa,eng Premier League,W 3-0,3,0,+3,62,3,0,0,0,5,0,0,0,49,Match Report
123,Bochum,2025-01-18,5,,RB Leipzig,de Bundesliga,D 3-3,3,3,0,45,2,1,1,0,5,1,0,0,48,Match Report
124,Bochum,2024-10-05,5,,Wolfsburg,de Bundesliga,L 1-3,1,3,-2,58,1,0,0,0,5,0,1,0,32,Match Report
125,Ipswich Town,2024-08-17,5,,Liverpool,eng Premier League,L 0-2,0,2,-2,38,0,0,0,0,5,0,0,0,36,Match Report
126,Manchester City,2025-01-25,5,,Chelsea,eng Premier League,W 3-1,3,1,+2,56,3,0,0,0,5,0,0,0,39,Match Report
127,Strasbourg,2025-01-19,5,@,Marseille,fr Ligue 1,D 1-1,1,1,0,31,1,0,0,0,5,0,1,0,36,Match Report
128,Cagliari,2025-01-11,5,@,Milan,it Serie A,D 1-1,1,1,0,32,1,0,0,0,5,0,0,0,31,Match Report
129,Lille,2024-09-01,5,,Paris S-G,fr Ligue 1,L 1-3,1,3,-2,42,1,0,0,0,5,0,1,0,52,Match Report
130,Brentford,2024-12-27,5,@,Brighton,eng Premier League,D 0-0,0,0,0,43,0,0,0,0,5,0,0,0,48,Match Report
131,Brentford,2024-10-05,5,,Wolves,eng Premier League,W 5-3,5,3,+2,44,4,1,1,0,5,1,0,0,47,Match Report
132,Chelsea,2025-04-03,5,,Tottenham,eng Premier League,W 1-0,1,0,+1,51,1,0,0,0,5,0,0,0,40,Match Report
133,Chelsea,2025-01-20,5,,Wolves,eng Premier League,W 3-1,3,1,+2,63,3,0,0,0,5,0,0,0,33,Match Report
134,Everton,2025-01-15,5,,Aston Villa,eng Premier League,L 0-1,0,1,-1,50,0,0,0,0,5,0,0,0,37,Match Report
135,Everton,2024-09-21,5,@,Leicester City,eng Premier League,D 1-1,1,1,0,42,1,0,0,0,5,0,0,0,47,Match Report
136,Inter,2025-02-02,5,@,Milan,it Serie A,D 1-1,1,1,0,63,1,0,0,0,5,0,0,0,41,Match Report
137,Inter,2024-08-30,5,,Atalanta,it Serie A,W 4-0,4,0,+4,55,3,0,0,0,5,0,0,0,22,Match Report
138,Atlético Madrid,2025-03-29,5,@,Espanyol,es La Liga,D 1-1,1,1,0,61,1,0,0,0,5,0,1,0,44,Match Report
139,Milan,2025-01-26,5,,Parma,it Serie A,W 3-2,3,2,+1,61,2,1,1,0,5,1,0,0,37,Match Report
140,Valencia,2024-09-24,5,,Osasuna,es La Liga,D 0-0,0,0,0,52,0,0,0,0,5,0,0,0,40,Match Report
141,Paris S-G,2024-09-27,5,,Rennes,fr Ligue 1,W 3-1,3,1,+2,61,3,0,0,0,5,0,1,0,56,Match Report
142,Real Sociedad,2025-03-16,5,@,Rayo Vallecano,es La Liga,D 2-2,2,2,0,45,2,0,0,0,5,0,0,0,51,Match Report
143,Real Sociedad,2024-12-15,5,,Las Palmas,es La Liga,D 0-0,0,0,0,61,0,0,0,0,5,0,0,0,52,Match Report
144,Real Sociedad,2024-12-01,5,,Betis,es La Liga,W 2-0,2,0,+2,41,0,1,1,0,5,1,0,0,42,Match Report
145,Real Sociedad,2024-10-27,5,,Osasuna,es La Liga,L 0-2,0,2,-2,74,0,0,0,0,5,0,0,0,53,Match Report
146,Real Sociedad,2024-09-28,5,,Valencia,es La Liga,W 3-0,3,0,+3,61,3,0,0,0,5,0,0,0,49,Match Report
147,Nott'ham Forest,2025-04-05,5,@,Aston Villa,eng Premier League,L 1-2,1,2,-1,48,1,0,0,0,5,0,0,0,49,Match Report
148,Nott'ham Forest,2024-09-14,5,@,Liverpool,eng Premier League,W 1-0,1,0,+1,32,1,0,0,0,5,0,0,0,44,Match Report
149,Eint Frankfurt,2025-04-05,5,@,Werder Bremen,de Bundesliga,L 0-2,0,2,-2,62,0,0,0,0,5,0,0,0,51,Match Report
150,Lens,2025-01-18,5,,Paris S-G,fr Ligue 1,L 1-2,1,2,-1,34,1,0,0,0,5,0,0,0,38,Match Report
151,Lens,2024-12-14,5,@,Auxerre,fr Ligue 1,D 2-2,2,2,0,60,2,0,0,0,5,0,0,0,50,Match Report
152,Monaco,2025-02-07,5,@,Paris S-G,fr Ligue 1,L 1-4,1,4,-3,37,1,0,0,0,5,0,0,0,45,Match Report
153,Monaco,2024-09-22,5,,Le Havre,fr Ligue 1,W 3-1,3,1,+2,61,3,0,0,0,5,0,0,0,41,Match Report
154,Las Palmas,2025-01-24,4,,Osasuna,es La Liga,D 1-1,1,1,0,51,1,0,0,0,4,0,0,0,44,Match Report
