Rk,Team,Date,Cmp,,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,1/3,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Match Report
160,Atalanta,2025-01-14,606,,Juventus,it Serie A,D 1-1,1,1,0,60,1,0,0,0,606,686,88.3,15,47,12,3,54,10589,2925,254,277,91.7,300,325,92.3,44,63,69.8,Match Report
161,Chelsea,2024-12-22,605,@,Everton,eng Premier League,D 0-0,0,0,0,75,0,0,0,0,605,686,88.2,7,43,4,0,45,10054,2891,294,310,94.8,243,259,93.8,44,76,57.9,Match Report
162,Celta Vigo,2025-02-15,605,@,Atlético Madrid,es La Liga,D 1-1,1,1,0,66,0,1,1,0,605,685,88.3,9,63,16,1,72,10571,3153,271,292,92.8,268,290,92.4,49,73,67.1,Match Report
163,Southampton,2024-08-17,604,@,Newcastle Utd,eng Premier League,L 0-1,0,1,-1,77,0,0,0,0,604,702,86.0,15,58,14,3,62,9503,2647,323,352,91.8,233,263,88.6,35,54,64.8,Match Report
164,Rennes,2025-04-06,603,,Auxerre,fr Ligue 1,L 0-1,0,1,-1,63,0,0,0,0,603,685,88.0,14,39,13,2,49,9739,3255,285,311,91.6,270,293,92.2,29,53,54.7,Match Report
165,West Ham,2025-02-27,602,,Leicester City,eng Premier League,W 2-0,2,0,+2,58,1,0,0,0,602,686,87.8,6,59,12,2,49,10302,2883,275,300,91.7,286,312,91.7,40,64,62.5,Match Report
166,Girona,2024-12-14,602,@,Mallorca,es La Liga,L 1-2,1,2,-1,68,1,0,0,0,602,689,87.4,10,81,12,1,83,10779,2946,260,288,90.3,298,331,90.0,42,61,68.9,Match Report
167,Gladbach,2024-09-21,601,@,Eint Frankfurt,de Bundesliga,L 0-2,0,2,-2,63,0,0,0,0,601,680,88.4,19,47,11,4,39,9158,3082,342,366,93.4,226,247,91.5,28,44,63.6,Match Report
168,Atlético Madrid,2024-12-08,601,,Sevilla,es La Liga,W 4-3,4,3,+1,57,4,0,0,0,601,723,83.1,12,44,12,6,53,9572,2759,313,358,87.4,241,277,87.0,34,60,56.7,Match Report
169,Arsenal,2025-02-22,600,,West Ham,eng Premier League,L 0-1,0,1,-1,68,0,0,0,0,600,694,86.5,17,54,22,6,78,9218,2604,316,351,90.0,251,273,91.9,22,48,45.8,Match Report
170,Marseille,2024-08-25,599,,Reims,fr Ligue 1,D 2-2,2,2,0,66,2,0,0,0,599,676,88.6,13,42,14,5,51,10380,3082,247,262,94.3,300,324,92.6,42,65,64.6,Match Report
171,Leverkusen,2024-09-14,599,@,Hoffenheim,de Bundesliga,W 4-1,4,1,+3,60,3,1,1,0,599,665,90.1,12,62,12,2,54,9581,3181,317,331,95.8,236,254,92.9,38,59,64.4,Match Report
172,Barcelona,2025-03-16,598,@,Atlético Madrid,es La Liga,W 4-2,4,2,+2,65,4,0,0,0,598,679,88.1,10,59,16,4,64,9802,2742,328,349,94.0,225,247,91.1,35,57,61.4,Match Report
173,Gladbach,2025-01-14,597,@,Wolfsburg,de Bundesliga,L 1-5,1,5,-4,65,1,0,0,0,597,686,87.0,7,38,5,2,50,9979,2890,289,316,91.5,250,280,89.3,45,65,69.2,Match Report
174,Real Madrid,2025-04-05,597,,Valencia,es La Liga,L 1-2,1,2,-1,65,1,0,1,1,597,680,87.8,17,54,17,2,63,9959,3188,303,329,92.1,216,232,93.1,55,74,74.3,Match Report
175,Juventus,2024-09-28,597,@,Genoa,it Serie A,W 3-0,3,0,+3,65,2,1,1,0,597,670,89.1,10,53,11,2,42,10315,2670,266,286,93.0,294,315,93.3,35,56,62.5,Match Report
176,Bayern Munich,2025-01-25,596,@,Freiburg,de Bundesliga,W 2-1,2,1,+1,65,2,0,0,0,596,674,88.4,6,52,6,0,40,10585,3208,278,299,93.0,264,284,93.0,50,80,62.5,Match Report
177,Barcelona,2025-03-30,596,,Girona,es La Liga,W 4-1,4,1,+3,69,3,0,0,0,596,694,85.9,17,57,14,0,62,9353,2691,296,317,93.4,221,249,88.8,44,72,61.1,Match Report
178,Lille,2024-09-28,596,@,Le Havre,fr Ligue 1,W 3-0,3,0,+3,62,3,0,1,1,596,674,88.4,16,44,21,3,47,10364,3217,271,292,92.8,290,309,93.9,33,63,52.4,Match Report
179,Lille,2024-08-17,596,@,Reims,fr Ligue 1,W 2-0,2,0,+2,68,2,0,0,0,596,670,89.0,12,59,9,3,72,10201,2938,274,300,91.3,268,289,92.7,43,57,75.4,Match Report
180,Real Madrid,2024-12-22,595,,Sevilla,es La Liga,W 4-2,4,2,+2,59,4,0,0,0,595,669,88.9,15,41,9,2,43,10229,3053,292,312,93.6,239,262,91.2,55,78,70.5,Match Report
181,Dortmund,2024-11-23,595,,Freiburg,de Bundesliga,W 4-0,4,0,+4,59,4,0,0,0,595,670,88.8,12,46,7,1,46,10219,3254,283,301,94.0,259,280,92.5,47,66,71.2,Match Report
182,Manchester City,2024-10-26,595,,Southampton,eng Premier League,W 1-0,1,0,+1,57,1,0,0,0,595,660,90.2,19,48,22,3,65,9155,2147,317,333,95.2,233,250,93.2,28,47,59.6,Match Report
183,Roma,2025-03-09,595,@,Empoli,it Serie A,W 1-0,1,0,+1,64,1,0,0,0,595,688,86.5,13,38,11,5,47,10708,3017,223,241,92.5,306,325,94.2,51,91,56.0,Match Report
184,Celta Vigo,2024-09-22,595,@,Athletic Club,es La Liga,L 1-3,1,3,-2,67,0,1,1,0,595,691,86.1,10,39,10,1,56,10926,3167,227,250,90.8,311,346,89.9,50,74,67.6,Match Report
185,Fulham,2024-11-04,595,,Brentford,eng Premier League,W 2-1,2,1,+1,68,2,0,0,0,595,712,83.6,19,63,18,3,70,10434,3313,265,288,92.0,272,302,90.1,49,95,51.6,Match Report
186,Newcastle Utd,2024-10-05,594,@,Everton,eng Premier League,D 0-0,0,0,0,67,0,0,1,1,594,703,84.5,9,34,8,2,54,9922,3240,290,325,89.2,263,293,89.8,37,64,57.8,Match Report
187,Lyon,2025-02-09,594,,Reims,fr Ligue 1,W 4-0,4,0,+4,67,4,0,0,0,594,684,86.8,13,54,13,1,53,8884,2756,338,360,93.9,196,220,89.1,36,57,63.2,Match Report
188,Real Madrid,2024-11-09,593,,Osasuna,es La Liga,W 4-0,4,0,+4,68,4,0,0,0,593,672,88.2,13,42,10,0,48,10088,3191,282,302,93.4,241,264,91.3,50,72,69.4,Match Report
189,RB Leipzig,2024-11-30,593,,Wolfsburg,de Bundesliga,L 1-5,1,5,-4,63,1,0,0,0,593,688,86.2,8,42,10,0,55,9776,2997,281,306,91.8,261,293,89.1,36,55,65.5,Match Report
190,Lens,2024-11-09,593,,Nantes,fr Ligue 1,W 3-2,3,2,+1,67,2,1,1,0,593,702,84.5,10,47,13,6,63,9933,3256,266,291,91.4,274,307,89.3,42,71,59.2,Match Report
191,Manchester Utd,2024-11-24,592,@,Ipswich Town,eng Premier League,D 1-1,1,1,0,60,1,0,0,0,592,682,86.8,10,26,4,0,21,9986,2864,284,304,93.4,271,291,93.1,32,71,45.1,Match Report
192,Manchester City,2024-10-05,592,,Fulham,eng Premier League,W 3-2,3,2,+1,58,3,0,0,0,592,663,89.3,14,42,10,2,58,9069,2539,300,324,92.6,246,270,91.1,27,35,77.1,Match Report
193,Monza,2024-08-24,591,,Genoa,it Serie A,L 0-1,0,1,-1,69,0,0,0,0,591,683,86.5,8,49,10,2,52,11230,3262,228,246,92.7,296,326,90.8,66,88,75.0,Match Report
