Rk,Team,Date,Rec,,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Rec,PrgR,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Match Report
131,Juventus,2025-03-03,616,,Hellas Verona,it Serie A,W 2-0,2,0,+2,75,2,0,0,0,616,91,559,2857,1542,21,10,7,21,2,Match Report
132,Juventus,2024-09-14,616,@,Empoli,it Serie A,D 0-0,0,0,0,65,0,0,0,0,616,42,376,2234,1066,17,13,4,17,8,Match Report
133,Real Madrid,2024-08-18,614,@,Mallorca,es La Liga,D 1-1,1,1,0,66,1,0,0,0,614,64,512,2692,1289,19,15,10,10,10,Match Report
134,Nice,2025-04-04,613,,Nantes,fr Ligue 1,L 1-2,1,2,-1,76,1,0,0,0,613,83,486,2618,1445,31,27,3,22,10,Match Report
135,Barcelona,2024-09-28,613,@,Osasuna,es La Liga,L 2-4,2,4,-2,73,2,0,0,0,613,58,438,2365,1275,22,12,4,26,8,Match Report
136,Real Madrid,2024-08-25,613,,Valladolid,es La Liga,W 3-0,3,0,+3,63,3,0,0,0,613,75,540,3110,1629,24,27,8,13,8,Match Report
137,Marseille,2024-11-08,613,,Auxerre,fr Ligue 1,L 1-3,1,3,-2,74,0,1,1,0,613,68,597,3112,1808,33,13,6,15,11,Match Report
138,Barcelona,2024-10-06,612,@,Alavés,es La Liga,W 3-0,3,0,+3,71,3,0,0,0,612,33,463,2213,1188,16,10,6,22,5,Match Report
139,Hoffenheim,2024-12-21,611,,Gladbach,de Bundesliga,L 1-2,1,2,-1,65,0,1,1,0,611,64,479,1856,971,17,16,4,12,5,Match Report
140,Leverkusen,2024-12-21,611,,Freiburg,de Bundesliga,W 5-1,5,1,+4,67,5,0,1,1,611,54,526,2518,1335,20,13,6,18,7,Match Report
141,Lyon,2025-03-09,611,@,Nice,fr Ligue 1,W 2-0,2,0,+2,63,2,0,0,0,611,27,607,2092,906,16,16,4,11,8,Match Report
142,Bayern Munich,2025-01-11,610,@,Gladbach,de Bundesliga,W 1-0,1,0,+1,67,0,1,1,0,610,55,459,2781,1656,37,30,7,15,13,Match Report
143,Marseille,2025-01-11,610,@,Rennes,fr Ligue 1,W 2-1,2,1,+1,64,2,0,0,0,610,43,428,1981,1151,13,13,4,15,9,Match Report
144,Barcelona,2025-01-18,609,@,Getafe,es La Liga,D 1-1,1,1,0,77,1,0,0,0,609,88,476,2666,1491,26,18,8,18,10,Match Report
145,Southampton,2024-08-24,609,,Nott'ham Forest,eng Premier League,L 0-1,0,1,-1,64,0,0,0,0,609,49,481,2902,1650,29,25,5,13,12,Match Report
146,Inter,2025-01-19,609,,Empoli,it Serie A,W 3-1,3,1,+2,68,3,0,0,0,609,56,550,2643,1204,17,19,3,12,7,Match Report
147,Real Madrid,2024-10-05,608,,Villarreal,es La Liga,W 2-0,2,0,+2,55,2,0,0,0,608,43,495,2331,1143,23,20,11,9,5,Match Report
148,Dortmund,2025-02-15,608,@,Bochum,de Bundesliga,L 0-2,0,2,-2,69,0,0,0,0,608,75,539,2748,1344,37,14,9,15,12,Match Report
149,Celta Vigo,2024-09-26,607,,Atlético Madrid,es La Liga,L 0-1,0,1,-1,58,0,0,0,0,607,58,593,2696,1537,26,17,3,12,8,Match Report
150,Atalanta,2025-02-01,606,,Torino,it Serie A,D 1-1,1,1,0,65,1,0,1,1,606,56,600,3266,1811,39,35,6,11,10,Match Report
151,Leverkusen,2024-12-07,606,,St. Pauli,de Bundesliga,W 2-1,2,1,+1,62,2,0,0,0,606,50,362,1924,950,12,14,4,13,14,Match Report
152,Barcelona,2025-02-22,605,@,Las Palmas,es La Liga,W 2-0,2,0,+2,69,2,0,0,0,605,62,478,2405,1281,25,13,4,16,8,Match Report
153,Manchester City,2024-12-26,605,,Everton,eng Premier League,D 1-1,1,1,0,66,1,0,1,1,605,68,517,3099,1724,30,34,9,15,9,Match Report
154,Inter,2025-03-08,605,,Monza,it Serie A,W 3-2,3,2,+1,69,2,0,0,0,605,84,571,2652,1494,41,28,13,8,9,Match Report
155,Barcelona,2024-12-21,604,,Atlético Madrid,es La Liga,L 1-2,1,2,-1,62,1,0,0,0,604,90,515,2634,1356,23,21,2,15,13,Match Report
156,Atalanta,2025-01-14,603,,Juventus,it Serie A,D 1-1,1,1,0,60,1,0,0,0,603,53,483,2549,1281,28,19,8,8,18,Match Report
157,Chelsea,2024-12-22,603,@,Everton,eng Premier League,D 0-0,0,0,0,75,0,0,0,0,603,45,539,2656,1290,17,11,5,9,12,Match Report
158,Manchester City,2024-11-09,601,@,Brighton,eng Premier League,L 1-2,1,2,-1,60,1,0,0,0,601,52,467,2589,1237,24,15,10,11,12,Match Report
159,Celta Vigo,2025-02-15,601,@,Atlético Madrid,es La Liga,D 1-1,1,1,0,66,0,1,1,0,601,72,448,2355,1326,26,20,5,17,9,Match Report
160,Atlético Madrid,2024-12-08,600,,Sevilla,es La Liga,W 4-3,4,3,+1,57,4,0,0,0,600,53,564,2618,1316,33,18,4,11,4,Match Report
161,Real Sociedad,2024-10-06,600,,Atlético Madrid,es La Liga,D 1-1,1,1,0,66,1,0,0,0,600,52,616,3191,1618,38,26,4,19,5,Match Report
162,West Ham,2025-02-27,598,,Leicester City,eng Premier League,W 2-0,2,0,+2,58,1,0,0,0,598,49,386,1608,840,11,12,0,14,9,Match Report
163,Southampton,2024-08-17,597,@,Newcastle Utd,eng Premier League,L 0-1,0,1,-1,77,0,0,0,0,597,61,476,2657,1550,31,19,9,10,9,Match Report
164,Girona,2024-09-25,597,,Rayo Vallecano,es La Liga,D 0-0,0,0,0,71,0,0,0,0,597,69,502,2765,1315,24,19,6,10,16,Match Report
165,Sevilla,2025-01-25,597,,Espanyol,es La Liga,D 1-1,1,1,0,74,1,0,0,0,597,52,424,2574,1384,29,14,5,16,7,Match Report
