Rk,Team,Date,Won,,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Won,Lost,Won%,Match Report
131,Lens,2024-09-21,25,@,Rennes,fr Ligue 1,D 1-1,1,1,0,60,1,0,0,0,25,13,65.8,Match Report
132,Osasuna,2024-12-21,24,,Athletic Club,es La Liga,L 1-2,1,2,-1,53,1,0,0,0,24,21,53.3,Match Report
133,Udinese,2024-11-25,24,@,Empoli,it Serie A,D 1-1,1,1,0,70,1,0,0,0,24,17,58.5,Match Report
134,Augsburg,2025-01-15,24,@,Union Berlin,de Bundesliga,W 2-0,2,0,+2,45,2,0,0,0,24,30,44.4,Match Report
135,Hellas Verona,2024-12-15,24,@,Parma,it Serie A,W 3-2,3,2,+1,44,3,0,0,0,24,19,55.8,Match Report
136,Hellas Verona,2024-11-29,24,@,Cagliari,it Serie A,L 0-1,0,1,-1,37,0,0,0,0,24,27,47.1,Match Report
137,Nice,2025-04-04,24,,Nantes,fr Ligue 1,L 1-2,1,2,-1,76,1,0,0,0,24,17,58.5,Match Report
138,Valladolid,2024-12-07,24,@,Las Palmas,es La Liga,L 1-2,1,2,-1,42,1,0,0,0,24,19,55.8,Match Report
139,Manchester Utd,2025-03-16,24,@,Leicester City,eng Premier League,W 3-0,3,0,+3,47,3,0,0,0,24,17,58.5,Match Report
140,Monza,2024-09-15,24,,Inter,it Serie A,D 1-1,1,1,0,40,1,0,0,0,24,15,61.5,Match Report
141,Monza,2024-08-24,24,,Genoa,it Serie A,L 0-1,0,1,-1,69,0,0,0,0,24,14,63.2,Match Report
142,Como,2025-01-10,24,@,Lazio,it Serie A,D 1-1,1,1,0,63,1,0,0,0,24,7,77.4,Match Report
143,Holstein Kiel,2025-01-18,24,,Hoffenheim,de Bundesliga,L 1-3,1,3,-2,53,1,0,0,0,24,29,45.3,Match Report
144,Holstein Kiel,2024-10-20,24,,Union Berlin,de Bundesliga,L 0-2,0,2,-2,48,0,0,0,0,24,17,58.5,Match Report
145,Southampton,2024-12-29,24,@,Crystal Palace,eng Premier League,L 1-2,1,2,-1,53,1,0,0,0,24,17,58.5,Match Report
146,Fiorentina,2025-02-28,24,,Lecce,it Serie A,W 1-0,1,0,+1,48,1,0,1,1,24,21,53.3,Match Report
147,Wolfsburg,2025-04-06,24,@,Union Berlin,de Bundesliga,L 0-1,0,1,-1,54,0,0,0,0,24,23,51.1,Match Report
148,Wolfsburg,2024-10-26,24,@,St. Pauli,de Bundesliga,D 0-0,0,0,0,46,0,0,0,0,24,12,66.7,Match Report
149,St. Pauli,2024-11-02,24,@,Hoffenheim,de Bundesliga,W 2-0,2,0,+2,33,2,0,0,0,24,34,41.4,Match Report
150,Stuttgart,2025-03-16,24,,Leverkusen,de Bundesliga,L 3-4,3,4,-1,43,2,0,0,0,24,15,61.5,Match Report
151,Genoa,2024-12-28,24,@,Empoli,it Serie A,W 2-1,2,1,+1,42,2,0,0,0,24,15,61.5,Match Report
152,Getafe,2025-02-09,24,@,Alavés,es La Liga,W 1-0,1,0,+1,35,0,1,1,0,24,29,45.3,Match Report
153,Getafe,2024-08-24,24,,Rayo Vallecano,es La Liga,D 0-0,0,0,0,48,0,0,0,0,24,20,54.5,Match Report
154,West Ham,2025-03-15,24,@,Everton,eng Premier League,D 1-1,1,1,0,46,1,0,0,0,24,20,54.5,Match Report
155,Wolves,2024-12-09,24,@,West Ham,eng Premier League,L 1-2,1,2,-1,46,1,0,0,0,24,20,54.5,Match Report
156,Alavés,2024-10-18,24,,Valladolid,es La Liga,L 2-3,2,3,-1,62,2,0,0,0,24,25,49.0,Match Report
157,Rayo Vallecano,2025-03-29,24,@,Alavés,es La Liga,W 2-0,2,0,+2,45,2,0,0,0,24,23,51.1,Match Report
158,Leicester City,2024-10-25,24,,Nott'ham Forest,eng Premier League,L 1-3,1,3,-2,65,1,0,0,0,24,15,61.5,Match Report
159,Freiburg,2024-11-08,24,@,Union Berlin,de Bundesliga,D 0-0,0,0,0,59,0,0,1,1,24,17,58.5,Match Report
160,Freiburg,2024-09-28,24,,St. Pauli,de Bundesliga,L 0-3,0,3,-3,73,0,0,1,1,24,18,57.1,Match Report
161,Espanyol,2024-10-05,24,,Mallorca,es La Liga,W 2-1,2,1,+1,40,2,0,0,0,24,18,57.1,Match Report
162,Bochum,2025-03-16,24,,Eint Frankfurt,de Bundesliga,L 1-3,1,3,-2,51,1,0,0,0,24,20,54.5,Match Report
163,Cagliari,2024-08-31,24,@,Lecce,it Serie A,L 0-1,0,1,-1,65,0,0,0,0,24,21,53.3,Match Report
164,Saint-Étienne,2025-01-19,24,,Nantes,fr Ligue 1,D 1-1,1,1,0,75,1,0,0,0,24,11,68.6,Match Report
165,Everton,2025-04-02,24,@,Liverpool,eng Premier League,L 0-1,0,1,-1,27,0,0,0,0,24,14,63.2,Match Report
166,Inter,2024-08-17,24,@,Genoa,it Serie A,D 2-2,2,2,0,68,2,0,0,0,24,12,66.7,Match Report
167,Juventus,2025-03-29,24,,Genoa,it Serie A,W 1-0,1,0,+1,49,1,0,0,0,24,16,60.0,Match Report
168,Real Sociedad,2025-01-19,24,@,Valencia,es La Liga,L 0-1,0,1,-1,64,0,0,0,0,24,23,51.1,Match Report
169,Eint Frankfurt,2024-12-21,24,,Mainz 05,de Bundesliga,L 1-3,1,3,-2,70,1,0,0,0,24,23,51.1,Match Report
170,Celta Vigo,2024-11-04,24,,Getafe,es La Liga,W 1-0,1,0,+1,57,1,0,0,0,24,21,53.3,Match Report
171,Betis,2025-02-23,24,@,Getafe,es La Liga,W 2-1,2,1,+1,51,1,1,1,0,24,31,43.6,Match Report
172,Fulham,2025-01-05,24,,Ipswich Town,eng Premier League,D 2-2,2,2,0,73,0,2,2,0,24,19,55.8,Match Report
173,Osasuna,2025-02-15,23,,Real Madrid,es La Liga,D 1-1,1,1,0,45,0,1,1,0,23,8,74.2,Match Report
174,Udinese,2025-03-15,23,,Hellas Verona,it Serie A,L 0-1,0,1,-1,64,0,0,0,0,23,20,53.5,Match Report
175,Hellas Verona,2024-10-04,23,,Venezia,it Serie A,W 2-1,2,1,+1,51,1,0,0,0,23,16,59.0,Match Report
176,Heidenheim,2025-01-18,23,,St. Pauli,de Bundesliga,L 0-2,0,2,-2,60,0,0,0,0,23,22,51.1,Match Report
177,Heidenheim,2024-10-19,23,@,Gladbach,de Bundesliga,L 2-3,2,3,-1,34,1,1,1,0,23,23,50.0,Match Report
178,Monza,2024-10-06,23,,Roma,it Serie A,D 1-1,1,1,0,35,1,0,0,0,23,9,71.9,Match Report
179,Montpellier,2025-01-17,23,,Monaco,fr Ligue 1,W 2-1,2,1,+1,33,2,0,0,0,23,20,53.5,Match Report
180,Mallorca,2025-02-16,23,,Las Palmas,es La Liga,W 3-1,3,1,+2,49,3,0,0,0,23,16,59.0,Match Report
181,Mallorca,2024-12-06,23,@,Celta Vigo,es La Liga,L 0-2,0,2,-2,50,0,0,0,0,23,17,57.5,Match Report
182,Mallorca,2024-10-28,23,,Athletic Club,es La Liga,D 0-0,0,0,0,33,0,0,0,0,23,12,65.7,Match Report
183,Gladbach,2024-10-19,23,,Heidenheim,de Bundesliga,W 3-2,3,2,+1,66,2,1,1,0,23,23,50.0,Match Report
184,Bournemouth,2025-04-05,23,@,West Ham,eng Premier League,D 2-2,2,2,0,44,2,0,0,0,23,18,56.1,Match Report
185,St. Pauli,2025-02-22,23,@,Mainz 05,de Bundesliga,L 0-2,0,2,-2,47,0,0,0,0,23,23,50.0,Match Report
186,Auxerre,2025-02-14,23,@,Brest,fr Ligue 1,D 2-2,2,2,0,36,2,0,0,0,23,20,53.5,Match Report
187,Le Havre,2024-11-03,23,,Montpellier,fr Ligue 1,W 1-0,1,0,+1,48,0,1,1,0,23,13,63.9,Match Report
188,Genoa,2025-03-02,23,,Empoli,it Serie A,D 1-1,1,1,0,60,1,0,0,0,23,30,43.4,Match Report
189,Genoa,2024-11-07,23,,Como,it Serie A,D 1-1,1,1,0,42,1,0,0,0,23,26,46.9,Match Report
190,Union Berlin,2025-04-06,23,,Wolfsburg,de Bundesliga,W 1-0,1,0,+1,46,1,0,0,0,23,24,48.9,Match Report
191,Union Berlin,2024-12-06,23,@,Stuttgart,de Bundesliga,L 2-3,2,3,-1,36,2,0,0,0,23,14,62.2,Match Report
192,West Ham,2024-12-16,23,@,Bournemouth,eng Premier League,D 1-1,1,1,0,48,0,1,1,0,23,21,52.3,Match Report
193,West Ham,2024-08-24,23,@,Crystal Palace,eng Premier League,W 2-0,2,0,+2,42,2,0,0,0,23,13,63.9,Match Report
194,Alavés,2025-03-29,23,,Rayo Vallecano,es La Liga,L 0-2,0,2,-2,55,0,0,1,1,23,24,48.9,Match Report
195,Atalanta,2024-09-28,23,@,Bologna,it Serie A,D 1-1,1,1,0,64,1,0,0,0,23,13,63.9,Match Report
196,Rayo Vallecano,2025-03-16,23,,Real Sociedad,es La Liga,D 2-2,2,2,0,55,2,0,0,0,23,14,62.2,Match Report
197,Mainz 05,2025-02-22,23,,St. Pauli,de Bundesliga,W 2-0,2,0,+2,53,2,0,0,0,23,23,50.0,Match Report
198,Mainz 05,2025-01-25,23,,Stuttgart,de Bundesliga,W 2-0,2,0,+2,44,2,0,0,0,23,21,52.3,Match Report
199,Mainz 05,2024-12-21,23,@,Eint Frankfurt,de Bundesliga,W 3-1,3,1,+2,30,2,0,0,0,23,24,48.9,Match Report
200,Empoli,2025-03-29,23,@,Como,it Serie A,D 1-1,1,1,0,29,1,0,0,0,23,13,63.9,Match Report
201,Freiburg,2025-03-30,23,,Union Berlin,de Bundesliga,L 1-2,1,2,-1,72,1,0,0,0,23,25,47.9,Match Report
202,RB Leipzig,2025-02-01,23,@,Union Berlin,de Bundesliga,D 0-0,0,0,0,53,0,0,0,0,23,17,57.5,Match Report
203,RB Leipzig,2025-01-18,23,@,Bochum,de Bundesliga,D 3-3,3,3,0,55,3,0,0,0,23,21,52.3,Match Report
