Rk,Team,Date,PSxG,,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,PSxG,PSxG/SoT,PSxG+/-,Match Report
150,Torino,2024-10-05,3.2,@,Inter,it Serie A,L 2-3,2,3,-1,20,1,1,1,0,3.2,0.41,+0.2,Match Report
151,Monza,2025-01-27,3.2,@,Genoa,it Serie A,L 0-2,0,2,-2,50,0,0,0,0,3.2,0.41,+1.2,Match Report
152,Villarreal,2024-09-22,3.2,,Barcelona,es La Liga,L 1-5,1,5,-4,37,1,0,0,0,3.2,0.39,-1.8,Match Report
153,Holstein Kiel,2025-02-22,3.2,,Leverkusen,de Bundesliga,L 0-2,0,2,-2,38,0,0,0,0,3.2,0.45,+1.2,Match Report
154,Holstein Kiel,2024-12-14,3.2,@,Gladbach,de Bundesliga,L 1-4,1,4,-3,44,1,0,0,0,3.2,0.54,-0.8,Match Report
155,Southampton,2024-08-31,3.2,@,Brentford,eng Premier League,L 1-3,1,3,-2,63,1,0,0,0,3.2,0.45,+0.2,Match Report
156,Bournemouth,2024-10-26,3.2,@,Aston Villa,eng Premier League,D 1-1,1,1,0,43,1,0,0,0,3.2,0.40,+2.2,Match Report
157,Reims,2024-10-20,3.2,@,Auxerre,fr Ligue 1,L 1-2,1,2,-1,65,1,0,0,0,3.2,0.30,+1.2,Match Report
158,Reims,2024-08-25,3.2,@,Marseille,fr Ligue 1,D 2-2,2,2,0,34,2,0,0,0,3.2,0.35,+1.2,Match Report
159,Espanyol,2024-11-03,3.2,@,Barcelona,es La Liga,L 1-3,1,3,-2,24,1,0,0,0,3.2,0.36,+0.2,Match Report
160,Bochum,2025-04-05,3.2,,Stuttgart,de Bundesliga,L 0-4,0,4,-4,54,0,0,0,0,3.2,0.54,-0.8,Match Report
161,Saint-Étienne,2024-10-26,3.2,@,Angers,fr Ligue 1,L 2-4,2,4,-2,58,1,1,1,0,3.2,0.31,-0.8,Match Report
162,Valencia,2025-04-05,3.2,@,Real Madrid,es La Liga,W 2-1,2,1,+1,35,2,0,0,0,3.2,0.28,+2.2,Match Report
163,Nott'ham Forest,2024-12-04,3.2,@,Manchester City,eng Premier League,L 0-3,0,3,-3,34,0,0,0,0,3.2,0.53,+0.2,Match Report
164,Monaco,2024-12-18,3.2,,Paris S-G,fr Ligue 1,L 2-4,2,4,-2,40,1,1,1,0,3.2,0.29,-0.8,Match Report
165,Lecce,2024-12-07,3.2,@,Roma,it Serie A,L 1-4,1,4,-3,41,0,1,1,0,3.2,0.41,-0.8,Match Report
166,Hoffenheim,2025-01-26,3.1,,Eint Frankfurt,de Bundesliga,D 2-2,2,2,0,51,2,0,0,0,3.1,0.33,+1.1,Match Report
167,Hellas Verona,2025-02-08,3.1,,Atalanta,it Serie A,L 0-5,0,5,-5,38,0,0,0,0,3.1,0.45,-1.9,Match Report
168,Torino,2025-02-22,3.1,,Milan,it Serie A,W 2-1,2,1,+1,36,1,0,0,0,3.1,0.30,+2.1,Match Report
169,Mallorca,2025-01-20,3.1,@,Villarreal,es La Liga,L 0-4,0,4,-4,57,0,0,0,0,3.1,0.44,-0.9,Match Report
