Rk,Team,Date,Att (GK),,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Att (GK),Thr,Launch%,AvgLen,Match Report
144,Manchester Utd,2025-03-16,43,@,Leicester City,eng Premier League,W 3-0,3,0,+3,47,3,0,0,0,43,3,32.6,31.6,Match Report
145,Bologna,2025-02-27,43,,Milan,it Serie A,W 2-1,2,1,+1,57,2,0,0,0,43,5,32.6,33.2,Match Report
146,Como,2025-03-29,43,,Empoli,it Serie A,D 1-1,1,1,0,71,1,0,0,0,43,6,23.3,32.1,Match Report
147,Holstein Kiel,2024-09-14,43,,Bayern Munich,de Bundesliga,L 1-6,1,6,-5,30,1,0,0,0,43,10,55.8,36.6,Match Report
148,Gladbach,2024-08-31,43,@,Bochum,de Bundesliga,W 2-0,2,0,+2,61,2,0,0,0,43,3,32.6,34.3,Match Report
149,Southampton,2025-04-02,43,,Crystal Palace,eng Premier League,D 1-1,1,1,0,43,1,0,0,0,43,5,48.8,34.0,Match Report
150,Tottenham,2024-08-24,43,,Everton,eng Premier League,W 4-0,4,0,+4,70,4,0,0,0,43,10,0.0,16.3,Match Report
151,Marseille,2024-12-01,43,,Monaco,fr Ligue 1,W 2-1,2,1,+1,63,1,1,1,0,43,7,11.6,23.5,Match Report
152,Marseille,2024-08-17,43,@,Brest,fr Ligue 1,W 5-1,5,1,+4,50,3,2,2,0,43,6,14.0,22.7,Match Report
153,Lazio,2024-12-08,43,@,Napoli,it Serie A,W 1-0,1,0,+1,44,1,0,0,0,43,4,53.5,41.8,Match Report
154,West Ham,2025-02-15,43,,Brentford,eng Premier League,L 0-1,0,1,-1,58,0,0,0,0,43,8,23.3,30.1,Match Report
155,Aston Villa,2025-04-02,43,@,Brighton,eng Premier League,W 3-0,3,0,+3,44,3,0,0,0,43,4,30.2,35.2,Match Report
156,Aston Villa,2024-10-26,43,,Bournemouth,eng Premier League,D 1-1,1,1,0,57,1,0,0,0,43,2,25.6,31.8,Match Report
157,Girona,2025-03-01,43,,Celta Vigo,es La Liga,D 2-2,2,2,0,51,2,0,0,0,43,6,39.5,37.1,Match Report
158,Leicester City,2025-04-07,43,,Newcastle Utd,eng Premier League,L 0-3,0,3,-3,58,0,0,0,0,43,1,62.8,43.7,Match Report
159,Leicester City,2025-02-15,43,,Arsenal,eng Premier League,L 0-2,0,2,-2,40,0,0,0,0,43,2,67.4,45.7,Match Report
160,Freiburg,2025-01-18,43,@,Stuttgart,de Bundesliga,L 0-4,0,4,-4,44,0,0,0,0,43,6,48.8,38.6,Match Report
161,RB Leipzig,2025-01-12,43,,Werder Bremen,de Bundesliga,W 4-2,4,2,+2,49,4,0,0,0,43,6,20.9,31.0,Match Report
162,Sevilla,2024-11-03,43,,Real Sociedad,es La Liga,L 0-2,0,2,-2,55,0,0,0,0,43,4,39.5,36.5,Match Report
163,Dortmund,2024-11-23,43,,Freiburg,de Bundesliga,W 4-0,4,0,+4,59,4,0,0,0,43,5,4.7,19.9,Match Report
164,Newcastle Utd,2024-12-21,43,@,Ipswich Town,eng Premier League,W 4-0,4,0,+4,58,4,0,0,0,43,3,14.0,25.9,Match Report
165,Manchester City,2025-02-15,43,,Newcastle Utd,eng Premier League,W 4-0,4,0,+4,61,4,0,0,0,43,2,30.2,35.7,Match Report
166,Strasbourg,2024-09-21,43,@,Lille,fr Ligue 1,D 3-3,3,3,0,37,3,0,0,0,43,3,30.2,35.2,Match Report
167,Strasbourg,2024-09-15,43,,Angers,fr Ligue 1,D 1-1,1,1,0,52,1,0,0,0,43,2,20.9,29.0,Match Report
168,Cagliari,2025-03-16,43,@,Roma,it Serie A,L 0-1,0,1,-1,39,0,0,0,0,43,4,37.2,33.1,Match Report
169,Brentford,2024-12-27,43,@,Brighton,eng Premier League,D 0-0,0,0,0,43,0,0,0,0,43,5,39.5,38.5,Match Report
170,Roma,2025-02-24,43,,Monza,it Serie A,W 4-0,4,0,+4,65,4,0,0,0,43,2,18.6,29.0,Match Report
171,Chelsea,2025-01-20,43,,Wolves,eng Premier League,W 3-1,3,1,+2,63,3,0,0,0,43,10,16.3,27.9,Match Report
172,Chelsea,2024-12-15,43,,Brentford,eng Premier League,W 2-1,2,1,+1,62,2,0,0,0,43,11,44.2,40.6,Match Report
173,Chelsea,2024-09-14,43,@,Bournemouth,eng Premier League,W 1-0,1,0,+1,66,1,0,0,0,43,6,30.2,33.7,Match Report
174,Saint-Étienne,2025-04-06,43,@,Lens,fr Ligue 1,L 0-1,0,1,-1,40,0,0,1,1,43,7,58.1,42.7,Match Report
175,Everton,2025-01-15,43,,Aston Villa,eng Premier League,L 0-1,0,1,-1,50,0,0,0,0,43,6,34.9,33.8,Match Report
