Rk,Team,Date,Att (GK),,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Att (GK),Thr,Launch%,AvgLen,Match Report
1405,Fiorentina,2025-03-30,27,,Atalanta,it Serie A,W 1-0,1,0,+1,45,1,0,0,0,27,3,51.9,39.1,Match Report
1406,Fiorentina,2024-12-15,27,@,Bologna,it Serie A,L 0-1,0,1,-1,50,0,0,0,0,27,2,63.0,43.9,Match Report
1407,Crystal Palace,2025-01-18,27,@,West Ham,eng Premier League,W 2-0,2,0,+2,47,1,1,1,0,27,0,40.7,34.9,Match Report
1408,Crystal Palace,2024-12-26,27,@,Bournemouth,eng Premier League,D 0-0,0,0,0,48,0,0,0,0,27,3,40.7,39.3,Match Report
1409,Crystal Palace,2024-11-30,27,,Newcastle Utd,eng Premier League,D 1-1,1,1,0,49,1,0,0,0,27,2,48.1,39.8,Match Report
1410,Bournemouth,2025-03-15,27,,Brentford,eng Premier League,L 1-2,1,2,-1,58,0,0,0,0,27,3,51.9,41.1,Match Report
1411,Bournemouth,2024-08-17,27,@,Nott'ham Forest,eng Premier League,D 1-1,1,1,0,47,1,0,0,0,27,6,29.6,31.8,Match Report
1412,Wolfsburg,2025-02-22,27,,Bochum,de Bundesliga,D 1-1,1,1,0,54,1,0,0,0,27,8,22.2,34.1,Match Report
1413,Real Madrid,2025-02-15,27,@,Osasuna,es La Liga,D 1-1,1,1,0,55,1,0,0,0,27,7,44.4,43.6,Match Report
1414,St. Pauli,2025-01-15,27,@,Bochum,de Bundesliga,L 0-1,0,1,-1,49,0,0,0,0,27,6,48.1,34.3,Match Report
1415,St. Pauli,2024-12-21,27,@,Stuttgart,de Bundesliga,W 1-0,1,0,+1,28,1,0,1,1,27,3,55.6,42.5,Match Report
1416,Marseille,2024-08-31,27,@,Toulouse,fr Ligue 1,W 3-1,3,1,+2,76,2,0,0,0,27,5,7.4,24.7,Match Report
1417,Marseille,2024-08-25,27,,Reims,fr Ligue 1,D 2-2,2,2,0,66,2,0,0,0,27,5,14.8,27.1,Match Report
1418,Auxerre,2025-02-14,27,@,Brest,fr Ligue 1,D 2-2,2,2,0,36,2,0,0,0,27,5,51.9,44.5,Match Report
1419,Auxerre,2024-10-27,27,@,Lyon,fr Ligue 1,D 2-2,2,2,0,38,2,0,0,0,27,5,59.3,45.6,Match Report
1420,Le Havre,2025-01-26,27,,Brest,fr Ligue 1,L 0-1,0,1,-1,45,0,0,0,0,27,8,25.9,27.5,Match Report
1421,Werder Bremen,2025-02-16,27,,Hoffenheim,de Bundesliga,L 1-3,1,3,-2,63,0,0,0,0,27,7,29.6,30.2,Match Report
1422,Werder Bremen,2024-11-03,27,@,Gladbach,de Bundesliga,L 1-4,1,4,-3,53,1,0,0,0,27,6,22.2,29.7,Match Report
1423,Genoa,2024-08-24,27,@,Monza,it Serie A,W 1-0,1,0,+1,31,1,0,0,0,27,2,33.3,34.5,Match Report
1424,Angers,2024-12-01,27,@,Le Havre,fr Ligue 1,W 1-0,1,0,+1,45,1,0,0,0,27,6,29.6,31.0,Match Report
1425,Lazio,2024-12-01,27,@,Parma,it Serie A,L 1-3,1,3,-2,72,1,0,0,0,27,2,29.6,33.0,Match Report
1426,Lazio,2024-10-19,27,@,Juventus,it Serie A,L 0-1,0,1,-1,31,0,0,0,0,27,5,37.0,37.1,Match Report
1427,Lazio,2024-10-06,27,,Empoli,it Serie A,W 2-1,2,1,+1,58,2,0,1,1,27,3,37.0,38.8,Match Report
1428,Getafe,2024-10-27,27,,Valencia,es La Liga,D 1-1,1,1,0,64,0,1,1,0,27,9,33.3,31.1,Match Report
1429,Union Berlin,2024-11-30,27,,Leverkusen,de Bundesliga,L 1-2,1,2,-1,38,1,0,0,0,27,9,22.2,30.7,Match Report
1430,West Ham,2024-08-17,27,,Aston Villa,eng Premier League,L 1-2,1,2,-1,52,0,1,1,0,27,7,29.6,27.4,Match Report
1431,Leganés,2025-01-11,27,@,Espanyol,es La Liga,D 1-1,1,1,0,47,1,0,0,0,27,9,51.9,42.7,Match Report
1432,Leganés,2024-11-30,27,@,Alavés,es La Liga,D 1-1,1,1,0,40,1,0,0,0,27,1,81.5,57.0,Match Report
1433,Reims,2025-01-19,27,,Le Havre,fr Ligue 1,D 1-1,1,1,0,55,1,0,0,0,27,3,18.5,29.8,Match Report
1434,Liverpool,2025-02-26,27,,Newcastle Utd,eng Premier League,W 2-0,2,0,+2,61,2,0,0,0,27,5,14.8,28.6,Match Report
1435,Liverpool,2024-09-28,27,@,Wolves,eng Premier League,W 2-1,2,1,+1,55,1,1,1,0,27,3,18.5,28.1,Match Report
1436,Aston Villa,2025-01-26,27,,West Ham,eng Premier League,D 1-1,1,1,0,46,1,0,0,0,27,2,29.6,30.0,Match Report
1437,Alavés,2025-03-02,27,@,Mallorca,es La Liga,D 1-1,1,1,0,56,1,0,0,0,27,1,63.0,42.1,Match Report
1438,Alavés,2025-02-22,27,,Espanyol,es La Liga,L 0-1,0,1,-1,62,0,0,0,0,27,2,74.1,49.0,Match Report
1439,Girona,2024-10-06,27,,Athletic Club,es La Liga,W 2-1,2,1,+1,66,1,1,1,0,27,8,25.9,32.3,Match Report
1440,Atalanta,2025-04-06,27,,Lazio,it Serie A,L 0-1,0,1,-1,58,0,0,0,0,27,10,18.5,28.3,Match Report
1441,Atalanta,2024-10-26,27,,Hellas Verona,it Serie A,W 6-1,6,1,+5,69,6,0,0,0,27,5,18.5,28.4,Match Report
1442,Atalanta,2024-09-15,27,,Fiorentina,it Serie A,W 3-2,3,2,+1,51,3,0,0,0,27,3,37.0,34.0,Match Report
1443,Leicester City,2024-10-19,27,@,Southampton,eng Premier League,W 3-2,3,2,+1,58,2,1,1,0,27,8,33.3,35.1,Match Report
1444,RB Leipzig,2025-04-05,27,,Hoffenheim,de Bundesliga,W 3-1,3,1,+2,66,3,0,0,0,27,4,7.4,24.4,Match Report
1445,RB Leipzig,2024-09-22,27,@,St. Pauli,de Bundesliga,D 0-0,0,0,0,69,0,0,0,0,27,4,3.7,22.9,Match Report
1446,Sevilla,2024-08-23,27,,Villarreal,es La Liga,L 1-2,1,2,-1,59,1,0,0,0,27,4,37.0,33.4,Match Report
1447,Dortmund,2025-02-08,27,,Stuttgart,de Bundesliga,L 1-2,1,2,-1,68,1,0,0,0,27,1,22.2,30.3,Match Report
1448,Dortmund,2025-01-17,27,@,Eint Frankfurt,de Bundesliga,L 0-2,0,2,-2,67,0,0,0,0,27,6,29.6,30.6,Match Report
1449,Dortmund,2024-12-15,27,,Hoffenheim,de Bundesliga,D 1-1,1,1,0,54,1,0,0,0,27,5,29.6,33.8,Match Report
1450,Newcastle Utd,2024-12-14,27,,Leicester City,eng Premier League,W 4-0,4,0,+4,59,4,0,0,0,27,2,3.7,20.0,Match Report
1451,Newcastle Utd,2024-08-25,27,@,Bournemouth,eng Premier League,D 1-1,1,1,0,61,1,0,0,0,27,6,18.5,27.1,Match Report
1452,Bochum,2025-02-15,27,,Dortmund,de Bundesliga,W 2-0,2,0,+2,31,2,0,0,0,27,2,70.4,48.9,Match Report
1453,Bochum,2024-08-24,27,@,RB Leipzig,de Bundesliga,L 0-1,0,1,-1,38,0,0,0,0,27,2,66.7,43.4,Match Report
1454,Ipswich Town,2025-04-02,27,@,Bournemouth,eng Premier League,W 2-1,2,1,+1,37,2,0,0,0,27,4,44.4,37.7,Match Report
1455,Manchester City,2024-12-21,27,@,Aston Villa,eng Premier League,L 1-2,1,2,-1,56,1,0,0,0,27,5,11.1,22.7,Match Report
1456,Strasbourg,2025-04-06,27,@,Reims,fr Ligue 1,W 1-0,1,0,+1,52,1,0,0,0,27,2,44.4,36.6,Match Report
1457,Leverkusen,2025-04-05,27,@,Heidenheim,de Bundesliga,W 1-0,1,0,+1,51,1,0,0,0,27,3,51.9,39.3,Match Report
1458,Leverkusen,2025-02-15,27,,Bayern Munich,de Bundesliga,D 0-0,0,0,0,57,0,0,0,0,27,2,51.9,38.1,Match Report
1459,Leverkusen,2025-02-08,27,@,Wolfsburg,de Bundesliga,D 0-0,0,0,0,59,0,0,0,0,27,6,29.6,31.7,Match Report
1460,Leverkusen,2024-11-23,27,,Heidenheim,de Bundesliga,W 5-2,5,2,+3,78,5,0,0,0,27,5,7.4,20.5,Match Report
1461,Lille,2025-04-05,27,@,Lyon,fr Ligue 1,L 1-2,1,2,-1,44,1,0,0,0,27,8,22.2,30.5,Match Report
1462,Brentford,2024-12-21,27,,Nott'ham Forest,eng Premier League,L 0-2,0,2,-2,64,0,0,0,0,27,4,11.1,26.6,Match Report
1463,Roma,2025-01-05,27,,Lazio,it Serie A,W 2-0,2,0,+2,33,2,0,0,0,27,5,37.0,39.2,Match Report
1464,Chelsea,2025-03-16,27,@,Arsenal,eng Premier League,L 0-1,0,1,-1,58,0,0,0,0,27,4,59.3,48.6,Match Report
1465,Chelsea,2024-11-23,27,@,Leicester City,eng Premier League,W 2-1,2,1,+1,63,2,0,0,0,27,3,37.0,31.2,Match Report
1466,Brighton,2024-12-30,27,@,Aston Villa,eng Premier League,D 2-2,2,2,0,41,2,0,0,0,27,3,25.9,32.4,Match Report
1467,Brighton,2024-12-08,27,@,Leicester City,eng Premier League,D 2-2,2,2,0,44,2,0,0,0,27,3,18.5,32.3,Match Report
1468,Brighton,2024-12-05,27,@,Fulham,eng Premier League,L 1-3,1,3,-2,57,1,0,0,0,27,3,11.1,22.7,Match Report
1469,Brighton,2024-11-29,27,,Southampton,eng Premier League,D 1-1,1,1,0,53,1,0,0,0,27,5,18.5,28.1,Match Report
1470,Everton,2024-08-24,27,@,Tottenham,eng Premier League,L 0-4,0,4,-4,30,0,0,0,0,27,2,63.0,42.7,Match Report
1471,Napoli,2024-11-03,27,,Atalanta,it Serie A,L 0-3,0,3,-3,50,0,0,0,0,27,3,7.4,25.6,Match Report
1472,Inter,2025-01-12,27,@,Venezia,it Serie A,W 1-0,1,0,+1,59,1,0,0,0,27,3,25.9,30.4,Match Report
1473,Nantes,2024-11-03,27,,Marseille,fr Ligue 1,L 1-2,1,2,-1,27,1,0,0,0,27,8,40.7,37.9,Match Report
1474,Milan,2025-02-02,27,,Inter,it Serie A,D 1-1,1,1,0,37,1,0,0,0,27,6,25.9,32.6,Match Report
1475,Milan,2024-09-22,27,@,Inter,it Serie A,W 2-1,2,1,+1,43,2,0,0,0,27,4,25.9,34.8,Match Report
1476,Juventus,2025-04-06,27,@,Roma,it Serie A,D 1-1,1,1,0,59,1,0,0,0,27,6,37.0,31.6,Match Report
1477,Juventus,2025-03-29,27,,Genoa,it Serie A,W 1-0,1,0,+1,49,1,0,0,0,27,6,33.3,34.6,Match Report
1478,Real Sociedad,2024-09-17,27,@,Mallorca,es La Liga,L 0-1,0,1,-1,60,0,0,0,0,27,4,25.9,34.2,Match Report
1479,Real Sociedad,2024-08-24,27,@,Espanyol,es La Liga,W 1-0,1,0,+1,66,1,0,0,0,27,2,11.1,24.3,Match Report
1480,Parma,2024-12-01,27,,Lazio,it Serie A,W 3-1,3,1,+2,28,3,0,0,0,27,2,88.9,60.7,Match Report
1481,Eint Frankfurt,2024-08-31,27,,Hoffenheim,de Bundesliga,W 3-1,3,1,+2,50,3,0,0,0,27,6,59.3,41.3,Match Report
1482,Brest,2025-01-18,27,@,Rennes,fr Ligue 1,W 2-1,2,1,+1,32,2,0,0,0,27,2,85.2,49.7,Match Report
1483,Brest,2024-09-27,27,@,Auxerre,fr Ligue 1,L 0-3,0,3,-3,61,0,0,0,0,27,4,37.0,33.4,Match Report
1484,Brest,2024-08-31,27,,Saint-Étienne,fr Ligue 1,W 4-0,4,0,+4,47,2,2,2,0,27,3,59.3,43.0,Match Report
1485,Betis,2025-04-05,27,@,Barcelona,es La Liga,D 1-1,1,1,0,27,1,0,0,0,27,7,48.1,38.8,Match Report
1486,Betis,2025-03-16,27,@,Leganés,es La Liga,W 3-2,3,2,+1,64,2,1,1,0,27,6,14.8,26.2,Match Report
1487,Lens,2025-03-30,27,@,Lille,fr Ligue 1,L 0-1,0,1,-1,55,0,0,0,0,27,8,33.3,35.1,Match Report
1488,Lens,2024-09-15,27,,Lyon,fr Ligue 1,D 0-0,0,0,0,54,0,0,0,0,27,1,37.0,35.4,Match Report
1489,Lens,2024-08-18,27,@,Angers,fr Ligue 1,W 1-0,1,0,+1,58,1,0,0,0,27,4,25.9,33.0,Match Report
1490,Fulham,2024-11-23,27,,Wolves,eng Premier League,L 1-4,1,4,-3,59,1,0,0,0,27,7,0.0,21.3,Match Report
1491,Lecce,2025-03-14,27,@,Genoa,it Serie A,L 1-2,1,2,-1,56,0,1,1,0,27,1,55.6,42.4,Match Report
1492,Lecce,2025-02-16,27,@,Monza,it Serie A,D 0-0,0,0,0,44,0,0,0,0,27,2,55.6,42.8,Match Report
1493,Lecce,2024-09-15,27,@,Torino,it Serie A,D 0-0,0,0,0,47,0,0,0,0,27,4,66.7,43.1,Match Report
1494,Las Palmas,2024-11-08,26,@,Rayo Vallecano,es La Liga,W 3-1,3,1,+2,36,2,0,0,0,26,6,38.5,35.0,Match Report
1495,Las Palmas,2024-08-29,26,,Real Madrid,es La Liga,D 1-1,1,1,0,43,1,0,0,0,26,7,53.8,38.8,Match Report
1496,Osasuna,2024-10-19,26,,Betis,es La Liga,L 1-2,1,2,-1,55,1,0,0,0,26,6,38.5,34.6,Match Report
1497,Osasuna,2024-09-16,26,@,Rayo Vallecano,es La Liga,L 1-3,1,3,-2,35,1,0,0,0,26,1,92.3,57.2,Match Report
1498,Augsburg,2025-03-08,26,@,Dortmund,de Bundesliga,W 1-0,1,0,+1,29,1,0,0,0,26,1,53.8,41.5,Match Report
1499,Hellas Verona,2025-03-15,26,@,Udinese,it Serie A,W 1-0,1,0,+1,36,1,0,0,0,26,0,88.5,53.4,Match Report
1500,Hellas Verona,2024-11-03,26,,Roma,it Serie A,W 3-2,3,2,+1,34,3,0,0,0,26,1,92.3,56.2,Match Report
1501,Torino,2024-09-29,26,,Lazio,it Serie A,L 2-3,2,3,-1,57,2,0,0,0,26,5,34.6,31.0,Match Report
1502,Torino,2024-09-20,26,@,Hellas Verona,it Serie A,W 3-2,3,2,+1,70,3,0,1,1,26,5,23.1,30.0,Match Report
1503,Torino,2024-08-30,26,@,Venezia,it Serie A,W 1-0,1,0,+1,58,1,0,0,0,26,5,50.0,43.0,Match Report
1504,Nice,2024-11-10,26,,Lille,fr Ligue 1,D 2-2,2,2,0,43,2,0,0,0,26,5,19.2,28.2,Match Report
1505,Nice,2024-11-02,26,@,Brest,fr Ligue 1,W 1-0,1,0,+1,37,1,0,0,0,26,4,38.5,39.3,Match Report
1506,Valladolid,2025-02-16,26,,Sevilla,es La Liga,L 0-4,0,4,-4,52,0,0,0,0,26,4,26.9,31.8,Match Report
1507,Valladolid,2024-11-22,26,@,Getafe,es La Liga,L 0-2,0,2,-2,43,0,0,0,0,26,5,65.4,45.5,Match Report
1508,Heidenheim,2025-03-09,26,@,Hoffenheim,de Bundesliga,D 1-1,1,1,0,45,1,0,0,0,26,4,30.8,34.6,Match Report
1509,Heidenheim,2024-11-23,26,@,Leverkusen,de Bundesliga,L 2-5,2,5,-3,22,2,0,0,0,26,6,30.8,37.7,Match Report
1510,Heidenheim,2024-11-10,26,,Wolfsburg,de Bundesliga,L 1-3,1,3,-2,65,1,0,0,0,26,6,15.4,25.7,Match Report
1511,Heidenheim,2024-09-28,26,@,Mainz 05,de Bundesliga,W 2-0,2,0,+2,50,2,0,0,0,26,1,38.5,35.0,Match Report
1512,Manchester Utd,2025-02-16,26,@,Tottenham,eng Premier League,L 0-1,0,1,-1,45,0,0,0,0,26,5,30.8,33.1,Match Report
1513,Monza,2025-02-16,26,,Lecce,it Serie A,D 0-0,0,0,0,56,0,0,0,0,26,6,26.9,32.6,Match Report
1514,Monza,2025-02-09,26,@,Lazio,it Serie A,L 1-5,1,5,-4,39,0,1,1,0,26,5,26.9,32.7,Match Report
1515,Monza,2025-01-05,26,,Cagliari,it Serie A,L 1-2,1,2,-1,53,0,1,1,0,26,6,50.0,39.7,Match Report
1516,Montpellier,2025-03-08,26,@,Lille,fr Ligue 1,L 0-1,0,1,-1,24,0,0,0,0,26,6,57.7,42.3,Match Report
1517,Montpellier,2025-02-23,26,@,Nice,fr Ligue 1,L 0-2,0,2,-2,44,0,0,0,0,26,3,61.5,44.0,Match Report
1518,Como,2024-11-30,26,,Monza,it Serie A,D 1-1,1,1,0,55,1,0,0,0,26,3,38.5,34.5,Match Report
1519,Como,2024-10-19,26,,Parma,it Serie A,D 1-1,1,1,0,61,1,0,0,0,26,6,15.4,24.8,Match Report
1520,Villarreal,2025-01-13,26,@,Real Sociedad,es La Liga,L 0-1,0,1,-1,44,0,0,0,0,26,5,46.2,37.9,Match Report
1521,Villarreal,2024-12-18,26,,Rayo Vallecano,es La Liga,D 1-1,1,1,0,45,1,0,0,0,26,6,46.2,36.0,Match Report
1522,Villarreal,2024-08-23,26,@,Sevilla,es La Liga,W 2-1,2,1,+1,41,2,0,0,0,26,4,30.8,36.4,Match Report
1523,Mallorca,2024-12-03,26,,Barcelona,es La Liga,L 1-5,1,5,-4,41,1,0,0,0,26,4,73.1,50.6,Match Report
1524,Holstein Kiel,2024-10-26,26,@,Stuttgart,de Bundesliga,L 1-2,1,2,-1,42,1,0,0,0,26,6,26.9,31.3,Match Report
1525,Athletic Club,2025-03-09,26,,Mallorca,es La Liga,D 1-1,1,1,0,55,1,0,0,0,26,6,42.3,37.2,Match Report
1526,Athletic Club,2025-03-01,26,@,Atlético Madrid,es La Liga,L 0-1,0,1,-1,50,0,0,0,0,26,3,26.9,29.2,Match Report
1527,Athletic Club,2024-12-04,26,,Real Madrid,es La Liga,W 2-1,2,1,+1,37,2,0,0,0,26,1,50.0,40.4,Match Report
1528,Athletic Club,2024-11-10,26,@,Valladolid,es La Liga,D 1-1,1,1,0,66,1,0,0,0,26,5,26.9,30.7,Match Report
1529,Southampton,2025-03-15,26,,Wolves,eng Premier League,L 1-2,1,2,-1,60,1,0,0,0,26,3,38.5,33.3,Match Report
1530,Southampton,2025-02-25,26,@,Chelsea,eng Premier League,L 0-4,0,4,-4,40,0,0,0,0,26,3,42.3,35.8,Match Report
1531,Southampton,2024-12-22,26,@,Fulham,eng Premier League,D 0-0,0,0,0,43,0,0,0,0,26,2,73.1,49.3,Match Report
1532,Tottenham,2025-02-22,26,@,Ipswich Town,eng Premier League,W 4-1,4,1,+3,58,4,0,0,0,26,3,19.2,28.2,Match Report
1533,Fiorentina,2024-12-23,26,,Udinese,it Serie A,L 1-2,1,2,-1,51,0,1,1,0,26,6,30.8,31.6,Match Report
1534,Fiorentina,2024-10-31,26,@,Genoa,it Serie A,W 1-0,1,0,+1,67,1,0,0,0,26,5,38.5,35.9,Match Report
1535,Fiorentina,2024-10-27,26,,Roma,it Serie A,W 5-1,5,1,+4,39,3,1,1,0,26,5,38.5,36.8,Match Report
1536,Crystal Palace,2024-09-14,26,,Leicester City,eng Premier League,D 2-2,2,2,0,66,1,1,1,0,26,10,15.4,26.0,Match Report
1537,Bournemouth,2025-03-09,26,@,Tottenham,eng Premier League,D 2-2,2,2,0,39,2,0,0,0,26,4,61.5,41.0,Match Report
1538,Bournemouth,2024-10-05,26,@,Leicester City,eng Premier League,L 0-1,0,1,-1,55,0,0,0,0,26,3,26.9,29.5,Match Report
1539,St. Pauli,2024-11-02,26,@,Hoffenheim,de Bundesliga,W 2-0,2,0,+2,33,2,0,0,0,26,3,61.5,45.8,Match Report
1540,St. Pauli,2024-09-22,26,,RB Leipzig,de Bundesliga,D 0-0,0,0,0,31,0,0,0,0,26,2,53.8,42.0,Match Report
1541,Marseille,2025-03-16,26,@,Paris S-G,fr Ligue 1,L 1-3,1,3,-2,40,1,0,0,0,26,2,23.1,33.3,Match Report
1542,Marseille,2025-02-02,26,,Lyon,fr Ligue 1,W 3-2,3,2,+1,63,3,0,0,0,26,2,15.4,24.7,Match Report
1543,Stuttgart,2025-03-08,26,@,Holstein Kiel,de Bundesliga,D 2-2,2,2,0,48,2,0,0,0,26,3,42.3,37.8,Match Report
1544,Auxerre,2025-03-09,26,@,Reims,fr Ligue 1,W 2-0,2,0,+2,43,2,0,0,0,26,3,61.5,45.9,Match Report
1545,Auxerre,2025-01-24,26,,Saint-Étienne,fr Ligue 1,D 1-1,1,1,0,37,1,0,0,0,26,4,50.0,41.6,Match Report
1546,Auxerre,2024-09-22,26,@,Montpellier,fr Ligue 1,L 2-3,2,3,-1,46,2,0,0,0,26,5,69.2,48.2,Match Report
1547,Le Havre,2025-03-16,26,@,Lyon,fr Ligue 1,L 2-4,2,4,-2,33,1,1,1,0,26,5,26.9,31.7,Match Report
1548,Le Havre,2024-12-15,26,,Strasbourg,fr Ligue 1,L 0-3,0,3,-3,56,0,0,0,0,26,4,3.8,24.2,Match Report
1549,Le Havre,2024-09-28,26,,Lille,fr Ligue 1,L 0-3,0,3,-3,38,0,0,0,0,26,7,23.1,30.3,Match Report
1550,Genoa,2025-01-05,26,@,Lecce,it Serie A,D 0-0,0,0,0,37,0,0,0,0,26,0,23.1,27.6,Match Report
1551,Genoa,2024-12-28,26,@,Empoli,it Serie A,W 2-1,2,1,+1,42,2,0,0,0,26,6,50.0,37.1,Match Report
1552,Genoa,2024-09-01,26,,Hellas Verona,it Serie A,L 0-2,0,2,-2,58,0,0,0,0,26,4,26.9,29.2,Match Report
1553,Angers,2025-03-09,26,@,Brest,fr Ligue 1,L 0-2,0,2,-2,50,0,0,0,0,26,8,15.4,25.9,Match Report
1554,Lazio,2024-09-29,26,@,Torino,it Serie A,W 3-2,3,2,+1,43,3,0,0,0,26,4,61.5,45.0,Match Report
1555,Union Berlin,2025-03-09,26,@,Eint Frankfurt,de Bundesliga,W 2-1,2,1,+1,34,2,0,0,0,26,6,38.5,35.2,Match Report
1556,Union Berlin,2025-02-01,26,,RB Leipzig,de Bundesliga,D 0-0,0,0,0,47,0,0,0,0,26,9,34.6,34.4,Match Report
1557,Union Berlin,2025-01-19,26,,Mainz 05,de Bundesliga,W 2-1,2,1,+1,34,1,1,1,0,26,2,65.4,45.5,Match Report
1558,Union Berlin,2024-08-24,26,@,Mainz 05,de Bundesliga,D 1-1,1,1,0,47,1,0,0,0,26,4,73.1,47.5,Match Report
1559,Leganés,2025-03-08,26,@,Celta Vigo,es La Liga,L 1-2,1,2,-1,44,1,0,0,0,26,3,69.2,47.0,Match Report
1560,Leganés,2025-02-15,26,,Alavés,es La Liga,D 3-3,3,3,0,43,1,2,2,0,26,8,73.1,49.7,Match Report
1561,Leganés,2024-09-28,26,@,Rayo Vallecano,es La Liga,D 1-1,1,1,0,46,1,0,0,0,26,5,61.5,49.2,Match Report
1562,Reims,2025-03-16,26,@,Brest,fr Ligue 1,D 0-0,0,0,0,29,0,0,0,0,26,8,34.6,35.8,Match Report
1563,Reims,2024-12-08,26,@,Strasbourg,fr Ligue 1,D 0-0,0,0,0,52,0,0,0,0,26,3,38.5,35.7,Match Report
1564,Reims,2024-10-06,26,,Montpellier,fr Ligue 1,W 4-2,4,2,+2,48,3,1,1,0,26,5,61.5,47.5,Match Report
1565,Aston Villa,2024-10-19,26,@,Fulham,eng Premier League,W 3-1,3,1,+2,48,2,0,0,0,26,2,26.9,30.6,Match Report
1566,Wolves,2024-08-25,26,,Chelsea,eng Premier League,L 2-6,2,6,-4,40,2,0,0,0,26,2,50.0,40.1,Match Report
1567,Girona,2025-02-08,26,@,Athletic Club,es La Liga,L 0-3,0,3,-3,55,0,0,0,0,26,3,23.1,31.8,Match Report
1568,Girona,2024-09-15,26,,Barcelona,es La Liga,L 1-4,1,4,-3,45,1,0,0,0,26,3,7.7,25.2,Match Report
1569,Atalanta,2024-12-22,26,,Empoli,it Serie A,W 3-2,3,2,+1,65,3,0,0,0,26,6,26.9,30.3,Match Report
1570,Rayo Vallecano,2025-03-29,26,@,Alavés,es La Liga,W 2-0,2,0,+2,45,2,0,0,0,26,4,65.4,50.2,Match Report
1571,Mainz 05,2024-12-08,26,@,Wolfsburg,de Bundesliga,L 3-4,3,4,-1,56,3,0,0,0,26,4,46.2,40.7,Match Report
1572,Leicester City,2025-01-18,26,,Fulham,eng Premier League,L 0-2,0,2,-2,40,0,0,0,0,26,3,65.4,40.9,Match Report
1573,Empoli,2024-10-06,26,@,Lazio,it Serie A,L 1-2,1,2,-1,42,1,0,0,0,26,4,38.5,41.5,Match Report
1574,Espanyol,2025-03-10,26,,Girona,es La Liga,D 1-1,1,1,0,33,1,0,0,0,26,3,53.8,42.3,Match Report
1575,Espanyol,2024-12-22,26,@,Las Palmas,es La Liga,L 0-1,0,1,-1,43,0,0,0,0,26,8,30.8,31.7,Match Report
1576,Espanyol,2024-12-18,26,,Valencia,es La Liga,D 1-1,1,1,0,46,1,0,0,0,26,4,19.2,30.6,Match Report
1577,Sevilla,2024-12-22,26,@,Real Madrid,es La Liga,L 2-4,2,4,-2,41,2,0,0,0,26,5,42.3,37.7,Match Report
1578,Dortmund,2025-03-08,26,,Augsburg,de Bundesliga,L 0-1,0,1,-1,71,0,0,0,0,26,4,3.8,20.0,Match Report
1579,Venezia,2025-03-16,26,,Napoli,it Serie A,D 0-0,0,0,0,43,0,0,0,0,26,2,96.2,65.9,Match Report
1580,Venezia,2025-02-17,26,@,Genoa,it Serie A,L 0-2,0,2,-2,49,0,0,0,0,26,3,50.0,43.3,Match Report
1581,Newcastle Utd,2024-11-25,26,,West Ham,eng Premier League,L 0-2,0,2,-2,53,0,0,0,0,26,9,15.4,26.5,Match Report
1582,Ipswich Town,2024-11-30,26,@,Nott'ham Forest,eng Premier League,L 0-1,0,1,-1,55,0,0,0,0,26,8,23.1,27.0,Match Report
1583,Ipswich Town,2024-10-26,26,@,Brentford,eng Premier League,L 3-4,3,4,-1,35,3,0,0,0,26,5,57.7,41.0,Match Report
1584,Ipswich Town,2024-10-05,26,@,West Ham,eng Premier League,L 1-4,1,4,-3,48,1,0,0,0,26,9,23.1,27.9,Match Report
1585,Cagliari,2025-02-23,26,,Juventus,it Serie A,L 0-1,0,1,-1,40,0,0,0,0,26,4,50.0,38.6,Match Report
1586,Cagliari,2024-11-04,26,@,Lazio,it Serie A,L 1-2,1,2,-1,46,1,0,0,0,26,5,34.6,33.8,Match Report
1587,Leverkusen,2024-12-14,26,@,Augsburg,de Bundesliga,W 2-0,2,0,+2,65,2,0,0,0,26,2,23.1,31.3,Match Report
1588,Lille,2024-11-24,26,,Rennes,fr Ligue 1,W 1-0,1,0,+1,52,1,0,0,0,26,2,50.0,41.7,Match Report
1589,Roma,2024-12-29,26,@,Milan,it Serie A,D 1-1,1,1,0,54,1,0,0,0,26,6,11.5,27.1,Match Report
1590,Roma,2024-12-22,26,,Parma,it Serie A,W 5-0,5,0,+5,59,3,2,2,0,26,9,7.7,23.4,Match Report
1591,Chelsea,2024-10-06,26,,Nott'ham Forest,eng Premier League,D 1-1,1,1,0,65,1,0,0,0,26,8,26.9,27.8,Match Report
1592,Brighton,2024-10-06,26,,Tottenham,eng Premier League,W 3-2,3,2,+1,41,3,0,0,0,26,4,46.2,39.4,Match Report
1593,Saint-Étienne,2024-11-10,26,@,Lyon,fr Ligue 1,L 0-1,0,1,-1,38,0,0,0,0,26,8,38.5,37.1,Match Report
1594,Everton,2025-04-02,26,@,Liverpool,eng Premier League,L 0-1,0,1,-1,27,0,0,0,0,26,5,53.8,43.0,Match Report
1595,Everton,2024-11-23,26,,Brentford,eng Premier League,D 0-0,0,0,0,59,0,0,0,0,26,7,19.2,31.0,Match Report
1596,Everton,2024-11-02,26,@,Southampton,eng Premier League,L 0-1,0,1,-1,35,0,0,0,0,26,3,50.0,38.7,Match Report
