Rk,Team,Date,Att,,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Att,Launch%,AvgLen,Match Report
1490,Napoli,2024-08-31,7,,Parma,it Serie A,W 2-1,2,1,+1,55,2,0,0,0,7,28.6,37.3,Match Report
1491,Lyon,2025-03-02,7,,Brest,fr Ligue 1,W 2-1,2,1,+1,66,2,0,0,0,7,42.9,34.6,Match Report
1492,Lyon,2025-01-04,7,,Montpellier,fr Ligue 1,W 1-0,1,0,+1,57,0,0,0,0,7,0.0,14.6,Match Report
1493,Lyon,2024-11-23,7,@,Reims,fr Ligue 1,D 1-1,1,1,0,59,1,0,0,0,7,0.0,17.6,Match Report
1494,Inter,2025-03-16,7,@,Atalanta,it Serie A,W 2-0,2,0,+2,51,2,0,0,0,7,71.4,45.6,Match Report
1495,Inter,2025-02-22,7,,Genoa,it Serie A,W 1-0,1,0,+1,62,1,0,0,0,7,28.6,23.1,Match Report
1496,Inter,2025-01-15,7,,Bologna,it Serie A,D 2-2,2,2,0,48,2,0,0,0,7,14.3,20.7,Match Report
1497,Nantes,2025-03-30,7,@,Le Havre,fr Ligue 1,L 2-3,2,3,-1,48,2,0,0,0,7,14.3,15.7,Match Report
1498,Nantes,2025-02-07,7,,Brest,fr Ligue 1,L 0-2,0,2,-2,58,0,0,0,0,7,28.6,31.1,Match Report
1499,Nantes,2025-01-26,7,,Lyon,fr Ligue 1,D 1-1,1,1,0,38,1,0,0,0,7,14.3,16.1,Match Report
1500,Nantes,2024-11-09,7,@,Lens,fr Ligue 1,L 2-3,2,3,-1,33,1,1,1,0,7,71.4,52.3,Match Report
1501,Nantes,2024-10-06,7,@,Lyon,fr Ligue 1,L 0-2,0,2,-2,39,0,0,0,0,7,42.9,43.6,Match Report
1502,Nantes,2024-08-25,7,,Auxerre,fr Ligue 1,W 2-0,2,0,+2,36,2,0,0,0,7,42.9,41.0,Match Report
1503,Nantes,2024-08-18,7,@,Toulouse,fr Ligue 1,D 0-0,0,0,0,46,0,0,0,0,7,85.7,56.7,Match Report
1504,Atlético Madrid,2024-12-15,7,,Getafe,es La Liga,W 1-0,1,0,+1,57,1,0,0,0,7,57.1,43.6,Match Report
1505,Milan,2025-01-11,7,,Cagliari,it Serie A,D 1-1,1,1,0,68,1,0,0,0,7,0.0,28.1,Match Report
1506,Milan,2024-12-06,7,@,Atalanta,it Serie A,L 1-2,1,2,-1,48,1,0,0,0,7,14.3,22.4,Match Report
1507,Milan,2024-11-30,7,,Empoli,it Serie A,W 3-0,3,0,+3,55,3,0,0,0,7,14.3,20.9,Match Report
1508,Milan,2024-11-09,7,@,Cagliari,it Serie A,D 3-3,3,3,0,55,3,0,0,0,7,28.6,27.7,Match Report
1509,Valencia,2025-03-08,7,,Valladolid,es La Liga,W 2-1,2,1,+1,62,2,0,0,0,7,71.4,51.6,Match Report
1510,Valencia,2024-12-07,7,,Rayo Vallecano,es La Liga,L 0-1,0,1,-1,60,0,0,0,0,7,14.3,25.7,Match Report
1511,Valencia,2024-09-21,7,,Girona,es La Liga,W 2-0,2,0,+2,33,2,0,0,0,7,57.1,38.9,Match Report
1512,Valencia,2024-08-31,7,,Villarreal,es La Liga,D 1-1,1,1,0,58,1,0,0,0,7,57.1,42.6,Match Report
1513,Juventus,2025-02-02,7,,Empoli,it Serie A,W 4-1,4,1,+3,55,4,0,0,0,7,14.3,24.0,Match Report
1514,Juventus,2024-11-23,7,@,Milan,it Serie A,D 0-0,0,0,0,56,0,0,0,0,7,42.9,30.1,Match Report
1515,Juventus,2024-10-30,7,,Parma,it Serie A,D 2-2,2,2,0,61,2,0,0,0,7,0.0,18.1,Match Report
1516,Juventus,2024-10-06,7,,Cagliari,it Serie A,D 1-1,1,1,0,73,0,1,1,0,7,14.3,18.1,Match Report
1517,Juventus,2024-08-19,7,,Como,it Serie A,W 3-0,3,0,+3,57,3,0,0,0,7,42.9,37.3,Match Report
1518,Paris S-G,2025-03-16,7,,Marseille,fr Ligue 1,W 3-1,3,1,+2,60,2,0,0,0,7,71.4,46.0,Match Report
1519,Paris S-G,2024-12-18,7,@,Monaco,fr Ligue 1,W 4-2,4,2,+2,60,4,0,0,0,7,57.1,41.3,Match Report
1520,Paris S-G,2024-11-09,7,@,Angers,fr Ligue 1,W 4-2,4,2,+2,70,4,0,0,0,7,0.0,14.9,Match Report
1521,Paris S-G,2024-08-23,7,,Montpellier,fr Ligue 1,W 6-0,6,0,+6,68,6,0,0,0,7,42.9,28.1,Match Report
1522,Real Sociedad,2025-04-06,7,@,Las Palmas,es La Liga,W 3-1,3,1,+2,49,3,0,0,0,7,85.7,57.7,Match Report
1523,Real Sociedad,2024-12-21,7,@,Celta Vigo,es La Liga,L 0-2,0,2,-2,58,0,0,0,0,7,57.1,45.6,Match Report
1524,Real Sociedad,2024-12-01,7,,Betis,es La Liga,W 2-0,2,0,+2,41,0,1,1,0,7,85.7,57.9,Match Report
1525,Real Sociedad,2024-11-24,7,@,Athletic Club,es La Liga,L 0-1,0,1,-1,59,0,0,0,0,7,28.6,38.6,Match Report
1526,Real Sociedad,2024-11-10,7,,Barcelona,es La Liga,W 1-0,1,0,+1,31,1,0,0,0,7,57.1,43.6,Match Report
1527,Nott'ham Forest,2025-02-26,7,,Arsenal,eng Premier League,D 0-0,0,0,0,36,0,0,0,0,7,85.7,58.3,Match Report
1528,Nott'ham Forest,2025-02-01,7,,Brighton,eng Premier League,W 7-0,7,0,+7,38,5,1,1,0,7,85.7,60.0,Match Report
1529,Nott'ham Forest,2024-08-31,7,,Wolves,eng Premier League,D 1-1,1,1,0,52,1,0,0,0,7,0.0,9.6,Match Report
1530,Parma,2025-03-15,7,@,Monza,it Serie A,D 1-1,1,1,0,55,1,0,0,0,7,0.0,15.3,Match Report
1531,Parma,2025-02-16,7,,Roma,it Serie A,L 0-1,0,1,-1,29,0,0,0,0,7,85.7,64.1,Match Report
1532,Parma,2024-11-09,7,@,Venezia,it Serie A,W 2-1,2,1,+1,33,2,0,0,0,7,57.1,46.9,Match Report
1533,Eint Frankfurt,2025-03-16,7,@,Bochum,de Bundesliga,W 3-1,3,1,+2,49,3,0,0,0,7,57.1,36.9,Match Report
1534,Eint Frankfurt,2024-12-01,7,@,Heidenheim,de Bundesliga,W 4-0,4,0,+4,54,4,0,0,0,7,28.6,31.9,Match Report
1535,Eint Frankfurt,2024-10-06,7,,Bayern Munich,de Bundesliga,D 3-3,3,3,0,26,3,0,0,0,7,14.3,20.3,Match Report
1536,Celta Vigo,2025-02-08,7,,Betis,es La Liga,W 3-2,3,2,+1,55,3,0,0,0,7,42.9,38.0,Match Report
1537,Celta Vigo,2024-08-23,7,,Valencia,es La Liga,W 3-1,3,1,+2,49,3,0,1,1,7,28.6,30.0,Match Report
1538,Brest,2025-03-09,7,,Angers,fr Ligue 1,W 2-0,2,0,+2,50,2,0,0,0,7,57.1,45.0,Match Report
1539,Brest,2025-02-23,7,@,Strasbourg,fr Ligue 1,D 0-0,0,0,0,43,0,0,0,0,7,14.3,25.3,Match Report
1540,Brest,2025-02-01,7,,Paris S-G,fr Ligue 1,L 2-5,2,5,-3,35,2,0,0,0,7,42.9,32.3,Match Report
1541,Brest,2025-01-11,7,,Lyon,fr Ligue 1,W 2-1,2,1,+1,33,2,0,0,0,7,100.0,63.0,Match Report
1542,Brest,2024-08-31,7,,Saint-Étienne,fr Ligue 1,W 4-0,4,0,+4,47,2,2,2,0,7,100.0,66.6,Match Report
1543,Brest,2024-08-25,7,@,Lens,fr Ligue 1,L 0-2,0,2,-2,48,0,0,0,0,7,71.4,47.9,Match Report
1544,Betis,2025-03-09,7,,Las Palmas,es La Liga,W 1-0,1,0,+1,67,1,0,1,1,7,42.9,42.4,Match Report
1545,Betis,2025-01-11,7,@,Valladolid,es La Liga,L 0-1,0,1,-1,58,0,0,0,0,7,42.9,35.3,Match Report
1546,Betis,2024-11-03,7,@,Athletic Club,es La Liga,D 1-1,1,1,0,50,1,0,0,0,7,71.4,46.4,Match Report
1547,Betis,2024-09-26,7,@,Las Palmas,es La Liga,D 1-1,1,1,0,45,1,0,0,0,7,14.3,20.0,Match Report
1548,Lens,2025-02-23,7,@,Nantes,fr Ligue 1,L 1-3,1,3,-2,65,0,1,1,0,7,14.3,18.1,Match Report
1549,Lens,2025-02-08,7,@,Nice,fr Ligue 1,L 0-2,0,2,-2,40,0,0,0,0,7,28.6,25.9,Match Report
1550,Lens,2024-11-29,7,@,Reims,fr Ligue 1,W 2-0,2,0,+2,48,2,0,0,0,7,28.6,30.4,Match Report
1551,Lens,2024-11-09,7,,Nantes,fr Ligue 1,W 3-2,3,2,+1,67,2,1,1,0,7,42.9,34.3,Match Report
1552,Monaco,2025-03-29,7,,Nice,fr Ligue 1,W 2-1,2,1,+1,58,2,0,1,1,7,71.4,48.3,Match Report
1553,Monaco,2025-03-07,7,@,Toulouse,fr Ligue 1,D 1-1,1,1,0,50,1,0,0,0,7,28.6,25.7,Match Report
1554,Monaco,2024-12-07,7,,Toulouse,fr Ligue 1,W 2-0,2,0,+2,58,2,0,0,0,7,14.3,26.6,Match Report
1555,Monaco,2024-12-01,7,@,Marseille,fr Ligue 1,L 1-2,1,2,-1,37,1,0,0,0,7,42.9,35.4,Match Report
1556,Monaco,2024-10-18,7,,Lille,fr Ligue 1,D 0-0,0,0,0,52,0,0,0,0,7,28.6,29.1,Match Report
1557,Monaco,2024-08-24,7,@,Lyon,fr Ligue 1,W 2-0,2,0,+2,60,2,0,0,0,7,28.6,28.9,Match Report
1558,Fulham,2025-04-06,7,,Liverpool,eng Premier League,W 3-2,3,2,+1,37,3,0,0,0,7,28.6,29.4,Match Report
1559,Fulham,2025-03-16,7,,Tottenham,eng Premier League,W 2-0,2,0,+2,57,2,0,0,0,7,28.6,27.6,Match Report
1560,Fulham,2025-03-08,7,@,Brighton,eng Premier League,L 1-2,1,2,-1,47,1,0,0,0,7,28.6,25.6,Match Report
1561,Fulham,2025-02-01,7,@,Newcastle Utd,eng Premier League,W 2-1,2,1,+1,51,2,0,0,0,7,28.6,34.4,Match Report
1562,Fulham,2024-08-31,7,@,Ipswich Town,eng Premier League,D 1-1,1,1,0,52,1,0,0,0,7,57.1,46.6,Match Report
1563,Lecce,2025-04-06,7,,Venezia,it Serie A,D 1-1,1,1,0,50,1,0,0,0,7,14.3,20.9,Match Report
1564,Lecce,2025-02-28,7,@,Fiorentina,it Serie A,L 0-1,0,1,-1,52,0,0,0,0,7,28.6,30.9,Match Report
1565,Lecce,2025-02-21,7,,Udinese,it Serie A,L 0-1,0,1,-1,45,0,0,0,0,7,0.0,7.3,Match Report
1566,Lecce,2024-12-01,7,,Juventus,it Serie A,D 1-1,1,1,0,39,1,0,0,0,7,0.0,8.6,Match Report
1567,Lecce,2024-10-29,7,,Hellas Verona,it Serie A,W 1-0,1,0,+1,58,1,0,0,0,7,14.3,22.3,Match Report
1568,Lecce,2024-08-24,7,@,Inter,it Serie A,L 0-2,0,2,-2,39,0,0,0,0,7,14.3,17.4,Match Report
1569,Las Palmas,2025-03-31,6,@,Celta Vigo,es La Liga,D 1-1,1,1,0,39,1,0,0,0,6,16.7,20.3,Match Report
1570,Las Palmas,2024-11-23,6,,Mallorca,es La Liga,L 2-3,2,3,-1,61,1,1,1,0,6,0.0,13.5,Match Report
1571,Hoffenheim,2025-03-14,6,@,St. Pauli,de Bundesliga,L 0-1,0,1,-1,56,0,0,0,0,6,66.7,41.8,Match Report
1572,Hoffenheim,2025-01-26,6,,Eint Frankfurt,de Bundesliga,D 2-2,2,2,0,51,2,0,0,0,6,0.0,21.5,Match Report
1573,Hoffenheim,2025-01-15,6,@,Bayern Munich,de Bundesliga,L 0-5,0,5,-5,35,0,0,0,0,6,33.3,22.3,Match Report
1574,Hoffenheim,2024-12-15,6,@,Dortmund,de Bundesliga,D 1-1,1,1,0,46,1,0,0,0,6,50.0,37.5,Match Report
1575,Hoffenheim,2024-11-23,6,,RB Leipzig,de Bundesliga,W 4-3,4,3,+1,59,4,0,0,0,6,66.7,56.3,Match Report
1576,Osasuna,2025-01-24,6,@,Las Palmas,es La Liga,D 1-1,1,1,0,49,1,0,0,0,6,50.0,38.3,Match Report
1577,Osasuna,2024-10-19,6,,Betis,es La Liga,L 1-2,1,2,-1,55,1,0,0,0,6,33.3,36.0,Match Report
1578,Osasuna,2024-09-28,6,,Barcelona,es La Liga,W 4-2,4,2,+2,27,3,1,1,0,6,100.0,68.3,Match Report
1579,Udinese,2025-01-11,6,,Atalanta,it Serie A,D 0-0,0,0,0,46,0,0,0,0,6,33.3,28.3,Match Report
1580,Udinese,2024-12-29,6,,Torino,it Serie A,D 2-2,2,2,0,44,2,0,0,0,6,33.3,30.7,Match Report
1581,Udinese,2024-11-10,6,@,Atalanta,it Serie A,L 1-2,1,2,-1,46,1,0,0,0,6,50.0,46.0,Match Report
1582,Bayern Munich,2025-03-29,6,,St. Pauli,de Bundesliga,W 3-2,3,2,+1,65,3,0,0,0,6,50.0,49.7,Match Report
1583,Bayern Munich,2025-02-23,6,,Eint Frankfurt,de Bundesliga,W 4-0,4,0,+4,63,4,0,0,0,6,33.3,34.0,Match Report
1584,Bayern Munich,2025-01-18,6,,Wolfsburg,de Bundesliga,W 3-2,3,2,+1,71,3,0,0,0,6,33.3,28.7,Match Report
1585,Bayern Munich,2025-01-15,6,,Hoffenheim,de Bundesliga,W 5-0,5,0,+5,65,4,1,1,0,6,33.3,29.2,Match Report
1586,Augsburg,2025-03-02,6,,Freiburg,de Bundesliga,D 0-0,0,0,0,51,0,0,0,0,6,0.0,10.3,Match Report
1587,Augsburg,2025-02-14,6,,RB Leipzig,de Bundesliga,D 0-0,0,0,0,39,0,0,0,0,6,50.0,37.8,Match Report
1588,Augsburg,2025-02-08,6,@,Mainz 05,de Bundesliga,D 0-0,0,0,0,34,0,0,0,0,6,83.3,56.0,Match Report
1589,Augsburg,2025-01-25,6,,Heidenheim,de Bundesliga,W 2-1,2,1,+1,60,2,0,0,0,6,16.7,22.5,Match Report
1590,Augsburg,2024-11-30,6,,Bochum,de Bundesliga,W 1-0,1,0,+1,52,0,1,1,0,6,50.0,44.0,Match Report
1591,Augsburg,2024-10-26,6,,Dortmund,de Bundesliga,W 2-1,2,1,+1,25,2,0,0,0,6,100.0,66.0,Match Report
1592,Augsburg,2024-09-28,6,@,RB Leipzig,de Bundesliga,L 0-4,0,4,-4,41,0,0,1,1,6,66.7,46.5,Match Report
1593,Hellas Verona,2025-02-08,6,,Atalanta,it Serie A,L 0-5,0,5,-5,38,0,0,0,0,6,100.0,68.3,Match Report
1594,Hellas Verona,2025-02-01,6,@,Monza,it Serie A,W 1-0,1,0,+1,34,0,0,0,0,6,100.0,61.5,Match Report
1595,Hellas Verona,2024-12-30,6,@,Bologna,it Serie A,W 3-2,3,2,+1,33,2,0,0,0,6,83.3,52.0,Match Report
1596,Hellas Verona,2024-10-21,6,,Monza,it Serie A,L 0-3,0,3,-3,59,0,0,0,0,6,100.0,58.0,Match Report
1597,Torino,2025-03-08,6,@,Parma,it Serie A,D 2-2,2,2,0,47,2,0,0,0,6,66.7,52.8,Match Report
1598,Torino,2025-02-08,6,,Genoa,it Serie A,D 1-1,1,1,0,57,0,0,0,0,6,50.0,41.0,Match Report
1599,Torino,2024-12-29,6,@,Udinese,it Serie A,D 2-2,2,2,0,56,2,0,0,0,6,50.0,48.0,Match Report
1600,Torino,2024-12-21,6,,Bologna,it Serie A,L 0-2,0,2,-2,42,0,0,0,0,6,33.3,34.2,Match Report
1601,Torino,2024-12-13,6,@,Empoli,it Serie A,W 1-0,1,0,+1,41,1,0,0,0,6,83.3,55.7,Match Report
1602,Torino,2024-11-24,6,,Monza,it Serie A,D 1-1,1,1,0,54,1,0,0,0,6,33.3,34.7,Match Report
1603,Torino,2024-11-09,6,@,Juventus,it Serie A,L 0-2,0,2,-2,46,0,0,0,0,6,16.7,25.8,Match Report
1604,Torino,2024-10-31,6,@,Roma,it Serie A,L 0-1,0,1,-1,43,0,0,0,0,6,16.7,32.0,Match Report
1605,Torino,2024-09-29,6,,Lazio,it Serie A,L 2-3,2,3,-1,57,2,0,0,0,6,50.0,42.0,Match Report
1606,Nice,2024-12-15,6,@,Montpellier,fr Ligue 1,D 2-2,2,2,0,48,2,0,0,0,6,50.0,38.0,Match Report
1607,Nice,2024-11-10,6,,Lille,fr Ligue 1,D 2-2,2,2,0,43,2,0,0,0,6,16.7,23.2,Match Report
1608,Nice,2024-09-20,6,,Saint-Étienne,fr Ligue 1,W 8-0,8,0,+8,59,6,1,1,0,6,0.0,13.0,Match Report
1609,Nice,2024-08-25,6,,Toulouse,fr Ligue 1,D 1-1,1,1,0,57,1,0,0,0,6,50.0,38.2,Match Report
1610,Valladolid,2025-03-29,6,@,Real Sociedad,es La Liga,L 1-2,1,2,-1,45,1,0,0,0,6,33.3,34.0,Match Report
1611,Valladolid,2024-08-28,6,,Leganés,es La Liga,D 0-0,0,0,0,58,0,0,0,0,6,0.0,20.5,Match Report
1612,Valladolid,2024-08-25,6,@,Real Madrid,es La Liga,L 0-3,0,3,-3,37,0,0,0,0,6,33.3,31.5,Match Report
1613,Arsenal,2025-04-05,6,@,Everton,eng Premier League,D 1-1,1,1,0,69,1,0,0,0,6,33.3,28.3,Match Report
1614,Arsenal,2025-02-22,6,,West Ham,eng Premier League,L 0-1,0,1,-1,68,0,0,0,0,6,0.0,12.0,Match Report
1615,Arsenal,2025-01-01,6,@,Brentford,eng Premier League,W 3-1,3,1,+2,50,3,0,0,0,6,66.7,47.5,Match Report
1616,Arsenal,2024-11-23,6,,Nott'ham Forest,eng Premier League,W 3-0,3,0,+3,66,3,0,0,0,6,16.7,25.8,Match Report
1617,Arsenal,2024-10-27,6,,Liverpool,eng Premier League,D 2-2,2,2,0,45,2,0,0,0,6,33.3,28.3,Match Report
1618,Arsenal,2024-08-24,6,@,Aston Villa,eng Premier League,W 2-0,2,0,+2,60,2,0,0,0,6,33.3,26.2,Match Report
1619,Arsenal,2024-08-17,6,,Wolves,eng Premier League,W 2-0,2,0,+2,53,2,0,0,0,6,83.3,55.5,Match Report
1620,Heidenheim,2025-01-18,6,,St. Pauli,de Bundesliga,L 0-2,0,2,-2,60,0,0,0,0,6,0.0,25.5,Match Report
1621,Heidenheim,2025-01-15,6,@,Werder Bremen,de Bundesliga,D 3-3,3,3,0,48,3,0,0,0,6,50.0,40.8,Match Report
1622,Heidenheim,2024-12-15,6,,Stuttgart,de Bundesliga,L 1-3,1,3,-2,34,1,0,0,0,6,83.3,58.7,Match Report
1623,Heidenheim,2024-11-02,6,@,Holstein Kiel,de Bundesliga,L 0-1,0,1,-1,55,0,0,0,0,6,16.7,26.7,Match Report
1624,Heidenheim,2024-10-19,6,@,Gladbach,de Bundesliga,L 2-3,2,3,-1,34,1,1,1,0,6,33.3,38.7,Match Report
1625,Heidenheim,2024-09-13,6,@,Dortmund,de Bundesliga,L 2-4,2,4,-2,40,1,1,1,0,6,50.0,39.5,Match Report
1626,Manchester Utd,2025-02-16,6,@,Tottenham,eng Premier League,L 0-1,0,1,-1,45,0,0,0,0,6,33.3,29.7,Match Report
1627,Manchester Utd,2025-01-16,6,,Southampton,eng Premier League,W 3-1,3,1,+2,60,3,0,0,0,6,50.0,38.3,Match Report
1628,Manchester Utd,2024-12-26,6,@,Wolves,eng Premier League,L 0-2,0,2,-2,49,0,0,0,0,6,33.3,26.0,Match Report
1629,Manchester Utd,2024-12-15,6,@,Manchester City,eng Premier League,W 2-1,2,1,+1,48,1,1,1,0,6,16.7,28.8,Match Report
1630,Manchester Utd,2024-10-27,6,@,West Ham,eng Premier League,L 1-2,1,2,-1,58,1,0,0,0,6,16.7,28.0,Match Report
1631,Manchester Utd,2024-08-16,6,,Fulham,eng Premier League,W 1-0,1,0,+1,55,1,0,0,0,6,0.0,8.5,Match Report
1632,Bologna,2024-10-29,6,@,Cagliari,it Serie A,W 2-0,2,0,+2,58,2,0,0,0,6,50.0,41.7,Match Report
1633,Barcelona,2025-02-22,6,@,Las Palmas,es La Liga,W 2-0,2,0,+2,69,2,0,0,0,6,16.7,25.5,Match Report
1634,Barcelona,2024-08-24,6,,Athletic Club,es La Liga,W 2-1,2,1,+1,64,2,0,0,0,6,16.7,20.8,Match Report
1635,Monza,2025-03-15,6,,Parma,it Serie A,D 1-1,1,1,0,45,1,0,0,0,6,16.7,25.5,Match Report
1636,Monza,2025-01-18,6,@,Bologna,it Serie A,L 1-3,1,3,-2,42,1,0,0,0,6,33.3,28.8,Match Report
1637,Monza,2024-11-30,6,@,Como,it Serie A,D 1-1,1,1,0,45,0,1,1,0,6,33.3,38.5,Match Report
1638,Monza,2024-11-24,6,@,Torino,it Serie A,D 1-1,1,1,0,46,1,0,0,0,6,50.0,35.5,Match Report
1639,Montpellier,2024-12-15,6,,Nice,fr Ligue 1,D 2-2,2,2,0,52,2,0,0,0,6,33.3,34.8,Match Report
1640,Montpellier,2024-11-23,6,@,Saint-Étienne,fr Ligue 1,L 0-1,0,1,-1,67,0,0,0,0,6,16.7,33.8,Match Report
1641,Montpellier,2024-11-03,6,@,Le Havre,fr Ligue 1,L 0-1,0,1,-1,52,0,0,0,0,6,16.7,22.2,Match Report
1642,Montpellier,2024-08-31,6,,Nantes,fr Ligue 1,L 1-3,1,3,-2,69,1,0,0,0,6,16.7,19.5,Match Report
1643,Como,2024-12-23,6,@,Inter,it Serie A,L 0-2,0,2,-2,38,0,0,0,0,6,16.7,12.5,Match Report
1644,Como,2024-11-30,6,,Monza,it Serie A,D 1-1,1,1,0,55,1,0,0,0,6,16.7,21.3,Match Report
1645,Como,2024-09-24,6,@,Atalanta,it Serie A,W 3-2,3,2,+1,41,2,0,0,0,6,33.3,32.7,Match Report
1646,Como,2024-08-26,6,@,Cagliari,it Serie A,D 1-1,1,1,0,53,1,0,0,0,6,33.3,25.2,Match Report
1647,Villarreal,2025-03-30,6,@,Getafe,es La Liga,W 2-1,2,1,+1,45,2,0,0,0,6,66.7,45.2,Match Report
1648,Villarreal,2025-03-08,6,@,Alavés,es La Liga,L 0-1,0,1,-1,68,0,0,0,0,6,16.7,20.5,Match Report
1649,Villarreal,2024-12-01,6,,Girona,es La Liga,D 2-2,2,2,0,36,2,0,0,0,6,33.3,24.8,Match Report
1650,Villarreal,2024-11-24,6,@,Osasuna,es La Liga,D 2-2,2,2,0,59,1,1,1,0,6,33.3,32.8,Match Report
1651,Villarreal,2024-10-26,6,@,Valladolid,es La Liga,W 2-1,2,1,+1,55,2,0,0,0,6,16.7,25.3,Match Report
1652,Mallorca,2024-12-06,6,@,Celta Vigo,es La Liga,L 0-2,0,2,-2,50,0,0,0,0,6,66.7,48.0,Match Report
1653,Mallorca,2024-11-10,6,,Atlético Madrid,es La Liga,L 0-1,0,1,-1,53,0,0,0,0,6,33.3,35.2,Match Report
1654,Mallorca,2024-11-01,6,@,Alavés,es La Liga,L 0-1,0,1,-1,49,0,0,0,0,6,50.0,38.3,Match Report
1655,Mallorca,2024-09-23,6,@,Betis,es La Liga,W 2-1,2,1,+1,39,2,0,0,0,6,33.3,30.7,Match Report
1656,Holstein Kiel,2025-03-16,6,@,Heidenheim,de Bundesliga,L 1-3,1,3,-2,61,1,0,0,0,6,33.3,30.2,Match Report
1657,Athletic Club,2025-02-16,6,@,Espanyol,es La Liga,D 1-1,1,1,0,61,1,0,0,0,6,83.3,58.8,Match Report
1658,Athletic Club,2024-12-08,6,,Villarreal,es La Liga,W 2-0,2,0,+2,42,2,0,0,0,6,83.3,56.3,Match Report
1659,Athletic Club,2024-12-04,6,,Real Madrid,es La Liga,W 2-1,2,1,+1,37,2,0,0,0,6,66.7,50.5,Match Report
1660,Athletic Club,2024-12-01,6,@,Rayo Vallecano,es La Liga,W 2-1,2,1,+1,52,2,0,0,0,6,50.0,43.3,Match Report
1661,Gladbach,2025-02-08,6,,Eint Frankfurt,de Bundesliga,D 1-1,1,1,0,53,1,0,0,0,6,33.3,32.5,Match Report
1662,Gladbach,2024-09-21,6,@,Eint Frankfurt,de Bundesliga,L 0-2,0,2,-2,63,0,0,0,0,6,0.0,13.8,Match Report
1663,Southampton,2025-01-25,6,,Newcastle Utd,eng Premier League,L 1-3,1,3,-2,53,1,0,0,0,6,100.0,65.7,Match Report
1664,Southampton,2025-01-19,6,@,Nott'ham Forest,eng Premier League,L 2-3,2,3,-1,55,2,0,0,0,6,100.0,66.7,Match Report
1665,Southampton,2025-01-04,6,,Brentford,eng Premier League,L 0-5,0,5,-5,50,0,0,0,0,6,83.3,58.0,Match Report
1666,Southampton,2024-12-15,6,,Tottenham,eng Premier League,L 0-5,0,5,-5,42,0,0,0,0,6,33.3,28.5,Match Report
1667,Southampton,2024-09-30,6,@,Bournemouth,eng Premier League,L 1-3,1,3,-2,60,1,0,0,0,6,0.0,7.8,Match Report
1668,Tottenham,2025-03-16,6,@,Fulham,eng Premier League,L 0-2,0,2,-2,43,0,0,0,0,6,16.7,17.7,Match Report
1669,Tottenham,2025-03-09,6,,Bournemouth,eng Premier League,D 2-2,2,2,0,61,1,1,1,0,6,0.0,15.0,Match Report
1670,Tottenham,2024-12-29,6,,Wolves,eng Premier League,D 2-2,2,2,0,48,2,0,1,1,6,0.0,8.0,Match Report
1671,Tottenham,2024-12-08,6,,Chelsea,eng Premier League,L 3-4,3,4,-1,39,3,0,0,0,6,0.0,12.5,Match Report
1672,Tottenham,2024-10-06,6,@,Brighton,eng Premier League,L 2-3,2,3,-1,59,2,0,0,0,6,0.0,11.3,Match Report
1673,Tottenham,2024-08-19,6,@,Leicester City,eng Premier League,D 1-1,1,1,0,70,1,0,0,0,6,0.0,11.2,Match Report
1674,Toulouse,2025-01-12,6,,Strasbourg,fr Ligue 1,L 1-2,1,2,-1,53,0,0,0,0,6,0.0,18.7,Match Report
1675,Toulouse,2024-12-01,6,,Auxerre,fr Ligue 1,W 2-0,2,0,+2,52,1,1,1,0,6,66.7,50.0,Match Report
1676,Fiorentina,2025-02-16,6,,Como,it Serie A,L 0-2,0,2,-2,51,0,0,0,0,6,0.0,15.5,Match Report
1677,Fiorentina,2024-12-08,6,,Cagliari,it Serie A,W 1-0,1,0,+1,49,1,0,0,0,6,66.7,51.8,Match Report
1678,Fiorentina,2024-09-29,6,@,Empoli,it Serie A,D 0-0,0,0,0,62,0,0,0,0,6,50.0,46.0,Match Report
1679,Crystal Palace,2025-02-15,6,,Everton,eng Premier League,L 1-2,1,2,-1,58,1,0,0,0,6,0.0,18.0,Match Report
1680,Crystal Palace,2025-01-18,6,@,West Ham,eng Premier League,W 2-0,2,0,+2,47,1,1,1,0,6,50.0,40.8,Match Report
1681,Crystal Palace,2024-10-21,6,@,Nott'ham Forest,eng Premier League,L 0-1,0,1,-1,49,0,0,0,0,6,0.0,17.7,Match Report
1682,Bournemouth,2025-04-05,6,@,West Ham,eng Premier League,D 2-2,2,2,0,44,2,0,0,0,6,33.3,30.0,Match Report
1683,Bournemouth,2025-04-02,6,,Ipswich Town,eng Premier League,L 1-2,1,2,-1,63,1,0,0,0,6,0.0,17.0,Match Report
1684,Bournemouth,2024-12-26,6,,Crystal Palace,eng Premier League,D 0-0,0,0,0,52,0,0,0,0,6,33.3,37.0,Match Report
1685,Bournemouth,2024-11-23,6,,Brighton,eng Premier League,L 1-2,1,2,-1,55,1,0,0,0,6,16.7,36.2,Match Report
1686,Bournemouth,2024-11-09,6,@,Brentford,eng Premier League,L 2-3,2,3,-1,49,2,0,0,0,6,50.0,37.7,Match Report
1687,Bournemouth,2024-10-19,6,,Arsenal,eng Premier League,W 2-0,2,0,+2,49,1,1,1,0,6,66.7,45.0,Match Report
