Rk,Team,Date,Att,,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Att,Launch%,AvgLen,Match Report
41,Atlético Madrid,2025-03-16,16,,Barcelona,es La Liga,L 2-4,2,4,-2,35,2,0,0,0,16,62.5,46.0,Match Report
42,Atlético Madrid,2025-02-22,16,@,Valencia,es La Liga,W 3-0,3,0,+3,51,3,0,0,0,16,43.8,36.6,Match Report
43,Parma,2024-10-30,16,@,Juventus,it Serie A,D 2-2,2,2,0,39,2,0,0,0,16,25.0,29.3,Match Report
44,Celta Vigo,2024-10-05,16,@,Las Palmas,es La Liga,W 1-0,1,0,+1,40,1,0,0,0,16,75.0,53.9,Match Report
45,Brest,2024-09-22,16,,Toulouse,fr Ligue 1,W 2-0,2,0,+2,43,2,0,0,0,16,93.8,63.8,Match Report
46,Las Palmas,2025-02-28,15,@,Valladolid,es La Liga,D 1-1,1,1,0,36,1,0,0,0,15,93.3,68.5,Match Report
47,Las Palmas,2025-01-12,15,,Getafe,es La Liga,L 1-2,1,2,-1,63,1,0,1,1,15,26.7,32.3,Match Report
48,Udinese,2024-09-01,15,,Como,it Serie A,W 1-0,1,0,+1,44,1,0,0,0,15,26.7,25.2,Match Report
49,Heidenheim,2025-03-29,15,@,Wolfsburg,de Bundesliga,W 1-0,1,0,+1,39,0,1,1,0,15,80.0,59.8,Match Report
50,Heidenheim,2024-08-25,15,@,St. Pauli,de Bundesliga,W 2-0,2,0,+2,40,2,0,0,0,15,53.3,39.3,Match Report
51,Gladbach,2025-03-29,15,,RB Leipzig,de Bundesliga,W 1-0,1,0,+1,40,1,0,0,0,15,46.7,34.1,Match Report
52,Tottenham,2024-12-22,15,,Liverpool,eng Premier League,L 3-6,3,6,-3,52,3,0,0,0,15,6.7,16.3,Match Report
53,Fiorentina,2025-02-02,15,,Genoa,it Serie A,W 2-1,2,1,+1,41,2,0,0,0,15,73.3,50.7,Match Report
54,Lazio,2025-01-10,15,,Como,it Serie A,D 1-1,1,1,0,37,1,0,0,0,15,46.7,35.1,Match Report
55,Aston Villa,2025-02-19,15,,Liverpool,eng Premier League,D 2-2,2,2,0,52,2,0,0,0,15,46.7,36.8,Match Report
56,Alavés,2025-04-05,15,@,Girona,es La Liga,W 1-0,1,0,+1,36,1,0,0,0,15,100.0,68.7,Match Report
57,Empoli,2024-10-06,15,@,Lazio,it Serie A,L 1-2,1,2,-1,42,1,0,0,0,15,26.7,22.8,Match Report
58,Espanyol,2024-12-18,15,,Valencia,es La Liga,D 1-1,1,1,0,46,1,0,0,0,15,13.3,22.9,Match Report
59,Ipswich Town,2024-12-30,15,,Chelsea,eng Premier League,W 2-0,2,0,+2,24,1,1,1,0,15,86.7,54.4,Match Report
60,Ipswich Town,2024-11-10,15,@,Tottenham,eng Premier League,W 2-1,2,1,+1,34,2,0,0,0,15,93.3,61.7,Match Report
61,Lille,2024-10-18,15,@,Monaco,fr Ligue 1,D 0-0,0,0,0,48,0,0,0,0,15,33.3,27.3,Match Report
62,Brighton,2025-02-25,15,,Bournemouth,eng Premier League,W 2-1,2,1,+1,44,1,1,1,0,15,26.7,26.2,Match Report
63,Lyon,2024-08-24,15,,Monaco,fr Ligue 1,L 0-2,0,2,-2,40,0,0,0,0,15,6.7,21.9,Match Report
