Rk,Team,Date,Carries,,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Match Report
29,Lille,2025-03-08,625,,Montpellier,fr Ligue 1,W 1-0,1,0,+1,76,1,0,0,0,625,2683,1680,26,32,4,17,8,708,60,Match Report
30,Leverkusen,2024-11-09,622,@,Bochum,de Bundesliga,D 1-1,1,1,0,70,1,0,0,0,622,2962,1663,20,23,4,10,4,659,61,Match Report
31,Real Sociedad,2024-10-06,616,,Atlético Madrid,es La Liga,D 1-1,1,1,0,66,1,0,0,0,616,3191,1618,38,26,4,19,5,600,52,Match Report
32,Dortmund,2025-01-10,615,,Leverkusen,de Bundesliga,L 2-3,2,3,-1,70,1,1,1,0,615,3180,1452,23,12,6,16,7,640,43,Match Report
33,Paris S-G,2024-11-02,612,,Lens,fr Ligue 1,W 1-0,1,0,+1,68,1,0,0,0,612,3131,1592,30,25,19,18,9,655,42,Match Report
34,Paris S-G,2025-02-01,610,@,Brest,fr Ligue 1,W 5-2,5,2,+3,65,5,0,0,0,610,2505,1373,20,15,9,14,5,661,59,Match Report
35,Bayern Munich,2025-03-08,609,,Bochum,de Bundesliga,L 2-3,2,3,-1,73,2,0,1,1,609,2556,1393,18,15,1,16,15,690,58,Match Report
36,Lyon,2025-03-09,607,@,Nice,fr Ligue 1,W 2-0,2,0,+2,63,2,0,0,0,607,2092,906,16,16,4,11,8,611,27,Match Report
37,Marseille,2025-02-15,606,,Saint-Étienne,fr Ligue 1,W 5-1,5,1,+4,70,4,1,1,0,606,2372,1162,31,21,10,8,7,778,60,Match Report
38,Manchester City,2024-10-20,601,@,Wolves,eng Premier League,W 2-1,2,1,+1,77,2,0,0,0,601,3597,2182,65,42,23,10,14,681,100,Match Report
39,Manchester City,2024-09-22,601,,Arsenal,eng Premier League,D 2-2,2,2,0,77,2,0,0,0,601,3387,2010,59,38,17,10,7,658,54,Match Report
40,Atalanta,2025-02-01,600,,Torino,it Serie A,D 1-1,1,1,0,65,1,0,1,1,600,3266,1811,39,35,6,11,10,606,56,Match Report
41,Bayern Munich,2025-02-01,599,,Holstein Kiel,de Bundesliga,W 4-3,4,3,+1,71,4,0,0,0,599,2632,1362,34,17,14,13,10,710,62,Match Report
42,Marseille,2024-11-08,597,,Auxerre,fr Ligue 1,L 1-3,1,3,-2,74,0,1,1,0,597,3112,1808,33,13,6,15,11,613,68,Match Report
43,Juventus,2024-10-06,597,,Cagliari,it Serie A,D 1-1,1,1,0,73,0,1,1,0,597,3553,1980,33,22,9,12,4,671,52,Match Report
44,Werder Bremen,2025-01-19,595,,Augsburg,de Bundesliga,L 0-2,0,2,-2,71,0,0,0,0,595,2696,1399,29,17,5,18,9,623,59,Match Report
45,Manchester City,2024-12-07,594,@,Crystal Palace,eng Premier League,D 2-2,2,2,0,68,2,0,0,0,594,3383,1811,21,27,7,14,12,663,56,Match Report
46,Bayern Munich,2025-03-15,593,@,Union Berlin,de Bundesliga,D 1-1,1,1,0,80,1,0,0,0,593,3000,1666,27,28,5,18,6,680,93,Match Report
47,Leverkusen,2025-03-08,593,,Werder Bremen,de Bundesliga,L 0-2,0,2,-2,72,0,0,0,0,593,2818,1472,25,33,4,13,11,659,65,Match Report
48,Celta Vigo,2024-09-26,593,,Atlético Madrid,es La Liga,L 0-1,0,1,-1,58,0,0,0,0,593,2696,1537,26,17,3,12,8,607,58,Match Report
49,Aston Villa,2025-02-15,592,,Ipswich Town,eng Premier League,D 1-1,1,1,0,75,1,0,0,0,592,2755,1439,31,28,6,7,10,616,65,Match Report
50,Barcelona,2025-04-05,591,,Betis,es La Liga,D 1-1,1,1,0,73,1,0,0,0,591,2957,1590,26,20,7,17,6,680,75,Match Report
51,Liverpool,2025-01-25,591,,Ipswich Town,eng Premier League,W 4-1,4,1,+3,70,4,0,0,0,591,3074,1573,28,23,10,12,15,692,76,Match Report
52,Juventus,2024-12-14,591,,Venezia,it Serie A,D 2-2,2,2,0,69,1,1,1,0,591,3558,1692,30,18,9,15,3,648,39,Match Report
53,Paris S-G,2024-12-06,591,@,Auxerre,fr Ligue 1,D 0-0,0,0,0,73,0,0,0,0,591,3455,1983,31,21,5,12,10,633,71,Match Report
54,Barcelona,2025-03-02,588,,Real Sociedad,es La Liga,W 4-0,4,0,+4,76,4,0,0,0,588,2844,1460,29,25,13,13,7,703,69,Match Report
55,Bayern Munich,2024-09-28,586,,Leverkusen,de Bundesliga,D 1-1,1,1,0,69,1,0,0,0,586,3242,1554,26,22,3,15,6,663,57,Match Report
56,Dortmund,2024-08-24,586,,Eint Frankfurt,de Bundesliga,W 2-0,2,0,+2,69,2,0,0,0,586,2721,1415,30,25,8,11,8,673,58,Match Report
57,Chelsea,2024-12-30,585,@,Ipswich Town,eng Premier League,L 0-2,0,2,-2,76,0,0,0,0,585,3028,1697,26,23,7,15,10,675,68,Match Report
58,Nice,2024-09-20,583,,Saint-Étienne,fr Ligue 1,W 8-0,8,0,+8,59,6,1,1,0,583,2713,1407,20,12,6,14,5,632,33,Match Report
59,Real Madrid,2024-09-24,583,,Alavés,es La Liga,W 3-2,3,2,+1,68,3,0,0,0,583,3380,1828,28,15,15,15,10,694,38,Match Report
60,Manchester City,2025-01-19,581,@,Ipswich Town,eng Premier League,W 6-0,6,0,+6,67,6,0,0,0,581,3138,1701,34,30,15,16,8,693,49,Match Report
61,Atalanta,2025-02-15,578,,Cagliari,it Serie A,D 0-0,0,0,0,59,0,0,0,0,578,3278,1704,30,29,7,21,14,561,47,Match Report
62,Monaco,2025-01-10,577,@,Nantes,fr Ligue 1,D 2-2,2,2,0,68,2,0,0,0,577,2749,1303,20,17,7,21,4,577,58,Match Report
63,Arsenal,2024-12-14,576,,Everton,eng Premier League,D 0-0,0,0,0,76,0,0,0,0,576,2903,1729,31,18,6,18,16,665,77,Match Report
