Rk,Team,Date,Carries,,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Match Report
1340,Fulham,2025-03-08,330,@,Brighton,eng Premier League,L 1-2,1,2,-1,47,1,0,0,0,330,1874,840,17,11,3,15,9,387,23,Match Report
1341,Manchester Utd,2025-02-16,329,@,Tottenham,eng Premier League,L 0-1,0,1,-1,45,0,0,0,0,329,1435,796,16,7,5,16,10,366,39,Match Report
1342,Barcelona,2024-08-27,329,@,Rayo Vallecano,es La Liga,W 2-1,2,1,+1,64,2,0,0,0,329,2045,1168,20,20,10,14,10,473,55,Match Report
1343,Wolfsburg,2024-12-08,329,,Mainz 05,de Bundesliga,W 4-3,4,3,+1,44,4,0,0,0,329,1328,661,10,8,4,22,4,330,31,Match Report
1344,Freiburg,2024-10-05,329,@,Werder Bremen,de Bundesliga,W 1-0,1,0,+1,42,1,0,0,0,329,1809,874,20,14,8,15,5,374,34,Match Report
1345,Bochum,2025-02-01,329,,Freiburg,de Bundesliga,L 0-1,0,1,-1,58,0,0,0,0,329,1502,714,13,7,4,22,8,374,41,Match Report
1346,Everton,2024-11-23,329,,Brentford,eng Premier League,D 0-0,0,0,0,59,0,0,0,0,329,2198,1354,31,29,7,12,13,439,58,Match Report
1347,Lyon,2024-11-01,329,@,Lille,fr Ligue 1,D 1-1,1,1,0,53,1,0,0,0,329,1729,950,25,13,10,11,6,371,28,Match Report
1348,Fulham,2024-08-16,329,@,Manchester Utd,eng Premier League,L 0-1,0,1,-1,45,0,0,0,0,329,1746,927,17,19,7,17,9,322,28,Match Report
1349,Lecce,2025-02-28,329,@,Fiorentina,it Serie A,L 0-1,0,1,-1,52,0,0,0,0,329,1749,1060,18,12,3,14,6,383,39,Match Report
1350,Hellas Verona,2024-12-08,328,,Empoli,it Serie A,L 1-4,1,4,-3,50,1,0,0,0,328,1918,793,19,13,3,16,7,389,48,Match Report
1351,Bologna,2024-10-29,328,@,Cagliari,it Serie A,W 2-0,2,0,+2,58,2,0,0,0,328,1952,868,21,7,5,16,9,453,44,Match Report
1352,Bologna,2024-09-14,328,@,Como,it Serie A,D 2-2,2,2,0,56,2,0,0,0,328,1868,948,10,6,4,19,13,427,47,Match Report
1353,Southampton,2025-01-19,328,@,Nott'ham Forest,eng Premier League,L 2-3,2,3,-1,55,2,0,0,0,328,2157,1219,26,23,4,18,12,435,39,Match Report
1354,Fiorentina,2024-11-10,328,,Hellas Verona,it Serie A,W 3-1,3,1,+2,61,3,0,0,0,328,1622,797,13,8,5,14,10,363,45,Match Report
1355,Angers,2025-01-12,328,@,Montpellier,fr Ligue 1,W 3-1,3,1,+2,42,3,0,0,0,328,1941,1088,22,21,10,20,5,322,35,Match Report
1356,Wolves,2024-12-04,328,@,Everton,eng Premier League,L 0-4,0,4,-4,56,0,0,0,0,328,1729,784,16,11,7,19,9,413,36,Match Report
1357,Alavés,2025-03-02,328,@,Mallorca,es La Liga,D 1-1,1,1,0,56,1,0,0,0,328,1447,620,12,15,3,23,8,351,41,Match Report
1358,Mainz 05,2025-04-05,328,,Holstein Kiel,de Bundesliga,D 1-1,1,1,0,58,1,0,0,0,328,1196,551,14,11,3,19,7,357,53,Match Report
1359,Sevilla,2024-10-06,328,,Betis,es La Liga,W 1-0,1,0,+1,51,0,1,1,0,328,1602,826,25,12,8,13,8,323,22,Match Report
1360,Ipswich Town,2025-02-01,328,,Southampton,eng Premier League,L 1-2,1,2,-1,57,1,0,0,0,328,2157,1006,19,20,7,25,19,478,48,Match Report
1361,Lens,2025-01-05,328,,Toulouse,fr Ligue 1,L 0-1,0,1,-1,66,0,0,0,0,328,2008,943,20,17,4,17,12,460,57,Match Report
1362,Monaco,2024-12-18,328,,Paris S-G,fr Ligue 1,L 2-4,2,4,-2,40,1,1,1,0,328,1520,801,21,15,7,18,5,324,43,Match Report
1363,Heidenheim,2024-11-02,327,@,Holstein Kiel,de Bundesliga,L 0-1,0,1,-1,55,0,0,0,0,327,1849,972,16,15,1,19,5,342,37,Match Report
1364,Mallorca,2024-08-27,327,,Sevilla,es La Liga,D 0-0,0,0,0,45,0,0,0,0,327,1470,605,10,11,4,14,10,342,33,Match Report
1365,Gladbach,2025-03-15,327,@,Werder Bremen,de Bundesliga,W 4-2,4,2,+2,47,3,1,1,0,327,1700,809,19,10,5,12,7,375,32,Match Report
1366,Toulouse,2025-01-26,327,,Montpellier,fr Ligue 1,L 1-2,1,2,-1,66,1,0,0,0,327,2029,1119,26,13,5,14,14,467,57,Match Report
1367,Toulouse,2024-12-13,327,,Saint-Étienne,fr Ligue 1,W 2-1,2,1,+1,39,2,0,0,0,327,1555,827,17,15,5,17,5,362,44,Match Report
1368,Bournemouth,2024-08-17,327,@,Nott'ham Forest,eng Premier League,D 1-1,1,1,0,47,1,0,0,0,327,1992,1085,18,12,5,8,14,359,49,Match Report
1369,St. Pauli,2024-12-14,327,,Werder Bremen,de Bundesliga,L 0-2,0,2,-2,56,0,0,0,0,327,1326,672,17,7,3,9,8,509,39,Match Report
1370,West Ham,2024-08-17,327,,Aston Villa,eng Premier League,L 1-2,1,2,-1,52,0,1,1,0,327,1887,988,20,11,6,16,18,372,30,Match Report
1371,Liverpool,2024-12-01,327,,Manchester City,eng Premier League,W 2-0,2,0,+2,44,1,1,1,0,327,1883,895,25,10,11,20,8,370,31,Match Report
1372,Atalanta,2024-10-20,327,@,Venezia,it Serie A,W 2-0,2,0,+2,57,2,0,0,0,327,1632,729,22,9,7,18,6,434,49,Match Report
1373,Leicester City,2025-02-27,327,@,West Ham,eng Premier League,L 0-2,0,2,-2,42,0,0,0,0,327,1798,932,20,11,2,12,10,409,38,Match Report
1374,Dortmund,2025-04-05,327,@,Freiburg,de Bundesliga,W 4-1,4,1,+3,46,4,0,0,0,327,1103,501,10,8,7,17,12,351,37,Match Report
1375,Valencia,2025-03-08,327,,Valladolid,es La Liga,W 2-1,2,1,+1,62,2,0,0,0,327,2126,1314,21,15,8,13,11,464,61,Match Report
1376,Juventus,2024-09-01,327,,Roma,it Serie A,D 0-0,0,0,0,49,0,0,0,0,327,1959,1070,19,14,5,18,7,441,33,Match Report
1377,Fulham,2024-08-31,327,@,Ipswich Town,eng Premier League,D 1-1,1,1,0,52,1,0,0,0,327,1564,760,14,8,6,10,7,377,28,Match Report
1378,Hoffenheim,2024-09-14,326,,Leverkusen,de Bundesliga,L 1-4,1,4,-3,40,1,0,0,0,326,1617,763,13,14,6,15,6,359,35,Match Report
1379,Udinese,2025-02-21,326,@,Lecce,it Serie A,W 1-0,1,0,+1,55,0,1,1,0,326,1531,727,11,14,5,27,6,394,39,Match Report
1380,Udinese,2025-01-20,326,@,Como,it Serie A,L 1-4,1,4,-3,49,1,0,0,0,326,1732,903,18,13,3,13,5,349,36,Match Report
1381,Augsburg,2025-03-29,326,@,Hoffenheim,de Bundesliga,D 1-1,1,1,0,44,1,0,0,0,326,1246,540,8,9,2,12,4,334,26,Match Report
1382,Augsburg,2025-01-15,326,@,Union Berlin,de Bundesliga,W 2-0,2,0,+2,45,2,0,0,0,326,1482,676,15,14,6,20,17,338,34,Match Report
1383,Torino,2024-08-17,325,@,Milan,it Serie A,D 2-2,2,2,0,44,1,0,0,0,325,1825,980,12,11,3,7,7,376,17,Match Report
1384,Arsenal,2025-04-05,325,@,Everton,eng Premier League,D 1-1,1,1,0,69,1,0,0,0,325,2021,1087,21,15,9,15,4,410,43,Match Report
1385,Villarreal,2024-09-26,325,@,Espanyol,es La Liga,W 2-1,2,1,+1,44,2,0,0,0,325,2063,1199,25,22,6,19,7,356,31,Match Report
1386,Gladbach,2025-02-22,325,,Augsburg,de Bundesliga,L 0-3,0,3,-3,49,0,0,0,0,325,1735,797,15,8,3,20,11,470,38,Match Report
1387,Union Berlin,2024-11-23,325,@,Wolfsburg,de Bundesliga,L 0-1,0,1,-1,45,0,0,0,0,325,1481,776,11,10,4,14,6,357,26,Match Report
1388,Mainz 05,2024-10-25,325,,Gladbach,de Bundesliga,D 1-1,1,1,0,52,0,0,0,0,325,1467,633,15,9,5,27,8,408,45,Match Report
1389,Napoli,2025-01-18,325,@,Atalanta,it Serie A,W 3-2,3,2,+1,44,3,0,0,0,325,1496,606,9,6,4,19,15,370,26,Match Report
1390,Lecce,2025-03-14,325,@,Genoa,it Serie A,L 1-2,1,2,-1,56,0,1,1,0,325,1719,841,15,12,3,16,11,360,30,Match Report
1391,Mallorca,2025-03-30,324,@,Valencia,es La Liga,L 0-1,0,1,-1,56,0,0,0,0,324,1553,665,11,8,4,14,7,378,34,Match Report
1392,Bournemouth,2024-10-19,324,,Arsenal,eng Premier League,W 2-0,2,0,+2,49,1,1,1,0,324,1965,1066,28,17,7,14,6,343,37,Match Report
1393,Auxerre,2025-02-01,324,@,Monaco,fr Ligue 1,L 2-4,2,4,-2,43,1,1,1,0,324,1573,720,12,6,5,12,14,318,34,Match Report
1394,Lazio,2024-10-31,324,@,Como,it Serie A,W 5-1,5,1,+4,49,4,1,1,0,324,1769,898,14,11,2,13,7,358,34,Match Report
1395,Aston Villa,2024-12-30,324,,Brighton,eng Premier League,D 2-2,2,2,0,59,1,1,1,0,324,1675,894,22,16,10,18,10,426,47,Match Report
1396,Wolves,2025-03-15,324,@,Southampton,eng Premier League,W 2-1,2,1,+1,40,2,0,0,0,324,1496,839,18,13,4,15,7,366,24,Match Report
1397,Brighton,2025-04-02,324,,Aston Villa,eng Premier League,L 0-3,0,3,-3,56,0,0,0,0,324,1810,959,16,10,5,15,10,426,43,Match Report
1398,Atlético Madrid,2024-09-22,324,@,Rayo Vallecano,es La Liga,D 1-1,1,1,0,46,1,0,0,0,324,1599,852,15,10,5,18,2,361,21,Match Report
1399,Milan,2024-10-06,324,@,Fiorentina,it Serie A,L 1-2,1,2,-1,59,1,0,2,2,324,2028,1173,31,14,9,17,8,405,50,Match Report
1400,Hoffenheim,2024-12-08,323,,Freiburg,de Bundesliga,D 1-1,1,1,0,50,1,0,0,0,323,1572,691,12,12,3,14,10,447,31,Match Report
1401,Bologna,2024-12-30,323,,Hellas Verona,it Serie A,L 2-3,2,3,-1,67,2,0,0,0,323,1698,786,13,9,6,17,12,397,38,Match Report
1402,Reims,2025-01-19,323,,Le Havre,fr Ligue 1,D 1-1,1,1,0,55,1,0,0,0,323,2111,1168,22,16,8,18,7,442,51,Match Report
1403,Liverpool,2025-01-05,323,,Manchester Utd,eng Premier League,D 2-2,2,2,0,53,1,1,1,0,323,1777,1057,24,15,10,19,11,386,43,Match Report
1404,Girona,2024-09-15,323,,Barcelona,es La Liga,L 1-4,1,4,-3,45,1,0,0,0,323,1820,860,16,9,5,14,11,358,29,Match Report
1405,Bochum,2024-11-23,323,@,Stuttgart,de Bundesliga,L 0-2,0,2,-2,42,0,0,0,0,323,1412,541,7,4,1,11,2,359,24,Match Report
1406,Cagliari,2024-11-24,323,@,Genoa,it Serie A,D 2-2,2,2,0,48,0,2,2,0,323,1592,823,13,9,3,8,15,343,34,Match Report
1407,Milan,2025-02-02,323,,Inter,it Serie A,D 1-1,1,1,0,37,1,0,0,0,323,1934,1097,24,14,5,19,1,317,26,Match Report
1408,Parma,2024-11-23,323,,Atalanta,it Serie A,L 1-3,1,3,-2,45,1,0,0,0,323,1534,726,14,9,3,16,12,427,26,Match Report
1409,Wolfsburg,2025-04-06,322,@,Union Berlin,de Bundesliga,L 0-1,0,1,-1,54,0,0,0,0,322,1638,958,18,9,2,17,7,325,44,Match Report
1410,Wolfsburg,2024-10-26,322,@,St. Pauli,de Bundesliga,D 0-0,0,0,0,46,0,0,0,0,322,1471,688,9,11,3,15,10,358,39,Match Report
1411,Lazio,2025-04-06,322,@,Atalanta,it Serie A,W 1-0,1,0,+1,42,1,0,0,0,322,1824,855,18,10,6,18,11,321,25,Match Report
1412,Liverpool,2025-02-19,322,@,Aston Villa,eng Premier League,D 2-2,2,2,0,48,2,0,0,0,322,1326,777,16,10,9,9,8,357,34,Match Report
1413,Manchester City,2024-12-15,322,,Manchester Utd,eng Premier League,L 1-2,1,2,-1,52,1,0,0,0,322,1620,822,20,14,5,7,12,449,30,Match Report
1414,Strasbourg,2024-08-18,322,@,Montpellier,fr Ligue 1,D 1-1,1,1,0,58,1,0,0,0,322,1556,765,13,11,1,15,12,392,28,Match Report
1415,Brentford,2024-09-21,322,@,Tottenham,eng Premier League,L 1-3,1,3,-2,52,1,0,0,0,322,1539,663,10,9,1,10,10,407,25,Match Report
1416,Fulham,2025-02-01,322,@,Newcastle Utd,eng Premier League,W 2-1,2,1,+1,51,2,0,0,0,322,1751,1047,30,16,10,17,5,376,45,Match Report
1417,Montpellier,2024-12-15,321,,Nice,fr Ligue 1,D 2-2,2,2,0,52,2,0,0,0,321,1739,915,24,12,10,13,12,349,44,Match Report
1418,Como,2024-10-31,321,,Lazio,it Serie A,L 1-5,1,5,-4,51,1,0,0,0,321,1817,883,17,8,9,16,6,374,28,Match Report
1419,Athletic Club,2024-12-01,321,@,Rayo Vallecano,es La Liga,W 2-1,2,1,+1,52,2,0,0,0,321,1709,853,17,12,5,9,10,364,42,Match Report
1420,St. Pauli,2024-10-05,321,,Mainz 05,de Bundesliga,L 0-3,0,3,-3,56,0,0,0,0,321,1777,927,18,15,4,12,14,442,48,Match Report
1421,Genoa,2024-12-01,321,@,Udinese,it Serie A,W 2-0,2,0,+2,54,1,0,0,0,321,1504,814,13,6,7,17,6,439,43,Match Report
1422,Atalanta,2024-12-02,321,@,Roma,it Serie A,W 2-0,2,0,+2,52,2,0,0,0,321,1542,814,20,13,6,10,9,423,35,Match Report
1423,Leicester City,2025-02-01,321,@,Everton,eng Premier League,L 0-4,0,4,-4,52,0,0,0,0,321,1719,870,8,7,1,13,7,418,35,Match Report
1424,Brighton,2024-11-02,321,@,Liverpool,eng Premier League,L 1-2,1,2,-1,51,1,0,0,0,321,1892,1048,19,12,8,17,11,427,42,Match Report
1425,Napoli,2024-11-03,321,,Atalanta,it Serie A,L 0-3,0,3,-3,50,0,0,0,0,321,1621,793,24,9,4,11,14,490,40,Match Report
1426,Torino,2024-11-09,320,@,Juventus,it Serie A,L 0-2,0,2,-2,46,0,0,0,0,320,1556,824,3,6,0,6,10,343,28,Match Report
1427,Monza,2025-02-09,320,@,Lazio,it Serie A,L 1-5,1,5,-4,39,0,1,1,0,320,1452,708,7,9,1,7,5,319,28,Match Report
1428,Gladbach,2025-02-01,320,@,Stuttgart,de Bundesliga,W 2-1,2,1,+1,46,2,0,0,0,320,1748,831,15,9,5,9,9,385,33,Match Report
1429,Angers,2025-03-30,320,,Rennes,fr Ligue 1,L 0-3,0,3,-3,43,0,0,0,0,320,1631,808,21,11,6,10,11,372,36,Match Report
1430,Getafe,2024-09-22,320,,Leganés,es La Liga,D 1-1,1,1,0,59,0,1,1,0,320,1507,811,20,8,3,21,20,345,46,Match Report
1431,Mainz 05,2025-01-11,320,,Bochum,de Bundesliga,W 2-0,2,0,+2,58,2,0,0,0,320,1488,770,9,7,2,25,9,422,52,Match Report
1432,Sevilla,2024-10-25,320,@,Espanyol,es La Liga,W 2-0,2,0,+2,57,2,0,0,0,320,1801,766,14,10,4,25,14,411,24,Match Report
1433,Dortmund,2024-09-22,320,@,Stuttgart,de Bundesliga,L 1-5,1,5,-4,48,1,0,0,0,320,1474,739,15,15,1,18,5,410,33,Match Report
1434,Newcastle Utd,2025-01-25,320,@,Southampton,eng Premier League,W 3-1,3,1,+2,47,2,1,1,0,320,1535,769,22,7,12,12,12,371,40,Match Report
1435,Ipswich Town,2024-11-24,320,,Manchester Utd,eng Premier League,D 1-1,1,1,0,40,1,0,0,0,320,1557,678,10,9,1,12,9,368,22,Match Report
1436,Heidenheim,2024-10-06,319,,RB Leipzig,de Bundesliga,L 0-1,0,1,-1,45,0,0,0,0,319,1502,753,18,5,4,20,7,314,29,Match Report
1437,Auxerre,2024-12-14,319,,Lens,fr Ligue 1,D 2-2,2,2,0,40,2,0,0,0,319,1350,650,10,12,1,14,13,308,36,Match Report
1438,Lazio,2025-03-10,319,,Udinese,it Serie A,D 1-1,1,1,0,49,1,0,0,0,319,2020,937,18,16,6,14,7,402,37,Match Report
1439,Leicester City,2025-03-16,319,,Manchester Utd,eng Premier League,L 0-3,0,3,-3,53,0,0,0,0,319,1785,840,12,16,2,23,12,452,38,Match Report
1440,Leicester City,2024-12-03,319,,West Ham,eng Premier League,W 3-1,3,1,+2,39,3,0,0,0,319,1537,767,20,9,10,13,8,301,20,Match Report
1441,Nantes,2024-12-08,319,,Rennes,fr Ligue 1,W 1-0,1,0,+1,47,1,0,0,0,319,1442,727,17,7,11,14,10,341,40,Match Report
1442,Lens,2024-10-26,319,,Lille,fr Ligue 1,L 0-2,0,2,-2,58,0,0,0,0,319,1494,689,14,14,5,21,5,346,42,Match Report
1443,Hellas Verona,2024-09-16,318,@,Lazio,it Serie A,L 1-2,1,2,-1,45,1,0,0,0,318,1916,940,11,8,4,7,7,358,32,Match Report
1444,Heidenheim,2025-01-15,318,@,Werder Bremen,de Bundesliga,D 3-3,3,3,0,48,3,0,0,0,318,1473,695,12,13,1,23,7,358,36,Match Report
1445,Bologna,2025-02-01,318,,Como,it Serie A,W 2-0,2,0,+2,50,2,0,0,0,318,1738,799,18,11,1,12,12,363,27,Match Report
1446,Bologna,2025-01-25,318,@,Empoli,it Serie A,D 1-1,1,1,0,63,1,0,0,0,318,1770,801,13,9,3,20,13,373,34,Match Report
1447,Crystal Palace,2025-02-15,318,,Everton,eng Premier League,L 1-2,1,2,-1,58,1,0,0,0,318,1872,884,11,8,2,12,15,424,45,Match Report
1448,Wolves,2025-01-25,318,,Arsenal,eng Premier League,L 0-1,0,1,-1,51,0,0,0,0,318,2073,1189,18,16,3,13,10,379,33,Match Report
1449,Strasbourg,2024-12-08,318,,Reims,fr Ligue 1,D 0-0,0,0,0,48,0,0,0,0,318,1563,930,18,12,7,22,7,395,39,Match Report
1450,Cagliari,2024-12-14,318,,Atalanta,it Serie A,L 0-1,0,1,-1,44,0,0,0,0,318,1719,822,17,14,1,27,9,326,28,Match Report
1451,Brentford,2024-08-18,318,,Crystal Palace,eng Premier League,W 2-1,2,1,+1,46,2,0,0,0,318,1617,814,16,12,3,9,14,325,31,Match Report
1452,Everton,2024-12-01,318,@,Manchester Utd,eng Premier League,L 0-4,0,4,-4,40,0,0,0,0,318,1551,719,12,12,4,12,8,367,29,Match Report
1453,Milan,2024-09-22,318,@,Inter,it Serie A,W 2-1,2,1,+1,43,2,0,0,0,318,1722,895,19,10,5,10,5,355,33,Match Report
1454,Betis,2025-01-18,318,,Alavés,es La Liga,L 1-3,1,3,-2,50,1,0,0,0,318,1421,623,10,6,4,18,16,361,26,Match Report
1455,Holstein Kiel,2025-01-11,317,@,Freiburg,de Bundesliga,L 2-3,2,3,-1,49,2,0,0,0,317,1386,572,10,7,2,19,6,383,35,Match Report
1456,Bournemouth,2024-08-31,317,@,Everton,eng Premier League,W 3-2,3,2,+1,53,3,0,0,0,317,1945,1142,22,12,5,17,6,324,36,Match Report
1457,Leganés,2025-03-02,317,,Getafe,es La Liga,W 1-0,1,0,+1,57,1,0,0,0,317,1395,860,12,11,1,12,14,344,35,Match Report
1458,Reims,2025-03-09,317,,Auxerre,fr Ligue 1,L 0-2,0,2,-2,57,0,0,0,0,317,2020,1172,21,16,4,14,14,385,39,Match Report
1459,Liverpool,2024-09-28,317,@,Wolves,eng Premier League,W 2-1,2,1,+1,55,1,1,1,0,317,1753,887,20,16,10,9,7,470,42,Match Report
1460,Leicester City,2024-11-30,317,@,Brentford,eng Premier League,L 1-4,1,4,-3,40,1,0,0,0,317,1353,698,16,14,2,12,5,308,25,Match Report
1461,Brest,2025-02-01,317,,Paris S-G,fr Ligue 1,L 2-5,2,5,-3,35,2,0,0,0,317,1728,673,13,7,4,15,6,305,24,Match Report
1462,Hoffenheim,2024-09-21,316,@,Union Berlin,de Bundesliga,L 1-2,1,2,-1,49,1,0,0,0,316,1525,744,8,9,2,11,7,343,40,Match Report
1463,Crystal Palace,2024-08-18,316,@,Brentford,eng Premier League,L 1-2,1,2,-1,54,0,0,0,0,316,1388,807,14,16,5,9,5,409,31,Match Report
1464,Rayo Vallecano,2025-01-10,316,,Celta Vigo,es La Liga,W 2-1,2,1,+1,50,2,0,0,0,316,1672,822,15,12,0,21,9,376,26,Match Report
1465,Cagliari,2024-11-04,316,@,Lazio,it Serie A,L 1-2,1,2,-1,46,1,0,0,0,316,1377,550,12,6,2,8,14,348,24,Match Report
1466,Milan,2024-11-30,316,,Empoli,it Serie A,W 3-0,3,0,+3,55,3,0,0,0,316,1834,961,21,17,10,11,12,431,40,Match Report
1467,Real Sociedad,2024-11-24,316,@,Athletic Club,es La Liga,L 0-1,0,1,-1,59,0,0,0,0,316,1656,866,12,9,3,17,7,419,31,Match Report
1468,Fiorentina,2025-04-05,315,@,Milan,it Serie A,D 2-2,2,2,0,48,1,0,0,0,315,1832,898,17,12,11,16,5,341,28,Match Report
1469,Liverpool,2024-11-02,315,,Brighton,eng Premier League,W 2-1,2,1,+1,49,2,0,0,0,315,1627,826,17,7,6,13,10,387,37,Match Report
1470,Wolves,2024-12-22,315,@,Leicester City,eng Premier League,W 3-0,3,0,+3,46,3,0,0,0,315,1556,721,12,7,0,12,9,415,25,Match Report
1471,Leicester City,2025-01-04,315,@,Aston Villa,eng Premier League,L 1-2,1,2,-1,40,1,0,0,0,315,1506,692,10,11,3,15,9,349,24,Match Report
1472,RB Leipzig,2024-09-28,315,,Augsburg,de Bundesliga,W 4-0,4,0,+4,59,4,0,0,0,315,1673,867,20,11,7,11,6,507,58,Match Report
1473,Newcastle Utd,2025-01-18,315,,Bournemouth,eng Premier League,L 1-4,1,4,-3,56,1,0,0,0,315,1691,885,26,12,8,19,13,346,37,Match Report
1474,Rennes,2025-02-08,315,@,Saint-Étienne,fr Ligue 1,W 2-0,2,0,+2,47,2,0,0,0,315,1806,940,25,18,11,16,13,400,41,Match Report
1475,Leverkusen,2025-04-05,315,@,Heidenheim,de Bundesliga,W 1-0,1,0,+1,51,1,0,0,0,315,1681,917,16,15,3,20,14,476,43,Match Report
1476,Saint-Étienne,2024-10-05,315,,Auxerre,fr Ligue 1,W 3-1,3,1,+2,42,3,0,0,0,315,1561,773,19,10,10,11,14,288,28,Match Report
1477,Napoli,2025-01-25,315,,Juventus,it Serie A,W 2-1,2,1,+1,49,1,1,1,0,315,1795,834,14,10,2,12,13,377,34,Match Report
1478,Atlético Madrid,2024-08-25,315,,Girona,es La Liga,W 3-0,3,0,+3,43,3,0,0,0,315,1586,695,11,9,4,10,7,416,30,Match Report
1479,Lecce,2024-08-24,315,@,Inter,it Serie A,L 0-2,0,2,-2,39,0,0,0,0,315,1703,877,19,15,5,9,8,333,30,Match Report
1480,Osasuna,2024-12-21,314,,Athletic Club,es La Liga,L 1-2,1,2,-1,53,1,0,0,0,314,1535,714,11,14,1,20,5,352,35,Match Report
1481,St. Pauli,2025-04-06,314,,Gladbach,de Bundesliga,D 1-1,1,1,0,63,1,0,0,0,314,2039,1193,23,16,9,17,5,491,61,Match Report
1482,Girona,2025-02-23,314,@,Real Madrid,es La Liga,L 0-2,0,2,-2,37,0,0,0,0,314,1863,1031,27,13,9,9,4,357,28,Match Report
1483,Leicester City,2025-03-09,314,@,Chelsea,eng Premier League,L 0-1,0,1,-1,44,0,0,0,0,314,1599,899,18,10,1,14,4,359,33,Match Report
1484,Ipswich Town,2024-12-14,314,@,Wolves,eng Premier League,W 2-1,2,1,+1,46,1,0,0,0,314,2009,985,21,12,9,15,12,368,28,Match Report
1485,Ipswich Town,2024-12-03,314,,Crystal Palace,eng Premier League,L 0-1,0,1,-1,54,0,0,0,0,314,1341,626,13,10,2,16,9,447,26,Match Report
1486,Nantes,2024-10-06,314,@,Lyon,fr Ligue 1,L 0-2,0,2,-2,39,0,0,0,0,314,1427,705,15,11,5,13,6,324,27,Match Report
1487,Eint Frankfurt,2025-03-01,314,,Leverkusen,de Bundesliga,L 1-4,1,4,-3,41,1,0,0,0,314,1394,643,13,9,4,9,10,347,37,Match Report
1488,Monaco,2024-12-01,314,@,Marseille,fr Ligue 1,L 1-2,1,2,-1,37,1,0,0,0,314,1312,535,6,8,2,12,13,299,30,Match Report
1489,Fiorentina,2024-08-17,313,@,Parma,it Serie A,D 1-1,1,1,0,61,1,0,0,0,313,2131,1252,20,15,4,9,9,372,39,Match Report
1490,Crystal Palace,2024-11-30,313,,Newcastle Utd,eng Premier League,D 1-1,1,1,0,49,1,0,0,0,313,1623,756,14,11,4,18,9,347,38,Match Report
1491,Auxerre,2025-04-06,313,@,Rennes,fr Ligue 1,W 1-0,1,0,+1,37,1,0,0,0,313,1487,634,14,8,5,14,7,326,26,Match Report
1492,Alavés,2024-12-15,313,,Athletic Club,es La Liga,D 1-1,1,1,0,52,1,0,0,0,313,1358,631,14,3,1,15,10,351,26,Match Report
1493,Rayo Vallecano,2024-09-28,313,,Leganés,es La Liga,D 1-1,1,1,0,54,1,0,0,0,313,1771,954,21,16,6,13,10,419,41,Match Report
1494,Freiburg,2025-03-02,313,@,Augsburg,de Bundesliga,D 0-0,0,0,0,49,0,0,0,0,313,1455,609,6,6,3,14,6,398,26,Match Report
1495,Dortmund,2024-09-13,313,,Heidenheim,de Bundesliga,W 4-2,4,2,+2,60,3,1,1,0,313,2229,1247,24,18,6,16,6,497,52,Match Report
1496,Saint-Étienne,2025-03-29,313,,Paris S-G,fr Ligue 1,L 1-6,1,6,-5,47,1,0,0,0,313,1495,772,21,15,2,24,7,417,46,Match Report
1497,Valencia,2024-08-31,313,,Villarreal,es La Liga,D 1-1,1,1,0,58,1,0,0,0,313,1663,1059,24,16,6,8,6,449,51,Match Report
1498,Tottenham,2024-12-29,312,,Wolves,eng Premier League,D 2-2,2,2,0,48,2,0,1,1,312,1632,845,22,12,10,14,11,347,40,Match Report
1499,Fiorentina,2025-03-30,312,,Atalanta,it Serie A,W 1-0,1,0,+1,45,1,0,0,0,312,1703,713,11,11,4,19,5,315,24,Match Report
1500,Genoa,2024-09-15,312,,Roma,it Serie A,D 1-1,1,1,0,48,1,0,0,0,312,1604,890,17,8,2,10,15,343,38,Match Report
1501,Ipswich Town,2024-09-29,312,,Aston Villa,eng Premier League,D 2-2,2,2,0,44,2,0,0,0,312,1854,824,16,8,6,12,10,356,30,Match Report
1502,Roma,2025-01-26,312,@,Udinese,it Serie A,W 2-1,2,1,+1,51,0,2,2,0,312,1471,765,12,12,2,15,9,409,33,Match Report
1503,Celta Vigo,2024-11-04,312,,Getafe,es La Liga,W 1-0,1,0,+1,57,1,0,0,0,312,1723,872,10,14,4,14,5,494,32,Match Report
1504,Mallorca,2025-02-10,311,,Osasuna,es La Liga,D 1-1,1,1,0,46,0,1,1,0,311,1434,596,12,13,2,16,16,297,39,Match Report
1505,Angers,2024-09-22,311,,Nantes,fr Ligue 1,D 1-1,1,1,0,50,0,1,1,0,311,1657,793,11,8,3,20,5,424,30,Match Report
1506,West Ham,2024-12-29,311,,Liverpool,eng Premier League,L 0-5,0,5,-5,46,0,0,0,0,311,1953,988,19,11,8,11,14,415,39,Match Report
1507,Lille,2025-04-05,311,@,Lyon,fr Ligue 1,L 1-2,1,2,-1,44,1,0,0,0,311,1740,976,20,13,2,16,9,424,29,Match Report
1508,Brest,2024-10-26,311,@,Reims,fr Ligue 1,W 2-1,2,1,+1,47,1,1,1,0,311,1429,607,9,8,3,17,7,317,21,Match Report
1509,Hoffenheim,2025-01-15,310,@,Bayern Munich,de Bundesliga,L 0-5,0,5,-5,35,0,0,0,0,310,1165,570,11,4,2,10,8,353,22,Match Report
