Rk,Team,Date,Gls,,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Gls,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Match Report
17,Bayern Munich,2024-12-20,5,,RB Leipzig,de Bundesliga,W 5-1,5,1,+4,71,5,0,0,0,5,22,0.23,0.56,9,40.9,14.6,1,Match Report
18,Bayern Munich,2024-10-27,5,@,Bochum,de Bundesliga,W 5-0,5,0,+5,72,5,0,0,0,5,19,0.26,0.50,10,52.6,17.0,1,Match Report
19,Bayern Munich,2024-09-21,5,@,Werder Bremen,de Bundesliga,W 5-0,5,0,+5,69,5,0,0,0,5,25,0.20,0.71,7,28.0,17.3,1,Match Report
20,Bayern Munich,2024-09-14,5,@,Holstein Kiel,de Bundesliga,W 6-1,6,1,+5,70,4,1,1,0,5,22,0.18,0.36,11,50.0,15.9,0,Match Report
21,Arsenal,2025-02-02,5,,Manchester City,eng Premier League,W 5-1,5,1,+4,46,5,0,0,0,5,12,0.42,0.71,7,58.3,15.8,0,Match Report
22,Arsenal,2024-12-21,5,@,Crystal Palace,eng Premier League,W 5-1,5,1,+4,58,5,0,0,0,5,14,0.36,0.83,6,42.9,11.5,0,Match Report
23,Arsenal,2024-11-30,5,@,West Ham,eng Premier League,W 5-2,5,2,+3,60,3,2,2,0,5,14,0.21,0.60,5,35.7,15.4,1,Match Report
24,Bologna,2025-03-16,5,,Lazio,it Serie A,W 5-0,5,0,+5,51,5,0,0,0,5,13,0.38,0.71,7,53.8,15.5,1,Match Report
25,Barcelona,2024-12-03,5,@,Mallorca,es La Liga,W 5-1,5,1,+4,59,4,1,1,0,5,19,0.21,0.50,8,42.1,17.1,1,Match Report
26,Barcelona,2024-10-20,5,,Sevilla,es La Liga,W 5-1,5,1,+4,67,4,1,1,0,5,20,0.20,0.50,8,40.0,17.9,1,Match Report
27,Barcelona,2024-09-22,5,@,Villarreal,es La Liga,W 5-1,5,1,+4,63,5,0,1,1,5,16,0.31,0.56,9,56.3,14.6,0,Match Report
28,Villarreal,2025-02-01,5,,Valladolid,es La Liga,W 5-1,5,1,+4,53,5,0,0,0,5,22,0.23,0.63,8,36.4,16.8,1,Match Report
29,Villarreal,2024-12-22,5,@,Leganés,es La Liga,W 5-2,5,2,+3,64,3,2,2,0,5,16,0.19,0.43,7,43.8,17.4,1,Match Report
30,Holstein Kiel,2024-12-21,5,,Augsburg,de Bundesliga,W 5-1,5,1,+4,37,5,0,0,0,5,8,0.63,0.83,6,75.0,12.4,1,Match Report
31,Tottenham,2024-12-15,5,@,Southampton,eng Premier League,W 5-0,5,0,+5,58,5,0,0,0,5,18,0.28,0.56,9,50.0,13.1,0,Match Report
32,Bournemouth,2025-01-25,5,,Nott'ham Forest,eng Premier League,W 5-0,5,0,+5,50,5,0,0,0,5,16,0.31,0.50,10,62.5,16.3,1,Match Report
33,Wolfsburg,2025-01-14,5,,Gladbach,de Bundesliga,W 5-1,5,1,+4,35,4,1,1,0,5,15,0.27,1.00,4,26.7,17.7,1,Match Report
34,Wolfsburg,2024-11-30,5,@,RB Leipzig,de Bundesliga,W 5-1,5,1,+4,37,5,0,0,0,5,13,0.38,0.63,8,61.5,16.3,1,Match Report
35,Marseille,2025-02-15,5,,Saint-Étienne,fr Ligue 1,W 5-1,5,1,+4,70,4,1,1,0,5,27,0.15,0.33,12,44.4,11.8,0,Match Report
36,Marseille,2025-01-05,5,,Le Havre,fr Ligue 1,W 5-1,5,1,+4,70,5,0,0,0,5,15,0.33,0.63,8,53.3,17.9,0,Match Report
37,Marseille,2024-10-20,5,@,Montpellier,fr Ligue 1,W 5-0,5,0,+5,65,5,0,0,0,5,21,0.24,0.50,10,47.6,14.3,0,Match Report
38,Marseille,2024-08-17,5,@,Brest,fr Ligue 1,W 5-1,5,1,+4,50,3,2,2,0,5,5,0.60,1.00,3,60.0,20.2,0,Match Report
39,Stuttgart,2024-09-22,5,,Dortmund,de Bundesliga,W 5-1,5,1,+4,52,5,0,0,0,5,17,0.29,0.56,9,52.9,14.8,0,Match Report
40,Lazio,2025-02-09,5,,Monza,it Serie A,W 5-1,5,1,+4,61,5,0,0,0,5,26,0.19,0.56,9,34.6,17.0,0,Match Report
41,Lazio,2024-10-31,5,@,Como,it Serie A,W 5-1,5,1,+4,49,4,1,1,0,5,13,0.31,0.67,6,46.2,18.3,2,Match Report
