Rk,Team,Date,#OPA,,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,#OPA,AvgDist,Match Report
149,Aston Villa,2025-02-15,4,,Ipswich Town,eng Premier League,D 1-1,1,1,0,75,1,0,0,0,4,31.5,Match Report
150,Wolves,2025-02-22,4,@,Bournemouth,eng Premier League,W 1-0,1,0,+1,54,1,0,0,0,4,14.1,Match Report
151,Wolves,2024-12-22,4,@,Leicester City,eng Premier League,W 3-0,3,0,+3,46,3,0,0,0,4,13.6,Match Report
152,Wolves,2024-12-14,4,,Ipswich Town,eng Premier League,L 1-2,1,2,-1,54,1,0,0,0,4,15.9,Match Report
153,Girona,2024-12-07,4,,Real Madrid,es La Liga,L 0-3,0,3,-3,42,0,0,0,0,4,16.0,Match Report
154,Atalanta,2025-02-08,4,@,Hellas Verona,it Serie A,W 5-0,5,0,+5,62,5,0,0,0,4,21.0,Match Report
155,Rayo Vallecano,2025-04-04,4,,Espanyol,es La Liga,L 0-4,0,4,-4,69,0,0,0,0,4,20.5,Match Report
156,Mainz 05,2025-03-30,4,@,Dortmund,de Bundesliga,L 1-3,1,3,-2,56,1,0,0,0,4,16.6,Match Report
157,Freiburg,2025-01-11,4,,Holstein Kiel,de Bundesliga,W 3-2,3,2,+1,51,2,0,0,0,4,17.3,Match Report
158,Espanyol,2025-01-11,4,,Leganés,es La Liga,D 1-1,1,1,0,53,1,0,0,0,4,20.4,Match Report
159,Sevilla,2024-11-24,4,,Rayo Vallecano,es La Liga,W 1-0,1,0,+1,53,1,0,0,0,4,23.8,Match Report
160,Newcastle Utd,2025-04-07,4,@,Leicester City,eng Premier League,W 3-0,3,0,+3,42,3,0,0,0,4,18.8,Match Report
161,Bochum,2025-01-11,4,@,Mainz 05,de Bundesliga,L 0-2,0,2,-2,42,0,0,0,0,4,19.1,Match Report
162,Bochum,2024-12-07,4,,Werder Bremen,de Bundesliga,L 0-1,0,1,-1,52,0,0,0,0,4,22.1,Match Report
163,Bochum,2024-11-02,4,@,Eint Frankfurt,de Bundesliga,L 2-7,2,7,-5,36,2,0,0,0,4,23.4,Match Report
