Rk,Team,Date,#OPA,,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,#OPA,AvgDist,Match Report
2145,Liverpool,2025-02-23,0,@,Manchester City,eng Premier League,W 2-0,2,0,+2,34,2,0,0,0,0,5.0,Match Report
2146,Liverpool,2025-01-25,0,,Ipswich Town,eng Premier League,W 4-1,4,1,+3,70,4,0,0,0,0,9.7,Match Report
2147,Liverpool,2024-12-26,0,,Leicester City,eng Premier League,W 3-1,3,1,+2,68,3,0,0,0,0,11.0,Match Report
2148,Liverpool,2024-12-01,0,,Manchester City,eng Premier League,W 2-0,2,0,+2,44,1,1,1,0,0,,Match Report
2149,Liverpool,2024-11-09,0,,Aston Villa,eng Premier League,W 2-0,2,0,+2,62,2,0,0,0,0,7.0,Match Report
2150,Liverpool,2024-10-27,0,@,Arsenal,eng Premier League,D 2-2,2,2,0,55,2,0,0,0,0,8.3,Match Report
2151,Liverpool,2024-09-21,0,,Bournemouth,eng Premier League,W 3-0,3,0,+3,58,3,0,0,0,0,10.0,Match Report
2152,Liverpool,2024-08-25,0,,Brentford,eng Premier League,W 2-0,2,0,+2,62,2,0,0,0,0,7.5,Match Report
2153,Aston Villa,2025-04-05,0,,Nott'ham Forest,eng Premier League,W 2-1,2,1,+1,52,2,0,0,0,0,6.0,Match Report
2154,Aston Villa,2025-04-02,0,@,Brighton,eng Premier League,W 3-0,3,0,+3,44,3,0,0,0,0,5.0,Match Report
2155,Aston Villa,2025-03-08,0,@,Brentford,eng Premier League,W 1-0,1,0,+1,41,1,0,0,0,0,8.6,Match Report
2156,Aston Villa,2025-02-25,0,@,Crystal Palace,eng Premier League,L 1-4,1,4,-3,64,1,0,0,0,0,13.0,Match Report
2157,Aston Villa,2025-01-26,0,,West Ham,eng Premier League,D 1-1,1,1,0,46,1,0,0,0,0,13.3,Match Report
2158,Aston Villa,2025-01-18,0,@,Arsenal,eng Premier League,D 2-2,2,2,0,34,2,0,0,0,0,5.7,Match Report
2159,Aston Villa,2025-01-04,0,,Leicester City,eng Premier League,W 2-1,2,1,+1,60,2,0,0,0,0,10.3,Match Report
2160,Aston Villa,2024-12-26,0,@,Newcastle Utd,eng Premier League,L 0-3,0,3,-3,38,0,0,0,0,0,6.5,Match Report
2161,Aston Villa,2024-12-21,0,,Manchester City,eng Premier League,W 2-1,2,1,+1,44,2,0,0,0,0,10.7,Match Report
2162,Aston Villa,2024-12-14,0,@,Nott'ham Forest,eng Premier League,L 1-2,1,2,-1,50,1,0,0,0,0,3.0,Match Report
2163,Aston Villa,2024-12-07,0,,Southampton,eng Premier League,W 1-0,1,0,+1,47,1,0,0,0,0,,Match Report
2164,Aston Villa,2024-12-01,0,@,Chelsea,eng Premier League,L 0-3,0,3,-3,36,0,0,0,0,0,8.7,Match Report
2165,Aston Villa,2024-11-09,0,@,Liverpool,eng Premier League,L 0-2,0,2,-2,38,0,0,0,0,0,,Match Report
2166,Aston Villa,2024-11-03,0,@,Tottenham,eng Premier League,L 1-4,1,4,-3,49,1,0,0,0,0,5.5,Match Report
2167,Aston Villa,2024-09-29,0,@,Ipswich Town,eng Premier League,D 2-2,2,2,0,56,2,0,0,0,0,7.0,Match Report
2168,Aston Villa,2024-08-24,0,,Arsenal,eng Premier League,L 0-2,0,2,-2,40,0,0,0,0,0,10.3,Match Report
2169,Wolves,2025-02-01,0,,Aston Villa,eng Premier League,W 2-0,2,0,+2,32,2,0,0,0,0,4.3,Match Report
2170,Wolves,2025-01-20,0,@,Chelsea,eng Premier League,L 1-3,1,3,-2,37,1,0,0,0,0,6.0,Match Report
2171,Wolves,2024-12-04,0,@,Everton,eng Premier League,L 0-4,0,4,-4,56,0,0,0,0,0,10.0,Match Report
2172,Wolves,2024-11-09,0,,Southampton,eng Premier League,W 2-0,2,0,+2,29,2,0,0,0,0,8.0,Match Report
2173,Wolves,2024-11-02,0,,Crystal Palace,eng Premier League,D 2-2,2,2,0,57,2,0,0,0,0,8.2,Match Report
2174,Wolves,2024-10-20,0,,Manchester City,eng Premier League,L 1-2,1,2,-1,23,1,0,0,0,0,4.3,Match Report
2175,Alavés,2025-04-05,0,@,Girona,es La Liga,W 1-0,1,0,+1,36,1,0,0,0,0,6.0,Match Report
2176,Alavés,2025-03-14,0,@,Las Palmas,es La Liga,D 2-2,2,2,0,39,2,0,0,0,0,10.3,Match Report
2177,Alavés,2025-03-08,0,,Villarreal,es La Liga,W 1-0,1,0,+1,32,1,0,0,0,0,8.0,Match Report
2178,Alavés,2025-03-02,0,@,Mallorca,es La Liga,D 1-1,1,1,0,56,1,0,0,0,0,12.3,Match Report
2179,Alavés,2025-02-15,0,@,Leganés,es La Liga,D 3-3,3,3,0,57,2,1,1,0,0,8.3,Match Report
2180,Alavés,2025-02-02,0,@,Barcelona,es La Liga,L 0-1,0,1,-1,31,0,0,0,0,0,5.5,Match Report
2181,Alavés,2025-01-27,0,,Celta Vigo,es La Liga,D 1-1,1,1,0,49,0,1,1,0,0,10.0,Match Report
2182,Alavés,2025-01-18,0,@,Betis,es La Liga,W 3-1,3,1,+2,50,2,1,1,0,0,14.0,Match Report
2183,Alavés,2025-01-11,0,,Girona,es La Liga,L 0-1,0,1,-1,43,0,0,0,0,0,2.7,Match Report
2184,Alavés,2024-12-08,0,@,Osasuna,es La Liga,D 2-2,2,2,0,40,2,0,0,0,0,7.6,Match Report
2185,Alavés,2024-11-23,0,@,Atlético Madrid,es La Liga,L 1-2,1,2,-1,30,0,1,1,0,0,4.5,Match Report
2186,Alavés,2024-11-09,0,@,Villarreal,es La Liga,L 0-3,0,3,-3,38,0,0,0,0,0,10.2,Match Report
2187,Alavés,2024-11-01,0,,Mallorca,es La Liga,W 1-0,1,0,+1,51,1,0,0,0,0,6.0,Match Report
2188,Alavés,2024-10-26,0,@,Rayo Vallecano,es La Liga,L 0-1,0,1,-1,49,0,0,0,0,0,4.8,Match Report
2189,Alavés,2024-09-20,0,,Sevilla,es La Liga,W 2-1,2,1,+1,35,2,0,0,0,0,5.0,Match Report
2190,Alavés,2024-09-14,0,@,Espanyol,es La Liga,L 2-3,2,3,-1,61,2,0,0,0,0,11.3,Match Report
2191,Alavés,2024-09-01,0,,Las Palmas,es La Liga,W 2-0,2,0,+2,30,2,0,1,1,0,8.8,Match Report
2192,Alavés,2024-08-28,0,@,Real Sociedad,es La Liga,W 2-1,2,1,+1,47,1,1,1,0,0,4.0,Match Report
2193,Girona,2025-04-05,0,,Alavés,es La Liga,L 0-1,0,1,-1,64,0,0,0,0,0,5.0,Match Report
2194,Girona,2025-02-23,0,@,Real Madrid,es La Liga,L 0-2,0,2,-2,37,0,0,0,0,0,2.5,Match Report
2195,Girona,2025-02-08,0,@,Athletic Club,es La Liga,L 0-3,0,3,-3,55,0,0,0,0,0,4.8,Match Report
2196,Girona,2025-02-03,0,,Las Palmas,es La Liga,W 2-1,2,1,+1,47,2,0,1,1,0,11.0,Match Report
2197,Girona,2025-01-11,0,@,Alavés,es La Liga,W 1-0,1,0,+1,57,1,0,0,0,0,10.8,Match Report
2198,Girona,2024-12-20,0,,Valladolid,es La Liga,W 3-0,3,0,+3,70,3,0,0,0,0,,Match Report
2199,Girona,2024-11-23,0,,Espanyol,es La Liga,W 4-1,4,1,+3,75,4,0,0,0,0,13.3,Match Report
2200,Girona,2024-11-10,0,@,Getafe,es La Liga,W 1-0,1,0,+1,53,1,0,0,0,0,5.3,Match Report
2201,Girona,2024-11-02,0,,Leganés,es La Liga,W 4-3,4,3,+1,54,2,1,1,0,0,6.6,Match Report
2202,Girona,2024-10-26,0,@,Las Palmas,es La Liga,L 0-1,0,1,-1,57,0,0,0,0,0,15.0,Match Report
2203,Girona,2024-10-19,0,,Real Sociedad,es La Liga,L 0-1,0,1,-1,47,0,0,0,0,0,11.7,Match Report
2204,Girona,2024-09-25,0,,Rayo Vallecano,es La Liga,D 0-0,0,0,0,71,0,0,0,0,0,,Match Report
2205,Girona,2024-08-25,0,@,Atlético Madrid,es La Liga,L 0-3,0,3,-3,57,0,0,0,0,0,11.3,Match Report
2206,Atalanta,2025-04-06,0,,Lazio,it Serie A,L 0-1,0,1,-1,58,0,0,0,0,0,5.0,Match Report
2207,Atalanta,2025-03-16,0,,Inter,it Serie A,L 0-2,0,2,-2,49,0,0,0,0,0,10.0,Match Report
2208,Atalanta,2025-03-01,0,,Venezia,it Serie A,D 0-0,0,0,0,60,0,0,0,0,0,9.0,Match Report
2209,Atalanta,2024-12-22,0,,Empoli,it Serie A,W 3-2,3,2,+1,65,3,0,0,0,0,15.3,Match Report
2210,Atalanta,2024-12-14,0,@,Cagliari,it Serie A,W 1-0,1,0,+1,56,1,0,0,0,0,3.0,Match Report
2211,Atalanta,2024-12-06,0,,Milan,it Serie A,W 2-1,2,1,+1,52,2,0,0,0,0,,Match Report
2212,Atalanta,2024-11-23,0,@,Parma,it Serie A,W 3-1,3,1,+2,55,3,0,0,0,0,18.0,Match Report
2213,Atalanta,2024-09-15,0,,Fiorentina,it Serie A,W 3-2,3,2,+1,51,3,0,0,0,0,4.7,Match Report
2214,Atalanta,2024-08-25,0,@,Torino,it Serie A,L 1-2,1,2,-1,58,1,0,1,1,0,12.7,Match Report
2215,Rayo Vallecano,2025-03-29,0,@,Alavés,es La Liga,W 2-0,2,0,+2,45,2,0,0,0,0,4.2,Match Report
2216,Rayo Vallecano,2025-03-16,0,,Real Sociedad,es La Liga,D 2-2,2,2,0,55,2,0,0,0,0,9.3,Match Report
2217,Rayo Vallecano,2025-03-01,0,,Sevilla,es La Liga,D 1-1,1,1,0,64,1,0,0,0,0,4.0,Match Report
2218,Rayo Vallecano,2025-01-31,0,@,Leganés,es La Liga,W 1-0,1,0,+1,66,1,0,0,0,0,13.7,Match Report
2219,Rayo Vallecano,2025-01-19,0,@,Osasuna,es La Liga,D 1-1,1,1,0,48,1,0,0,0,0,15.0,Match Report
2220,Rayo Vallecano,2025-01-10,0,,Celta Vigo,es La Liga,W 2-1,2,1,+1,50,2,0,0,0,0,8.5,Match Report
2221,Rayo Vallecano,2024-12-22,0,@,Betis,es La Liga,D 1-1,1,1,0,45,1,0,0,0,0,7.7,Match Report
2222,Rayo Vallecano,2024-12-14,0,,Real Madrid,es La Liga,D 3-3,3,3,0,34,3,0,0,0,0,5.0,Match Report
2223,Rayo Vallecano,2024-12-07,0,@,Valencia,es La Liga,W 1-0,1,0,+1,40,1,0,0,0,0,7.2,Match Report
2224,Rayo Vallecano,2024-11-08,0,,Las Palmas,es La Liga,L 1-3,1,3,-2,64,0,0,0,0,0,10.0,Match Report
2225,Rayo Vallecano,2024-10-26,0,,Alavés,es La Liga,W 1-0,1,0,+1,51,0,0,0,0,0,10.0,Match Report
2226,Rayo Vallecano,2024-10-05,0,@,Valladolid,es La Liga,W 2-1,2,1,+1,60,2,0,0,0,0,6.5,Match Report
2227,Rayo Vallecano,2024-09-28,0,,Leganés,es La Liga,D 1-1,1,1,0,54,1,0,0,0,0,7.4,Match Report
2228,Rayo Vallecano,2024-09-25,0,@,Girona,es La Liga,D 0-0,0,0,0,29,0,0,0,0,0,4.0,Match Report
2229,Rayo Vallecano,2024-08-27,0,,Barcelona,es La Liga,L 1-2,1,2,-1,36,1,0,0,0,0,9.8,Match Report
2230,Rayo Vallecano,2024-08-24,0,@,Getafe,es La Liga,D 0-0,0,0,0,52,0,0,0,0,0,7.7,Match Report
2231,Rayo Vallecano,2024-08-18,0,@,Real Sociedad,es La Liga,W 2-1,2,1,+1,34,2,0,0,0,0,,Match Report
2232,Mainz 05,2025-03-15,0,,Freiburg,de Bundesliga,D 2-2,2,2,0,44,2,0,0,0,0,8.0,Match Report
2233,Mainz 05,2025-03-07,0,@,Gladbach,de Bundesliga,W 3-1,3,1,+2,43,3,0,0,0,0,6.0,Match Report
2234,Mainz 05,2025-03-01,0,@,RB Leipzig,de Bundesliga,W 2-1,2,1,+1,51,2,0,0,0,0,9.8,Match Report
2235,Mainz 05,2025-02-22,0,,St. Pauli,de Bundesliga,W 2-0,2,0,+2,53,2,0,0,0,0,7.7,Match Report
2236,Mainz 05,2025-02-16,0,@,Heidenheim,de Bundesliga,W 2-0,2,0,+2,44,2,0,0,0,0,5.9,Match Report
2237,Mainz 05,2025-01-11,0,,Bochum,de Bundesliga,W 2-0,2,0,+2,58,2,0,0,0,0,11.8,Match Report
2238,Mainz 05,2024-12-14,0,,Bayern Munich,de Bundesliga,W 2-1,2,1,+1,32,2,0,0,0,0,5.0,Match Report
2239,Mainz 05,2024-10-25,0,,Gladbach,de Bundesliga,D 1-1,1,1,0,52,0,0,0,0,0,13.0,Match Report
2240,Mainz 05,2024-10-05,0,@,St. Pauli,de Bundesliga,W 3-0,3,0,+3,44,3,0,0,0,0,7.3,Match Report
2241,Mainz 05,2024-08-31,0,@,Stuttgart,de Bundesliga,D 3-3,3,3,0,37,2,1,1,0,0,7.9,Match Report
2242,Leicester City,2025-04-07,0,,Newcastle Utd,eng Premier League,L 0-3,0,3,-3,58,0,0,0,0,0,12.0,Match Report
2243,Leicester City,2025-04-02,0,@,Manchester City,eng Premier League,L 0-2,0,2,-2,28,0,0,0,0,0,6.0,Match Report
2244,Leicester City,2025-02-27,0,@,West Ham,eng Premier League,L 0-2,0,2,-2,42,0,0,0,0,0,5.0,Match Report
2245,Leicester City,2025-02-01,0,@,Everton,eng Premier League,L 0-4,0,4,-4,52,0,0,0,0,0,,Match Report
2246,Leicester City,2025-01-15,0,,Crystal Palace,eng Premier League,L 0-2,0,2,-2,57,0,0,0,0,0,11.5,Match Report
2247,Leicester City,2025-01-04,0,@,Aston Villa,eng Premier League,L 1-2,1,2,-1,40,1,0,0,0,0,5.0,Match Report
2248,Leicester City,2024-12-29,0,,Manchester City,eng Premier League,L 0-2,0,2,-2,53,0,0,0,0,0,,Match Report
2249,Leicester City,2024-12-26,0,@,Liverpool,eng Premier League,L 1-3,1,3,-2,32,1,0,0,0,0,4.4,Match Report
2250,Leicester City,2024-12-08,0,,Brighton,eng Premier League,D 2-2,2,2,0,56,2,0,0,0,0,3.0,Match Report
2251,Leicester City,2024-12-03,0,,West Ham,eng Premier League,W 3-1,3,1,+2,39,3,0,0,0,0,8.4,Match Report
2252,Leicester City,2024-11-23,0,,Chelsea,eng Premier League,L 1-2,1,2,-1,37,0,1,1,0,0,12.0,Match Report
2253,Leicester City,2024-11-10,0,@,Manchester Utd,eng Premier League,L 0-3,0,3,-3,49,0,0,0,0,0,,Match Report
2254,Leicester City,2024-11-02,0,@,Ipswich Town,eng Premier League,D 1-1,1,1,0,57,1,0,0,0,0,6.5,Match Report
2255,Leicester City,2024-10-05,0,,Bournemouth,eng Premier League,W 1-0,1,0,+1,45,1,0,0,0,0,4.5,Match Report
2256,Leicester City,2024-09-21,0,,Everton,eng Premier League,D 1-1,1,1,0,58,1,0,0,0,0,5.0,Match Report
2257,Leicester City,2024-09-14,0,@,Crystal Palace,eng Premier League,D 2-2,2,2,0,34,2,0,0,0,0,5.3,Match Report
2258,Leicester City,2024-08-24,0,@,Fulham,eng Premier League,L 1-2,1,2,-1,46,1,0,0,0,0,5.5,Match Report
2259,Leicester City,2024-08-19,0,,Tottenham,eng Premier League,D 1-1,1,1,0,30,1,0,0,0,0,15.5,Match Report
2260,Empoli,2025-04-06,0,,Cagliari,it Serie A,D 0-0,0,0,0,46,0,0,0,0,0,14.0,Match Report
2261,Empoli,2025-03-29,0,@,Como,it Serie A,D 1-1,1,1,0,29,1,0,0,0,0,3.3,Match Report
2262,Empoli,2025-03-15,0,@,Torino,it Serie A,L 0-1,0,1,-1,50,0,0,0,0,0,8.5,Match Report
2263,Empoli,2025-02-23,0,,Atalanta,it Serie A,L 0-5,0,5,-5,46,0,0,0,0,0,14.4,Match Report
2264,Empoli,2025-02-08,0,,Milan,it Serie A,L 0-2,0,2,-2,39,0,0,0,0,0,3.0,Match Report
2265,Empoli,2025-02-02,0,@,Juventus,it Serie A,L 1-4,1,4,-3,45,1,0,0,0,0,10.0,Match Report
2266,Empoli,2025-01-19,0,@,Inter,it Serie A,L 1-3,1,3,-2,32,1,0,0,0,0,9.5,Match Report
2267,Empoli,2024-12-28,0,,Genoa,it Serie A,L 1-2,1,2,-1,58,1,0,1,1,0,10.2,Match Report
2268,Empoli,2024-12-22,0,@,Atalanta,it Serie A,L 2-3,2,3,-1,35,1,1,1,0,0,5.4,Match Report
2269,Empoli,2024-12-13,0,,Torino,it Serie A,L 0-1,0,1,-1,59,0,0,0,0,0,16.0,Match Report
2270,Empoli,2024-11-30,0,@,Milan,it Serie A,L 0-3,0,3,-3,45,0,0,0,0,0,10.0,Match Report
2271,Empoli,2024-11-25,0,,Udinese,it Serie A,D 1-1,1,1,0,30,1,0,0,0,0,6.0,Match Report
2272,Empoli,2024-11-04,0,,Como,it Serie A,W 1-0,1,0,+1,42,1,0,0,0,0,10.6,Match Report
2273,Empoli,2024-10-30,0,,Inter,it Serie A,L 0-3,0,3,-3,23,0,0,0,0,0,9.0,Match Report
2274,Empoli,2024-10-27,0,@,Parma,it Serie A,D 1-1,1,1,0,40,0,0,0,0,0,7.0,Match Report
2275,Empoli,2024-10-06,0,@,Lazio,it Serie A,L 1-2,1,2,-1,42,1,0,0,0,0,5.2,Match Report
2276,Empoli,2024-09-29,0,,Fiorentina,it Serie A,D 0-0,0,0,0,38,0,0,0,0,0,17.0,Match Report
2277,Empoli,2024-09-20,0,@,Cagliari,it Serie A,W 2-0,2,0,+2,39,2,0,0,0,0,7.9,Match Report
2278,Empoli,2024-09-14,0,,Juventus,it Serie A,D 0-0,0,0,0,35,0,0,0,0,0,7.0,Match Report
2279,Empoli,2024-08-25,0,@,Roma,it Serie A,W 2-1,2,1,+1,27,1,1,1,0,0,5.2,Match Report
2280,Empoli,2024-08-17,0,,Monza,it Serie A,D 0-0,0,0,0,39,0,0,0,0,0,3.0,Match Report
2281,Freiburg,2025-03-15,0,@,Mainz 05,de Bundesliga,D 2-2,2,2,0,56,2,0,0,0,0,10.0,Match Report
2282,Freiburg,2025-03-08,0,,RB Leipzig,de Bundesliga,D 0-0,0,0,0,53,0,0,0,0,0,8.5,Match Report
2283,Freiburg,2025-02-15,0,@,St. Pauli,de Bundesliga,W 1-0,1,0,+1,46,0,0,1,1,0,10.5,Match Report
2284,Freiburg,2025-02-08,0,,Heidenheim,de Bundesliga,W 1-0,1,0,+1,53,1,0,0,0,0,,Match Report
2285,Freiburg,2025-01-25,0,,Bayern Munich,de Bundesliga,L 1-2,1,2,-1,35,1,0,0,0,0,3.5,Match Report
2286,Freiburg,2025-01-18,0,@,Stuttgart,de Bundesliga,L 0-4,0,4,-4,44,0,0,0,0,0,6.0,Match Report
2287,Freiburg,2025-01-14,0,@,Eint Frankfurt,de Bundesliga,L 1-4,1,4,-3,36,1,0,0,0,0,7.7,Match Report
2288,Freiburg,2024-12-21,0,@,Leverkusen,de Bundesliga,L 1-5,1,5,-4,33,1,0,0,0,0,8.7,Match Report
2289,Freiburg,2024-12-08,0,@,Hoffenheim,de Bundesliga,D 1-1,1,1,0,50,1,0,0,0,0,9.8,Match Report
2290,Freiburg,2024-11-23,0,@,Dortmund,de Bundesliga,L 0-4,0,4,-4,41,0,0,0,0,0,8.3,Match Report
2291,Freiburg,2024-09-01,0,@,Bayern Munich,de Bundesliga,L 0-2,0,2,-2,34,0,0,1,1,0,9.0,Match Report
2292,Espanyol,2025-04-04,0,@,Rayo Vallecano,es La Liga,W 4-0,4,0,+4,31,3,1,1,0,0,3.8,Match Report
2293,Espanyol,2025-03-29,0,,Atlético Madrid,es La Liga,D 1-1,1,1,0,39,0,1,1,0,0,6.0,Match Report
2294,Espanyol,2025-03-10,0,,Girona,es La Liga,D 1-1,1,1,0,33,1,0,0,0,0,8.5,Match Report
2295,Espanyol,2025-02-22,0,@,Alavés,es La Liga,W 1-0,1,0,+1,38,1,0,0,0,0,10.4,Match Report
2296,Espanyol,2025-02-16,0,,Athletic Club,es La Liga,D 1-1,1,1,0,39,1,0,0,0,0,6.0,Match Report
2297,Espanyol,2025-02-09,0,@,Real Sociedad,es La Liga,L 1-2,1,2,-1,32,0,1,1,0,0,14.0,Match Report
2298,Espanyol,2025-02-01,0,,Real Madrid,es La Liga,W 1-0,1,0,+1,24,1,0,0,0,0,7.3,Match Report
2299,Espanyol,2025-01-25,0,@,Sevilla,es La Liga,D 1-1,1,1,0,26,1,0,0,0,0,5.0,Match Report
2300,Espanyol,2024-12-18,0,,Valencia,es La Liga,D 1-1,1,1,0,46,1,0,0,0,0,7.0,Match Report
2301,Espanyol,2024-11-30,0,,Celta Vigo,es La Liga,W 3-1,3,1,+2,22,3,0,0,0,0,10.0,Match Report
2302,Espanyol,2024-11-03,0,@,Barcelona,es La Liga,L 1-3,1,3,-2,24,1,0,0,0,0,6.5,Match Report
2303,Espanyol,2024-10-19,0,@,Athletic Club,es La Liga,L 1-4,1,4,-3,44,1,0,0,0,0,10.2,Match Report
2304,Espanyol,2024-10-05,0,,Mallorca,es La Liga,W 2-1,2,1,+1,40,2,0,0,0,0,7.3,Match Report
2305,Espanyol,2024-08-28,0,@,Atlético Madrid,es La Liga,D 0-0,0,0,0,37,0,0,0,0,0,11.5,Match Report
2306,RB Leipzig,2024-12-20,0,@,Bayern Munich,de Bundesliga,L 1-5,1,5,-4,29,1,0,0,0,0,3.0,Match Report
2307,RB Leipzig,2024-12-07,0,@,Holstein Kiel,de Bundesliga,W 2-0,2,0,+2,44,1,1,1,0,0,9.0,Match Report
2308,RB Leipzig,2024-11-30,0,,Wolfsburg,de Bundesliga,L 1-5,1,5,-4,63,1,0,0,0,0,8.0,Match Report
2309,RB Leipzig,2024-11-23,0,@,Hoffenheim,de Bundesliga,L 3-4,3,4,-1,41,2,0,0,0,0,,Match Report
2310,RB Leipzig,2024-11-09,0,,Gladbach,de Bundesliga,D 0-0,0,0,0,61,0,0,0,0,0,,Match Report
2311,RB Leipzig,2024-10-26,0,,Freiburg,de Bundesliga,W 3-1,3,1,+2,43,3,0,0,0,0,10.0,Match Report
2312,RB Leipzig,2024-10-19,0,@,Mainz 05,de Bundesliga,W 2-0,2,0,+2,47,2,0,0,0,0,8.6,Match Report
2313,RB Leipzig,2024-09-28,0,,Augsburg,de Bundesliga,W 4-0,4,0,+4,59,4,0,0,0,0,2.0,Match Report
2314,RB Leipzig,2024-09-14,0,,Union Berlin,de Bundesliga,D 0-0,0,0,0,67,0,0,1,1,0,17.0,Match Report
2315,RB Leipzig,2024-08-31,0,@,Leverkusen,de Bundesliga,W 3-2,3,2,+1,38,3,0,0,0,0,6.8,Match Report
2316,RB Leipzig,2024-08-24,0,,Bochum,de Bundesliga,W 1-0,1,0,+1,62,1,0,0,0,0,13.5,Match Report
2317,Sevilla,2025-03-30,0,@,Betis,es La Liga,L 1-2,1,2,-1,45,1,0,0,0,0,,Match Report
2318,Sevilla,2025-03-16,0,,Athletic Club,es La Liga,L 0-1,0,1,-1,61,0,0,0,0,0,4.0,Match Report
2319,Sevilla,2025-03-09,0,@,Real Sociedad,es La Liga,W 1-0,1,0,+1,39,1,0,0,0,0,9.7,Match Report
2320,Sevilla,2025-03-01,0,@,Rayo Vallecano,es La Liga,D 1-1,1,1,0,36,1,0,0,0,0,14.0,Match Report
2321,Sevilla,2025-02-01,0,@,Getafe,es La Liga,D 0-0,0,0,0,55,0,0,0,0,0,9.3,Match Report
2322,Sevilla,2024-12-02,0,,Osasuna,es La Liga,D 1-1,1,1,0,64,1,0,0,0,0,5.0,Match Report
2323,Sevilla,2024-11-09,0,@,Leganés,es La Liga,L 0-1,0,1,-1,57,0,0,0,0,0,13.7,Match Report
2324,Sevilla,2024-11-03,0,,Real Sociedad,es La Liga,L 0-2,0,2,-2,55,0,0,0,0,0,,Match Report
2325,Sevilla,2024-09-29,0,@,Athletic Club,es La Liga,D 1-1,1,1,0,61,0,0,0,0,0,12.1,Match Report
2326,Sevilla,2024-09-24,0,,Valladolid,es La Liga,W 2-1,2,1,+1,54,1,0,0,0,0,11.0,Match Report
2327,Sevilla,2024-09-14,0,,Getafe,es La Liga,W 1-0,1,0,+1,60,1,0,0,0,0,4.7,Match Report
2328,Sevilla,2024-09-01,0,,Girona,es La Liga,L 0-2,0,2,-2,50,0,0,0,0,0,,Match Report
2329,Sevilla,2024-08-23,0,,Villarreal,es La Liga,L 1-2,1,2,-1,59,1,0,0,0,0,,Match Report
2330,Dortmund,2025-04-05,0,@,Freiburg,de Bundesliga,W 4-1,4,1,+3,46,4,0,0,0,0,13.3,Match Report
2331,Dortmund,2025-03-08,0,,Augsburg,de Bundesliga,L 0-1,0,1,-1,71,0,0,0,0,0,11.0,Match Report
2332,Dortmund,2025-03-01,0,@,St. Pauli,de Bundesliga,W 2-0,2,0,+2,57,2,0,0,0,0,6.0,Match Report
2333,Dortmund,2025-01-25,0,,Werder Bremen,de Bundesliga,D 2-2,2,2,0,46,1,0,0,0,0,8.0,Match Report
2334,Dortmund,2025-01-14,0,@,Holstein Kiel,de Bundesliga,L 2-4,2,4,-2,75,2,0,0,0,0,3.0,Match Report
2335,Dortmund,2024-12-22,0,@,Wolfsburg,de Bundesliga,W 3-1,3,1,+2,50,3,0,0,0,0,8.7,Match Report
2336,Dortmund,2024-11-30,0,,Bayern Munich,de Bundesliga,D 1-1,1,1,0,33,1,0,0,0,0,8.5,Match Report
2337,Dortmund,2024-11-23,0,,Freiburg,de Bundesliga,W 4-0,4,0,+4,59,4,0,0,0,0,9.0,Match Report
2338,Dortmund,2024-11-02,0,,RB Leipzig,de Bundesliga,W 2-1,2,1,+1,57,2,0,0,0,0,12.8,Match Report
2339,Dortmund,2024-09-27,0,,Bochum,de Bundesliga,W 4-2,4,2,+2,66,3,1,1,0,0,12.7,Match Report
2340,Dortmund,2024-09-13,0,,Heidenheim,de Bundesliga,W 4-2,4,2,+2,60,3,1,1,0,0,10.5,Match Report
2341,Dortmund,2024-08-31,0,@,Werder Bremen,de Bundesliga,D 0-0,0,0,0,53,0,0,0,0,0,4.0,Match Report
2342,Venezia,2025-04-06,0,@,Lecce,it Serie A,D 1-1,1,1,0,50,0,0,0,0,0,3.7,Match Report
2343,Venezia,2025-03-29,0,,Bologna,it Serie A,L 0-1,0,1,-1,41,0,0,0,0,0,,Match Report
2344,Venezia,2025-03-16,0,,Napoli,it Serie A,D 0-0,0,0,0,43,0,0,0,0,0,8.0,Match Report
2345,Venezia,2025-03-08,0,@,Como,it Serie A,D 1-1,1,1,0,45,0,1,1,0,0,9.5,Match Report
2346,Venezia,2025-03-01,0,@,Atalanta,it Serie A,D 0-0,0,0,0,40,0,0,0,0,0,7.8,Match Report
2347,Venezia,2025-02-22,0,,Lazio,it Serie A,D 0-0,0,0,0,37,0,0,0,0,0,11.0,Match Report
2348,Venezia,2025-02-17,0,@,Genoa,it Serie A,L 0-2,0,2,-2,49,0,0,0,0,0,4.0,Match Report
2349,Venezia,2025-02-09,0,,Roma,it Serie A,L 0-1,0,1,-1,62,0,0,0,0,0,,Match Report
2350,Venezia,2025-02-01,0,@,Udinese,it Serie A,L 2-3,2,3,-1,49,2,0,0,0,0,5.0,Match Report
2351,Venezia,2025-01-19,0,@,Parma,it Serie A,D 1-1,1,1,0,41,0,1,1,0,0,8.5,Match Report
2352,Venezia,2025-01-12,0,,Inter,it Serie A,L 0-1,0,1,-1,41,0,0,0,0,0,7.5,Match Report
2353,Venezia,2024-12-29,0,@,Napoli,it Serie A,L 0-1,0,1,-1,34,0,0,0,0,0,4.3,Match Report
2354,Venezia,2024-11-03,0,@,Inter,it Serie A,L 0-1,0,1,-1,43,0,0,0,0,0,7.0,Match Report
2355,Venezia,2024-10-30,0,,Udinese,it Serie A,W 3-2,3,2,+1,57,1,2,2,0,0,4.5,Match Report
