Rk,Team,Date,Att,,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Att,Succ,Succ%,Tkld,Tkld%,Match Report
31,Girona,2025-04-05,33,,Alavés,es La Liga,L 0-1,0,1,-1,64,0,0,0,0,33,19,57.6,6,18.2,Match Report
32,Dortmund,2024-09-27,33,,Bochum,de Bundesliga,W 4-2,4,2,+2,66,3,1,1,0,33,20,60.6,10,30.3,Match Report
33,Paris S-G,2024-12-06,33,@,Auxerre,fr Ligue 1,D 0-0,0,0,0,73,0,0,0,0,33,17,51.5,16,48.5,Match Report
34,Bayern Munich,2024-09-14,32,@,Holstein Kiel,de Bundesliga,W 6-1,6,1,+5,70,4,1,1,0,32,14,43.8,18,56.3,Match Report
35,Nice,2024-10-27,32,,Monaco,fr Ligue 1,W 2-1,2,1,+1,41,2,0,0,0,32,16,50.0,16,50.0,Match Report
36,Bournemouth,2025-02-22,32,,Wolves,eng Premier League,L 0-1,0,1,-1,46,0,0,0,0,32,11,34.4,16,50.0,Match Report
37,Aston Villa,2025-02-15,32,,Ipswich Town,eng Premier League,D 1-1,1,1,0,75,1,0,0,0,32,17,53.1,12,37.5,Match Report
38,RB Leipzig,2025-01-12,32,,Werder Bremen,de Bundesliga,W 4-2,4,2,+2,49,4,0,0,0,32,17,53.1,12,37.5,Match Report
39,Chelsea,2025-01-14,32,,Bournemouth,eng Premier League,D 2-2,2,2,0,57,2,0,0,0,32,14,43.8,14,43.8,Match Report
40,Brighton,2025-02-25,32,,Bournemouth,eng Premier League,W 2-1,2,1,+1,44,1,1,1,0,32,16,50.0,14,43.8,Match Report
41,Paris S-G,2025-01-12,32,,Saint-Étienne,fr Ligue 1,W 2-1,2,1,+1,59,1,1,1,0,32,13,40.6,17,53.1,Match Report
42,Bournemouth,2024-10-19,31,,Arsenal,eng Premier League,W 2-0,2,0,+2,49,1,1,1,0,31,17,54.8,11,35.5,Match Report
43,Real Madrid,2024-09-01,31,,Betis,es La Liga,W 2-0,2,0,+2,60,1,1,1,0,31,16,51.6,13,41.9,Match Report
44,Real Madrid,2024-08-25,31,,Valladolid,es La Liga,W 3-0,3,0,+3,63,3,0,0,0,31,19,61.3,11,35.5,Match Report
45,Aston Villa,2025-01-26,31,,West Ham,eng Premier League,D 1-1,1,1,0,46,1,0,0,0,31,8,25.8,17,54.8,Match Report
46,Aston Villa,2024-12-30,31,,Brighton,eng Premier League,D 2-2,2,2,0,59,1,1,1,0,31,20,64.5,9,29.0,Match Report
47,Mainz 05,2024-10-19,31,,RB Leipzig,de Bundesliga,L 0-2,0,2,-2,53,0,0,0,0,31,13,41.9,15,48.4,Match Report
48,Dortmund,2025-01-14,31,@,Holstein Kiel,de Bundesliga,L 2-4,2,4,-2,75,2,0,0,0,31,12,38.7,13,41.9,Match Report
49,Newcastle Utd,2024-12-04,31,,Liverpool,eng Premier League,D 3-3,3,3,0,42,3,0,0,0,31,12,38.7,9,29.0,Match Report
50,Paris S-G,2025-03-29,31,@,Saint-Étienne,fr Ligue 1,W 6-1,6,1,+5,53,5,1,1,0,31,11,35.5,18,58.1,Match Report
51,Paris S-G,2025-02-07,31,,Monaco,fr Ligue 1,W 4-1,4,1,+3,63,4,0,0,0,31,15,48.4,14,45.2,Match Report
52,Real Sociedad,2024-12-15,31,,Las Palmas,es La Liga,D 0-0,0,0,0,61,0,0,0,0,31,13,41.9,17,54.8,Match Report
53,Udinese,2025-02-21,30,@,Lecce,it Serie A,W 1-0,1,0,+1,55,0,1,1,0,30,13,43.3,14,46.7,Match Report
54,Bayern Munich,2024-10-27,30,@,Bochum,de Bundesliga,W 5-0,5,0,+5,72,5,0,0,0,30,15,50.0,14,46.7,Match Report
55,Tottenham,2025-02-26,30,,Manchester City,eng Premier League,L 0-1,0,1,-1,55,0,0,0,0,30,9,30.0,15,50.0,Match Report
56,Real Madrid,2024-09-24,30,,Alavés,es La Liga,W 3-2,3,2,+1,68,3,0,0,0,30,15,50.0,14,46.7,Match Report
57,Liverpool,2025-03-08,30,,Southampton,eng Premier League,W 3-1,3,1,+2,71,1,2,2,0,30,18,60.0,12,40.0,Match Report
58,RB Leipzig,2025-01-18,30,@,Bochum,de Bundesliga,D 3-3,3,3,0,55,3,0,0,0,30,7,23.3,19,63.3,Match Report
59,Dortmund,2024-10-26,30,@,Augsburg,de Bundesliga,L 1-2,1,2,-1,75,1,0,0,0,30,10,33.3,17,56.7,Match Report
60,Newcastle Utd,2025-02-23,30,,Nott'ham Forest,eng Premier League,W 4-3,4,3,+1,57,3,1,1,0,30,13,43.3,12,40.0,Match Report
61,Manchester City,2024-10-20,30,@,Wolves,eng Premier League,W 2-1,2,1,+1,77,2,0,0,0,30,10,33.3,12,40.0,Match Report
62,Manchester City,2024-08-18,30,@,Chelsea,eng Premier League,W 2-0,2,0,+2,52,2,0,0,0,30,15,50.0,8,26.7,Match Report
63,Strasbourg,2025-03-02,30,@,Auxerre,fr Ligue 1,W 1-0,1,0,+1,55,1,0,0,0,30,15,50.0,11,36.7,Match Report
64,Brighton,2025-02-01,30,@,Nott'ham Forest,eng Premier League,L 0-7,0,7,-7,62,0,0,0,0,30,14,46.7,15,50.0,Match Report
65,Brighton,2024-12-15,30,,Crystal Palace,eng Premier League,L 1-3,1,3,-2,64,0,0,0,0,30,16,53.3,13,43.3,Match Report
66,Brighton,2024-09-14,30,,Ipswich Town,eng Premier League,D 0-0,0,0,0,68,0,0,0,0,30,10,33.3,15,50.0,Match Report
