Rk,Team,Date,PKatt,,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,PKatt,PKA,PKsv,PKm,Save%,Match Report
2468,Milan,2025-02-15,0,,Hellas Verona,it Serie A,W 1-0,1,0,+1,73,1,0,0,0,0,0,0,0,,Match Report
2469,Milan,2025-02-08,0,@,Empoli,it Serie A,W 2-0,2,0,+2,61,2,0,0,0,0,0,0,0,,Match Report
2470,Milan,2025-02-02,0,,Inter,it Serie A,D 1-1,1,1,0,37,1,0,0,0,0,0,0,0,,Match Report
2471,Milan,2025-01-26,0,,Parma,it Serie A,W 3-2,3,2,+1,61,2,1,1,0,0,0,0,0,,Match Report
2472,Milan,2025-01-18,0,@,Juventus,it Serie A,L 0-2,0,2,-2,40,0,0,0,0,0,0,0,0,,Match Report
2473,Milan,2025-01-14,0,@,Como,it Serie A,W 2-1,2,1,+1,48,2,0,0,0,0,0,0,0,,Match Report
2474,Milan,2025-01-11,0,,Cagliari,it Serie A,D 1-1,1,1,0,68,1,0,0,0,0,0,0,0,,Match Report
2475,Milan,2024-12-29,0,,Roma,it Serie A,D 1-1,1,1,0,46,1,0,0,0,0,0,0,0,,Match Report
2476,Milan,2024-12-20,0,@,Hellas Verona,it Serie A,W 1-0,1,0,+1,64,1,0,0,0,0,0,0,0,,Match Report
2477,Milan,2024-12-15,0,,Genoa,it Serie A,D 0-0,0,0,0,57,0,0,0,0,0,0,0,0,,Match Report
2478,Milan,2024-12-06,0,@,Atalanta,it Serie A,L 1-2,1,2,-1,48,1,0,0,0,0,0,0,0,,Match Report
2479,Milan,2024-11-30,0,,Empoli,it Serie A,W 3-0,3,0,+3,55,3,0,0,0,0,0,0,0,,Match Report
2480,Milan,2024-11-23,0,,Juventus,it Serie A,D 0-0,0,0,0,44,0,0,0,0,0,0,0,0,,Match Report
2481,Milan,2024-11-09,0,@,Cagliari,it Serie A,D 3-3,3,3,0,55,3,0,0,0,0,0,0,0,,Match Report
2482,Milan,2024-11-02,0,@,Monza,it Serie A,W 1-0,1,0,+1,56,1,0,0,0,0,0,0,0,,Match Report
2483,Milan,2024-10-29,0,,Napoli,it Serie A,L 0-2,0,2,-2,61,0,0,0,0,0,0,0,0,,Match Report
